query	subject	evalue	alnlength	identity	identical	mismatches	qframe	sframe	bframe
ENSG00000108759	ENSG00000197079	1.25e-179	329	80.851	266	63	3	2	3/2
ENSG00000123908	ENSG00000092847	0	838	83.652	701	137	3	1	3/1
ENSG00000113851	ENSG00000072756	1.18e-72	116	98.276	114	2	2	-3	2/-3
ENSG00000107796	ENSG00000159251	0	388	96.907	376	12	1	3	1/3
ENSG00000107796	ENSG00000163017	0	376	98.936	372	4	1	2	1/2
ENSG00000106305	ENSG00000086232	1.88e-106	178	100	178	0	-1	2	-1/2
ENSG00000109084	ENSG00000109083	1.5e-73	120	100	120	0	3	-1	3/-1
ENSG00000109084	ENSG00000109083	5.35e-69	120	100	120	0	-1	3	-1/3
ENSG00000109084	ENSG00000109083	7.35e-65	120	100	120	0	-2	1	-2/1
ENSG00000105647	ENSG00000268173	0	402	100	402	0	1	3	1/3
ENSG00000114904	ENSG00000114902	0	898	100	898	0	-3	2	-3/2
ENSG00000104129	ENSG00000137880	9.5e-128	161	100	161	0	-2	2	-2/2
ENSG00000104129	ENSG00000137880	1.24e-121	161	100	161	0	3	-1	3/-1
ENSG00000104129	ENSG00000137880	2.08e-116	161	100	161	0	-1	1	-1/1
ENSG00000104826	ENSG00000213030	1.95e-72	123	86.179	106	17	-1	-2	-1/-2
ENSG00000104826	ENSG00000104827	1.76e-71	123	86.179	106	17	-1	-2	-1/-2
ENSG00000102128	ENSG00000172476	0	254	98.031	249	5	3	2	3/2
ENSG00000102128	ENSG00000172476	0	254	98.031	249	5	3	1	3/1
ENSG00000108379	ENSG00000154342	0	347	85.014	295	52	2	1	2/1
ENSG00000106089	ENSG00000099365	7.14e-137	257	85.214	219	38	1	2	1/2
ENSG00000109272	ENSG00000163737	2.29e-47	102	87.255	89	13	-2	-3	-2/-3
ENSG00000104888	ENSG00000091664	0	512	82.422	422	90	2	3	2/3
ENSG00000104888	ENSG00000179520	0	178	84.831	151	27	2	1	2/1
ENSG00000175106	ENSG00000259024	3.3e-118	186	100	186	0	1	3	1/3
ENSG00000113248	ENSG00000113205	0	158	89.241	141	17	1	2	1/2
ENSG00000113248	ENSG00000272674	1.76e-172	160	85	136	24	1	2	1/2
ENSG00000108179	ENSG00000196262	1.16e-82	145	80	116	29	3	1	3/1
ENSG00000109107	ENSG00000149925	0	366	81.967	300	66	3	1	3/1
ENSG00000104221	ENSG00000020181	3.1e-158	236	100	236	0	-1	2	-1/2
ENSG00000104221	ENSG00000020181	1.4e-156	236	100	236	0	-2	3	-2/3
ENSG00000104221	ENSG00000020181	1.64e-150	236	100	236	0	3	-2	3/-2
ENSG00000102057	ENSG00000171385	0	241	84.232	203	38	3	2	3/2
ENSG00000102057	ENSG00000171385	0	241	84.232	203	38	3	1	3/1
ENSG00000113209	ENSG00000113211	0	104	91.346	95	9	-3	-1	-3/-1
ENSG00000091010	ENSG00000152192	2.8e-119	165	89.091	147	18	3	1	3/1
ENSG00000131738	ENSG00000006059	0	386	93.264	360	26	3	1	3/1
ENSG00000131738	ENSG00000094796	0	183	93.443	171	12	-2	-3	-2/-3
ENSG00000226941	ENSG00000169800	0	415	100	415	0	1	2	1/2
ENSG00000226941	ENSG00000234414	0	415	99.277	412	3	1	3	1/3
ENSG00000122543	ENSG00000135175	2.3e-153	231	98.268	227	4	-3	-1	-3/-1
ENSG00000129824	ENSG00000280969	4.44e-172	264	93.939	248	16	2	1	2/1
ENSG00000129824	ENSG00000198034	1.15e-171	265	92.83	246	19	2	1	2/1
ENSG00000028839	ENSG00000146411	0	463	100	463	0	1	-2	1/-2
ENSG00000127528	ENSG00000136826	3.24e-71	103	94.175	97	6	3	1	3/1
ENSG00000123584	ENSG00000267978	0	460	99.565	458	2	2	1	2/1
ENSG00000133275	ENSG00000151292	0	247	93.927	232	15	2	1	2/1
ENSG00000121297	ENSG00000179981	0	148	85.135	126	22	2	1	2/1
ENSG00000121297	ENSG00000179981	0	148	85.135	126	22	2	3	2/3
ENSG00000118160	ENSG00000100678	0	205	84.878	174	31	1	3	1/3
ENSG00000118160	ENSG00000100678	0	205	84.878	174	31	1	3	1/3
ENSG00000170454	ENSG00000186081	0	355	87.042	309	46	3	2	3/2
ENSG00000170454	ENSG00000205420	0	355	84.507	300	55	3	1	3/1
ENSG00000171360	ENSG00000108417	2.17e-169	159	90.566	144	15	-2	-1	-2/-1
ENSG00000129235	ENSG00000108590	0	408	100	408	0	2	-3	2/-3
ENSG00000129235	ENSG00000108590	0	408	100	408	0	-2	3	-2/3
ENSG00000130383	ENSG00000171124	0	316	91.772	290	26	2	3	2/3
ENSG00000121068	ENSG00000135111	4.79e-169	239	87.448	209	30	3	2	3/2
ENSG00000118804	ENSG00000272414	0	643	100	643	0	-3	-1	-3/-1
ENSG00000115825	ENSG00000184304	0	329	90.578	298	31	1	2	1/2
ENSG00000105447	ENSG00000182324	3.95e-63	116	100	116	0	2	1	2/1
ENSG00000124140	ENSG00000113504	0	256	89.453	229	27	2	3	2/3
ENSG00000111364	ENSG00000111361	2.37e-102	104	100	104	0	-2	2	-2/2
ENSG00000111364	ENSG00000111361	6.44e-99	104	100	104	0	-3	3	-3/3
ENSG00000111364	ENSG00000111361	1.11e-97	104	100	104	0	2	-2	2/-2
ENSG00000130810	ENSG00000243207	0	337	100	337	0	-1	-3	-1/-3
ENSG00000182521	ENSG00000112592	1.85e-115	195	90.256	176	19	3	1	3/1
ENSG00000126778	ENSG00000170577	1.6e-128	188	95.213	179	9	1	3	1/3
ENSG00000120149	ENSG00000141194	0	193	89.119	172	21	3	2	3/2
ENSG00000120149	ENSG00000163132	1.46e-68	109	80.734	88	21	2	1	2/1
ENSG00000254245	ENSG00000081853	0	412	100	412	0	3	2	3/2
ENSG00000119820	ENSG00000215193	0	100	85	85	15	3	-2	3/-2
ENSG00000132842	ENSG00000103723	0	240	82.083	197	43	3	2	3/2
ENSG00000125629	ENSG00000186480	3.09e-110	185	84.324	156	29	3	2	3/2
ENSG00000120324	ENSG00000177839	0	672	92.411	621	51	3	1	3/1
ENSG00000120324	ENSG00000113212	0	101	90.099	91	10	-1	-3	-1/-3
ENSG00000111801	ENSG00000026950	0	422	81.043	342	80	3	2	3/2
ENSG00000092345	ENSG00000205944	0	189	83.069	157	32	2	1	2/1
ENSG00000128276	ENSG00000128253	0	375	94.133	353	22	-1	-3	-1/-3
ENSG00000131462	ENSG00000037042	0	454	97.577	443	11	3	2	3/2
ENSG00000126368	ENSG00000126351	9.37e-43	102	89.216	91	11	2	-1	2/-1
ENSG00000124469	ENSG00000079385	1.39e-103	174	81.034	141	33	-1	-2	-1/-2
ENSG00000124469	ENSG00000079385	4.45e-102	174	81.034	141	33	-1	-3	-1/-3
ENSG00000134287	ENSG00000143761	1.6e-114	177	97.175	172	5	3	1	3/1
ENSG00000204604	ENSG00000198538	0	172	89.535	154	18	2	3	2/3
ENSG00000120952	ENSG00000116721	0	547	94.333	516	31	1	2	1/2
ENSG00000120952	ENSG00000204481	0	547	92.505	506	41	1	2	1/2
ENSG00000131094	ENSG00000165985	4.67e-87	133	87.218	116	17	3	2	3/2
ENSG00000131094	ENSG00000186897	7.33e-87	134	88.06	118	16	3	1	3/1
ENSG00000048392	ENSG00000171848	4.3e-175	154	86.364	133	21	2	1	2/1
ENSG00000138286	ENSG00000213551	7.6e-176	232	100	232	0	1	-3	1/-3
ENSG00000138286	ENSG00000213551	6.37e-159	232	100	232	0	3	-2	3/-2
ENSG00000138286	ENSG00000213551	2.62e-156	232	100	232	0	-3	1	-3/1
ENSG00000130489	ENSG00000284194	3.54e-180	192	100	192	0	3	1	3/1
ENSG00000130538	ENSG00000258453	0	327	98.777	323	4	1	3	1/3
ENSG00000130538	ENSG00000257115	0	327	98.777	323	4	1	3	1/3
ENSG00000130538	ENSG00000257115	0	327	98.777	323	4	2	1	2/1
ENSG00000130538	ENSG00000257115	0	327	98.777	323	4	-2	-1	-2/-1
ENSG00000134201	ENSG00000134184	8.82e-131	238	80.672	192	46	1	3	1/3
ENSG00000134201	ENSG00000168765	8.13e-112	143	83.217	119	24	-1	-3	-1/-3
ENSG00000129514	ENSG00000125798	6.21e-85	109	89.908	98	11	-3	-1	-3/-1
ENSG00000129514	ENSG00000125798	1.32e-83	109	89.908	98	11	-3	-1	-3/-1
ENSG00000132475	ENSG00000188375	0	129	96.899	125	4	2	1	2/1
ENSG00000114547	ENSG00000065371	0	293	95.904	281	12	2	1	2/1
ENSG00000173473	ENSG00000139613	0	129	86.047	111	18	1	2	1/2
ENSG00000120327	ENSG00000112852	0	110	83.636	92	18	-2	-3	-2/-3
ENSG00000132286	ENSG00000283977	1.12e-64	132	100	132	0	-3	-2	-3/-2
ENSG00000120322	ENSG00000272674	0	473	84.144	398	75	3	1	3/1
ENSG00000120322	ENSG00000187372	0	421	93.587	394	27	2	1	2/1
ENSG00000130733	ENSG00000142453	1.09e-136	245	100	245	0	2	-1	2/-1
ENSG00000214042	ENSG00000236637	8.82e-153	245	91.02	223	22	1	2	1/2
ENSG00000123353	ENSG00000135392	0	306	100	306	0	1	-1	1/-1
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-3	3	-3/3
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-1	1	-1/1
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-2	2	-2/2
ENSG00000123353	ENSG00000135392	0	306	100	306	0	1	-1	1/-1
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-3	1	-3/1
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-1	2	-1/2
ENSG00000123353	ENSG00000135392	0	306	100	306	0	-2	3	-2/3
ENSG00000122691	ENSG00000233608	5.43e-59	104	92.308	96	8	1	2	1/2
ENSG00000122691	ENSG00000233608	5.43e-59	104	92.308	96	8	1	2	1/2
ENSG00000121075	ENSG00000089225	9.99e-147	197	90.863	179	18	1	2	1/2
ENSG00000132915	ENSG00000133256	0	326	82.209	268	58	1	2	1/2
ENSG00000160145	ENSG00000038382	0	182	86.264	157	25	2	1	2/1
ENSG00000134072	ENSG00000183049	0	323	82.353	266	57	2	3	2/3
ENSG00000115042	ENSG00000144199	0	329	96.657	318	11	-1	-3	-1/-3
ENSG00000134250	ENSG00000264343	2.6e-159	238	97.479	232	6	3	1	3/1
ENSG00000128383	ENSG00000179750	7.76e-173	229	93.886	215	14	3	1	3/1
ENSG00000123136	ENSG00000198563	0	403	91.811	370	33	1	2	1/2
ENSG00000121350	ENSG00000004700	0	481	99.376	478	3	3	-3	3/-3
ENSG00000128340	ENSG00000136238	6.04e-122	197	90.863	179	18	3	1	3/1
ENSG00000128340	ENSG00000169750	9.71e-120	203	85.714	174	29	3	1	3/1
ENSG00000130037	ENSG00000177301	2.82e-172	161	84.472	136	25	1	3	1/3
ENSG00000130037	ENSG00000177301	2.84e-172	161	84.472	136	25	1	2	1/2
ENSG00000128335	ENSG00000100342	0	170	84.706	144	26	1	2	1/2
ENSG00000127831	ENSG00000135913	0	705	100	705	0	2	-2	2/-2
ENSG00000115486	ENSG00000168906	3.62e-126	185	100	185	0	3	-3	3/-3
ENSG00000115486	ENSG00000168906	7.4e-119	185	100	185	0	-3	2	-3/2
ENSG00000130766	ENSG00000080546	4.54e-168	150	80	120	30	1	3	1/3
ENSG00000120738	ENSG00000179388	2.49e-71	113	85.841	97	16	3	2	3/2
ENSG00000120738	ENSG00000179388	2.53e-71	113	85.841	97	16	3	2	3/2
ENSG00000120903	ENSG00000101204	0	307	80.13	246	61	3	2	3/2
ENSG00000120709	ENSG00000158402	2.84e-58	104	89.423	93	11	3	-3	3/-3
ENSG00000215397	ENSG00000261678	4.79e-93	135	91.111	123	12	3	2	3/2
ENSG00000100056	ENSG00000206203	0	605	100	605	0	-3	2	-3/2
ENSG00000100056	ENSG00000212122	1.24e-163	277	82.31	228	49	-3	1	-3/1
ENSG00000133488	ENSG00000214491	0	229	82.969	190	39	-2	-1	-2/-1
ENSG00000171903	ENSG00000186529	0	488	86.68	423	65	2	3	2/3
ENSG00000115386	ENSG00000172023	2.78e-108	217	81.106	176	41	-2	-1	-2/-1
ENSG00000100722	ENSG00000165521	0	839	100	839	0	3	-2	3/-2
ENSG00000124216	ENSG00000019549	1.92e-75	113	85.841	97	16	2	3	2/3
ENSG00000134108	ENSG00000143862	2.85e-115	183	91.257	167	16	1	2	1/2
ENSG00000171346	ENSG00000171401	1.95e-171	316	85.443	270	46	2	3	2/3
ENSG00000125398	ENSG00000100146	4.27e-128	121	90.909	110	11	1	2	1/2
ENSG00000125398	ENSG00000100146	4.4e-128	121	90.909	110	11	1	2	1/2
ENSG00000120137	ENSG00000125779	0	202	81.683	165	37	3	1	3/1
ENSG00000122696	ENSG00000141437	0	306	95.425	292	14	-2	-1	-2/-1
ENSG00000130254	ENSG00000160633	0	161	81.366	131	30	-1	-2	-1/-2
ENSG00000269741	ENSG00000213022	4.41e-173	251	100	251	0	-3	-1	-3/-1
ENSG00000269741	ENSG00000213022	1.14e-152	251	100	251	0	-1	-2	-1/-2
ENSG00000269741	ENSG00000129455	6.79e-86	103	99.029	102	1	-3	-2	-3/-2
ENSG00000037042	ENSG00000131462	0	465	96.344	448	17	2	3	2/3
ENSG00000058262	ENSG00000065665	0	475	93.684	445	30	2	3	2/3
ENSG00000130402	ENSG00000072110	0	883	86.75	766	117	2	1	2/1
ENSG00000122728	ENSG00000147133	0	847	92.798	786	61	3	1	3/1
ENSG00000125347	ENSG00000003402	3.82e-117	118	83.898	99	19	1	-2	1/-2
ENSG00000119729	ENSG00000151665	2.05e-143	219	100	219	0	2	-1	2/-1
ENSG00000119729	ENSG00000126785	4.2e-100	190	80	152	38	2	1	2/1
ENSG00000125249	ENSG00000123728	1.75e-93	184	91.304	168	16	1	3	1/3
ENSG00000213463	ENSG00000258644	1.78e-82	137	94.891	130	7	2	1	2/1
ENSG00000213463	ENSG00000258644	2.45e-66	137	94.891	130	7	-2	-1	-2/-1
ENSG00000124172	ENSG00000101162	0	395	100	395	0	-2	3	-2/3
ENSG00000124172	ENSG00000101162	0	395	100	395	0	1	-2	1/-2
ENSG00000124172	ENSG00000101162	0	395	100	395	0	2	-3	2/-3
ENSG00000130449	ENSG00000162415	0	532	80.263	427	105	1	3	1/3
ENSG00000126822	ENSG00000070182	0	558	100	558	0	-2	1	-2/1
ENSG00000126822	ENSG00000070182	0	558	100	558	0	-2	2	-2/2
ENSG00000119778	ENSG00000156802	0	335	81.791	274	61	3	1	3/1
ENSG00000130544	ENSG00000167785	0	170	81.765	139	31	-2	-1	-2/-1
ENSG00000128245	ENSG00000170027	4.01e-142	246	86.992	214	32	1	2	1/2
ENSG00000127824	ENSG00000123416	0	438	97.489	427	11	1	3	1/3
ENSG00000133703	ENSG00000174775	1.24e-98	188	85.106	160	28	2	3	2/3
ENSG00000133243	ENSG00000064726	0	379	84.697	321	58	1	3	1/3
ENSG00000120329	ENSG00000102743	0	315	86.667	273	42	1	3	1/3
ENSG00000125414	ENSG00000109061	0	629	93.482	588	41	2	3	2/3
ENSG00000131480	ENSG00000131471	0	159	84.906	135	24	1	2	1/2
ENSG00000125459	ENSG00000116580	0	225	91.111	205	20	2	-1	2/-1
ENSG00000125459	ENSG00000116580	0	225	91.111	205	20	2	-3	2/-3
ENSG00000112659	ENSG00000044090	0	210	85.714	180	30	-3	-1	-3/-1
ENSG00000112659	ENSG00000044090	0	210	85.714	180	30	-3	-1	-3/-1
ENSG00000115392	ENSG00000028116	3.69e-94	159	96.226	153	6	2	-2	2/-2
ENSG00000106526	ENSG00000133627	7.79e-140	217	93.088	202	15	-3	-2	-3/-2
ENSG00000131459	ENSG00000198380	0	446	81.166	362	84	3	1	3/1
