GOID	Molecular function	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0003714	transcription corepressor activity	22	6913	ENSG00000092607	TBX15
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	22	6591	ENSG00000019549	SNAI2
GO:0022804	active transmembrane transporter activity	22	6583	ENSG00000197208	SLC22A4
GO:0016757	transferase activity, transferring glycosyl groups	21	5837	ENSG00000068976	PYGM
GO:0008509	anion transmembrane transporter activity	21	6583	ENSG00000197208	SLC22A4
GO:0005506	iron ion binding	20	3040	ENSG00000188536	HBA2
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	20	6913	ENSG00000092607	TBX15
GO:0042393	histone binding	20	5585	ENSG00000123143	PKN1
GO:0004984	olfactory receptor activity	20	8388	ENSG00000127780	OR1E2
GO:0005200	structural constituent of cytoskeleton	19	3861	ENSG00000186847	KRT14
GO:0020037	heme binding	19	27102	ENSG00000086232	EIF2AK1
GO:0046906	tetrapyrrole binding	19	27102	ENSG00000086232	EIF2AK1
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	19	1559	ENSG00000138109	CYP2C9
GO:0033218	amide binding	19	2946	ENSG00000213366	GSTM2
GO:0015631	tubulin binding	19	4619	ENSG00000109061	MYH1
GO:0016758	transferase activity, transferring hexosyl groups	18	5837	ENSG00000068976	PYGM
GO:0004252	serine-type endopeptidase activity	18	23430	ENSG00000095917	TPSD1
GO:0042277	peptide binding	18	2946	ENSG00000213366	GSTM2
GO:0008236	serine-type peptidase activity	18	23430	ENSG00000095917	TPSD1
GO:0017171	serine hydrolase activity	18	23430	ENSG00000095917	TPSD1
GO:0031625	ubiquitin protein ligase binding	18	5898	ENSG00000006451	RALA
GO:0044389	ubiquitin-like protein ligase binding	18	5898	ENSG00000006451	RALA
GO:0015077	monovalent inorganic cation transmembrane transporter activity	18	57030	ENSG00000104888	SLC17A7
GO:0035326	enhancer binding	17	3670	ENSG00000016082	ISL1
GO:0140030	modification-dependent protein binding	17	54454	ENSG00000119778	ATAD2B
GO:0015276	ligand-gated ion channel activity	17	57030	ENSG00000104888	SLC17A7
GO:0022834	ligand-gated channel activity	17	57030	ENSG00000104888	SLC17A7
GO:1901681	sulfur compound binding	17	1311	ENSG00000105664	COMP
GO:0003779	actin binding	17	4619	ENSG00000109061	MYH1
GO:0050839	cell adhesion molecule binding	17	10893	ENSG00000125966	MMP24
GO:0004497	monooxygenase activity	16	1559	ENSG00000138109	CYP2C9
GO:0005516	calmodulin binding	16	4619	ENSG00000109061	MYH1
GO:0015291	secondary active transmembrane transporter activity	16	6583	ENSG00000197208	SLC22A4
GO:0005088	Ras guanyl-nucleotide exchange factor activity	16	10048	ENSG00000010017	RANBP9
GO:0005126	cytokine receptor binding	16	5197	ENSG00000109272	PF4V1
GO:0005085	guanyl-nucleotide exchange factor activity	16	10048	ENSG00000010017	RANBP9
GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	15	6591	ENSG00000019549	SNAI2
GO:0001104	RNA polymerase II transcription cofactor activity	15	6913	ENSG00000092607	TBX15
GO:0031490	chromatin DNA binding	15	79977	ENSG00000083307	GRHL2
GO:0001078	transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	15	6591	ENSG00000019549	SNAI2
GO:0008168	methyltransferase activity	15	84190	ENSG00000127720	METTL25
GO:0016741	transferase activity, transferring one-carbon groups	15	84190	ENSG00000127720	METTL25
GO:0030246	carbohydrate binding	15	5967	ENSG00000115386	REG1A
GO:0008017	microtubule binding	15	4619	ENSG00000109061	MYH1
GO:0140098	catalytic activity, acting on RNA	15	5438	ENSG00000105258	POLR2I
GO:0004842	ubiquitin-protein transferase activity	15	997	ENSG00000099804	CDC34
GO:0019787	ubiquitin-like protein transferase activity	15	997	ENSG00000099804	CDC34
GO:0019825	oxygen binding	14	3040	ENSG00000188536	HBA2
GO:0001158	enhancer sequence-specific DNA binding	14	3670	ENSG00000016082	ISL1
GO:0015085	calcium ion transmembrane transporter activity	14	10368	ENSG00000006116	CACNG3
GO:0008194	UDP-glycosyltransferase activity	14	5283	ENSG00000100564	PIGH
GO:0000287	magnesium ion binding	14	22983	ENSG00000105613	MAST1
GO:0005244	voltage-gated ion channel activity	14	10368	ENSG00000006116	CACNG3
GO:0022832	voltage-gated channel activity	14	10368	ENSG00000006116	CACNG3
GO:0005539	glycosaminoglycan binding	14	1311	ENSG00000105664	COMP
GO:0005125	cytokine activity	14	5197	ENSG00000109272	PF4V1
GO:0060589	nucleoside-triphosphatase regulator activity	14	5864	ENSG00000105649	RAB3A
GO:0001047	core promoter binding	13	27161	ENSG00000123908	AGO2
GO:0017048	Rho GTPase binding	13	1856	ENSG00000004975	DVL2
GO:0016829	lyase activity	13	100037417	ENSG00000099974	DDTL
GO:0016829	lyase activity	13	100037417	ENSG00000099977	DDTL
GO:0043177	organic acid binding	13	2644	ENSG00000137880	GCHFR
GO:0019887	protein kinase regulator activity	13	5880	ENSG00000128340	RAC2
GO:0019207	kinase regulator activity	13	5880	ENSG00000128340	RAC2
GO:0008514	organic anion transmembrane transporter activity	13	6583	ENSG00000197208	SLC22A4
GO:0016746	transferase activity, transferring acyl groups	13	2648	ENSG00000108773	KAT2A
GO:0050662	coenzyme binding	13	5837	ENSG00000068976	PYGM
GO:0042578	phosphoric ester hydrolase activity	13	5145	ENSG00000132915	PDE6A
GO:0004857	enzyme inhibitor activity	13	8850	ENSG00000114166	KAT2B
GO:0042826	histone deacetylase binding	12	2648	ENSG00000108773	KAT2A
GO:0099094	ligand-gated cation channel activity	12	1135	ENSG00000120903	CHRNA2
GO:0030594	neurotransmitter receptor activity	12	1135	ENSG00000120903	CHRNA2
GO:0005262	calcium channel activity	12	10368	ENSG00000006116	CACNG3
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	12	160287	ENSG00000166800	LDHAL6A
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	12	160287	ENSG00000166800	LDHAL6A
GO:0022843	voltage-gated cation channel activity	12	10368	ENSG00000006116	CACNG3
GO:0004386	helicase activity	12	23517	ENSG00000039123	MTREX
GO:0008201	heparin binding	12	1311	ENSG00000105664	COMP
GO:0051427	hormone receptor binding	12	3670	ENSG00000016082	ISL1
GO:0031406	carboxylic acid binding	12	2644	ENSG00000137880	GCHFR
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	12	2648	ENSG00000108773	KAT2A
GO:0061630	ubiquitin protein ligase activity	12	997	ENSG00000099804	CDC34
GO:0061659	ubiquitin-like protein ligase activity	12	997	ENSG00000099804	CDC34
GO:0045296	cadherin binding	12	10893	ENSG00000125966	MMP24
GO:0003729	mRNA binding	12	8531	ENSG00000060138	YBX3
GO:0001190	transcriptional activator activity, RNA polymerase II transcription factor binding	11	3670	ENSG00000016082	ISL1
GO:0031491	nucleosome binding	11	3021	ENSG00000132475	H3F3B
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	11	1044	ENSG00000113722	CDX1
GO:0005230	extracellular ligand-gated ion channel activity	11	57030	ENSG00000104888	SLC17A7
GO:0016407	acetyltransferase activity	11	2648	ENSG00000108773	KAT2A
GO:0005179	hormone activity	11	5020	ENSG00000101405	OXT
GO:0015293	symporter activity	11	6583	ENSG00000197208	SLC22A4
GO:0035257	nuclear hormone receptor binding	11	3670	ENSG00000016082	ISL1
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	11	79084	ENSG00000116455	WDR77
GO:0015103	inorganic anion transmembrane transporter activity	11	6583	ENSG00000197208	SLC22A4
GO:0004518	nuclease activity	11	27161	ENSG00000123908	AGO2
GO:0015020	glucuronosyltransferase activity	10	135152	ENSG00000112309	B3GAT2
GO:0008395	steroid hydroxylase activity	10	1559	ENSG00000138109	CYP2C9
GO:0140104	molecular carrier activity	10	3040	ENSG00000188536	HBA2
GO:0019003	GDP binding	10	5898	ENSG00000006451	RALA
GO:0002020	protease binding	10	1311	ENSG00000105664	COMP
GO:0004519	endonuclease activity	10	27161	ENSG00000123908	AGO2
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	10	140564	ENSG00000243811	APOBEC3D
GO:0008083	growth factor activity	10	5967	ENSG00000115386	REG1A
GO:0015079	potassium ion transmembrane transporter activity	10	57468	ENSG00000124140	SLC12A5
GO:0140097	catalytic activity, acting on DNA	10	548593	ENSG00000132207	SLX1A
GO:0030695	GTPase regulator activity	10	8997	ENSG00000160145	KALRN
GO:0005543	phospholipid binding	10	7057	ENSG00000137801	THBS1
GO:0031683	G-protein beta/gamma-subunit complex binding	9	2767	ENSG00000088256	GNA11
GO:0022824	transmitter-gated ion channel activity	9	1135	ENSG00000120903	CHRNA2
GO:0022835	transmitter-gated channel activity	9	1135	ENSG00000120903	CHRNA2
GO:0035064	methylated histone binding	9	57332	ENSG00000141570	CBX8
GO:0140034	methylation-dependent protein binding	9	57332	ENSG00000141570	CBX8
GO:0034212	peptide N-acetyltransferase activity	9	2648	ENSG00000108773	KAT2A
GO:0016782	transferase activity, transferring sulfur-containing groups	9	5019	ENSG00000083720	OXCT1
GO:0008080	N-acetyltransferase activity	9	2648	ENSG00000108773	KAT2A
GO:0030165	PDZ domain binding	9	6583	ENSG00000197208	SLC22A4
GO:0042562	hormone binding	9	1135	ENSG00000120903	CHRNA2
GO:0016410	N-acyltransferase activity	9	2648	ENSG00000108773	KAT2A
GO:0043021	ribonucleoprotein complex binding	9	29927	ENSG00000058262	SEC61A1
GO:0043492	ATPase activity, coupled to movement of substances	9	51382	ENSG00000100554	ATP6V1D
GO:0016853	isomerase activity	9	91734	ENSG00000148377	IDI2
GO:0005342	organic acid transmembrane transporter activity	9	57030	ENSG00000104888	SLC17A7
GO:0046943	carboxylic acid transmembrane transporter activity	9	57030	ENSG00000104888	SLC17A7
GO:0017137	Rab GTPase binding	9	78992	ENSG00000130733	YIPF2
GO:0005096	GTPase activator activity	9	8997	ENSG00000160145	KALRN
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	8	1559	ENSG00000138109	CYP2C9
GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	8	1044	ENSG00000113722	CDX1
GO:0005109	frizzled binding	8	1856	ENSG00000004975	DVL2
GO:0001105	RNA polymerase II transcription coactivator activity	8	3670	ENSG00000016082	ISL1
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	8	1584	ENSG00000160882	CYP11B1
GO:0005231	excitatory extracellular ligand-gated ion channel activity	8	57030	ENSG00000104888	SLC17A7
GO:0030295	protein kinase activator activity	8	5605	ENSG00000126934	MAP2K2
GO:0019209	kinase activator activity	8	5605	ENSG00000126934	MAP2K2
GO:0008013	beta-catenin binding	8	6662	ENSG00000125398	SOX9
GO:0015297	antiporter activity	8	6583	ENSG00000197208	SLC22A4
GO:0001046	core promoter sequence-specific DNA binding	8	6662	ENSG00000125398	SOX9
GO:0035258	steroid hormone receptor binding	8	3670	ENSG00000016082	ISL1
GO:0005549	odorant binding	8	219469	ENSG00000181693	OR8H1
GO:0015238	drug transmembrane transporter activity	8	57030	ENSG00000104888	SLC17A7
GO:0047485	protein N-terminus binding	8	23383	ENSG00000129933	MAU2
GO:0004222	metalloendopeptidase activity	8	10893	ENSG00000125966	MMP24
GO:0001085	RNA polymerase II transcription factor binding	8	3670	ENSG00000016082	ISL1
GO:0015081	sodium ion transmembrane transporter activity	8	57030	ENSG00000104888	SLC17A7
GO:0030674	protein binding, bridging	8	1856	ENSG00000004975	DVL2
GO:0008237	metallopeptidase activity	8	10893	ENSG00000125966	MMP24
GO:0060090	molecular adaptor activity	8	1856	ENSG00000004975	DVL2
GO:0003823	antigen binding	8	5340	ENSG00000122194	PLG
GO:0008234	cysteine-type peptidase activity	8	2648	ENSG00000108773	KAT2A
GO:0008391	arachidonic acid monooxygenase activity	7	1559	ENSG00000138109	CYP2C9
GO:0008392	arachidonic acid epoxygenase activity	7	1559	ENSG00000138109	CYP2C9
GO:0008519	ammonium transmembrane transporter activity	7	6583	ENSG00000197208	SLC22A4
GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	7	1135	ENSG00000120903	CHRNA2
GO:1904315	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	7	1135	ENSG00000120903	CHRNA2
GO:0098960	postsynaptic neurotransmitter receptor activity	7	1135	ENSG00000120903	CHRNA2
GO:0042165	neurotransmitter binding	7	1135	ENSG00000120903	CHRNA2
GO:0004402	histone acetyltransferase activity	7	2648	ENSG00000108773	KAT2A
GO:0061733	peptide-lysine-N-acetyltransferase activity	7	2648	ENSG00000108773	KAT2A
GO:0017022	myosin binding	7	5898	ENSG00000006451	RALA
GO:0042379	chemokine receptor binding	7	5197	ENSG00000109272	PF4V1
GO:0008135	translation factor activity, RNA binding	7	27161	ENSG00000123908	AGO2
GO:0008565	protein transporter activity	7	3839	ENSG00000102753	KPNA3
GO:0005249	voltage-gated potassium channel activity	7	610	ENSG00000099822	HCN2
GO:0015108	chloride transmembrane transporter activity	7	57030	ENSG00000104888	SLC17A7
GO:0005253	anion channel activity	7	57030	ENSG00000104888	SLC17A7
GO:0008026	ATP-dependent helicase activity	7	23517	ENSG00000039123	MTREX
GO:0070035	purine NTP-dependent helicase activity	7	23517	ENSG00000039123	MTREX
GO:0015294	solute:cation symporter activity	7	57030	ENSG00000104888	SLC17A7
GO:0016651	oxidoreductase activity, acting on NAD(P)H	7	84817	ENSG00000129235	TXNDC17
GO:0003777	microtubule motor activity	7	4619	ENSG00000109061	MYH1
GO:0036459	thiol-dependent ubiquitinyl hydrolase activity	7	2648	ENSG00000108773	KAT2A
GO:0101005	ubiquitinyl hydrolase activity	7	2648	ENSG00000108773	KAT2A
GO:0005267	potassium channel activity	7	610	ENSG00000099822	HCN2
GO:0019783	ubiquitin-like protein-specific protease activity	7	2648	ENSG00000108773	KAT2A
GO:0001653	peptide receptor activity	7	128674	ENSG00000101292	PROKR2
GO:0016247	channel regulator activity	7	10368	ENSG00000006116	CACNG3
GO:0005319	lipid transporter activity	7	10877	ENSG00000134365	CFHR4
GO:0003774	motor activity	7	4619	ENSG00000109061	MYH1
GO:0005057	signal transducer activity, downstream of receptor	7	5594	ENSG00000100030	MAPK1
GO:0061134	peptidase regulator activity	7	4018	ENSG00000198670	LPA
GO:0016791	phosphatase activity	7	8611	ENSG00000067113	PLPP1
GO:0005344	oxygen carrier activity	6	3040	ENSG00000188536	HBA2
GO:0042166	acetylcholine binding	6	1135	ENSG00000120903	CHRNA2
GO:0015464	acetylcholine receptor activity	6	1135	ENSG00000120903	CHRNA2
GO:0035198	miRNA binding	6	27161	ENSG00000123908	AGO2
GO:0043539	protein serine/threonine kinase activator activity	6	5605	ENSG00000126934	MAP2K2
GO:0061980	regulatory RNA binding	6	27161	ENSG00000123908	AGO2
GO:0016790	thiolester hydrolase activity	6	10965	ENSG00000119673	ACOT2
GO:0004601	peroxidase activity	6	2946	ENSG00000213366	GSTM2
GO:0031492	nucleosomal DNA binding	6	3021	ENSG00000132475	H3F3B
GO:0005048	signal sequence binding	6	11014	ENSG00000136240	KDELR2
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	6	2946	ENSG00000213366	GSTM2
GO:0016860	intramolecular oxidoreductase activity	6	91734	ENSG00000148377	IDI2
GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding	6	6913	ENSG00000092607	TBX15
GO:0008146	sulfotransferase activity	6	9955	ENSG00000153976	HS3ST3A1
GO:0043022	ribosome binding	6	29927	ENSG00000058262	SEC61A1
GO:0033293	monocarboxylic acid binding	6	80765	ENSG00000172345	STARD5
GO:0003730	mRNA 3'-UTR binding	6	8531	ENSG00000060138	YBX3
GO:0070063	RNA polymerase binding	6	27161	ENSG00000123908	AGO2
GO:0070405	ammonium ion binding	6	1135	ENSG00000120903	CHRNA2
GO:0003727	single-stranded RNA binding	6	23466	ENSG00000183741	CBX6
GO:0016209	antioxidant activity	6	2946	ENSG00000213366	GSTM2
GO:0008081	phosphoric diester hydrolase activity	6	5145	ENSG00000132915	PDE6A
GO:0140101	catalytic activity, acting on a tRNA	6	57570	ENSG00000126814	TRMT5
GO:0008528	G-protein coupled peptide receptor activity	6	128674	ENSG00000101292	PROKR2
GO:0016874	ligase activity	6	23205	ENSG00000103740	ACSBG1
GO:0003735	structural constituent of ribosome	6	51258	ENSG00000111639	MRPL51
GO:0019902	phosphatase binding	6	5594	ENSG00000100030	MAPK1
GO:0051015	actin filament binding	6	4619	ENSG00000109061	MYH1
GO:0004713	protein tyrosine kinase activity	6	5605	ENSG00000126934	MAP2K2
GO:0030414	peptidase inhibitor activity	6	4018	ENSG00000198670	LPA
GO:0008022	protein C-terminus binding	6	5864	ENSG00000105649	RAB3A
GO:0035091	phosphatidylinositol binding	6	8324	ENSG00000155760	FZD7
GO:0004126	cytidine deaminase activity	5	140564	ENSG00000243811	APOBEC3D
GO:0047555	3',5'-cyclic-GMP phosphodiesterase activity	5	5145	ENSG00000132915	PDE6A
GO:0022848	acetylcholine-gated cation-selective channel activity	5	1135	ENSG00000120903	CHRNA2
GO:0004383	guanylate cyclase activity	5	113	ENSG00000121281	ADCY7
GO:0004016	adenylate cyclase activity	5	113	ENSG00000121281	ADCY7
GO:0016849	phosphorus-oxygen lyase activity	5	113	ENSG00000121281	ADCY7
GO:0009975	cyclase activity	5	113	ENSG00000121281	ADCY7
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	5	5145	ENSG00000132915	PDE6A
GO:0004112	cyclic-nucleotide phosphodiesterase activity	5	5145	ENSG00000132915	PDE6A
GO:0042605	peptide antigen binding	5	10332	ENSG00000104938	CLEC4M
GO:0001106	RNA polymerase II transcription corepressor activity	5	6913	ENSG00000092607	TBX15
GO:0008175	tRNA methyltransferase activity	5	57570	ENSG00000126814	TRMT5
GO:0005217	intracellular ligand-gated ion channel activity	5	610	ENSG00000099822	HCN2
GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	5	140564	ENSG00000243811	APOBEC3D
GO:0043531	ADP binding	5	4628	ENSG00000133026	MYH10
GO:0019239	deaminase activity	5	140564	ENSG00000243811	APOBEC3D
GO:0048487	beta-tubulin binding	5	55207	ENSG00000134108	ARL8B
GO:0030551	cyclic nucleotide binding	5	610	ENSG00000099822	HCN2
GO:0004712	protein serine/threonine/tyrosine kinase activity	5	5594	ENSG00000100030	MAPK1
GO:0001102	RNA polymerase II activating transcription factor binding	5	3670	ENSG00000016082	ISL1
GO:0008009	chemokine activity	5	5197	ENSG00000109272	PF4V1
GO:0003743	translation initiation factor activity	5	27161	ENSG00000123908	AGO2
GO:0051287	NAD binding	5	2746	ENSG00000148672	GLUD1
GO:0015179	L-amino acid transmembrane transporter activity	5	57030	ENSG00000104888	SLC17A7
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	5	2946	ENSG00000213366	GSTM2
GO:0099516	ion antiporter activity	5	6583	ENSG00000197208	SLC22A4
GO:0008173	RNA methyltransferase activity	5	57570	ENSG00000126814	TRMT5
GO:0048365	Rac GTPase binding	5	1856	ENSG00000004975	DVL2
GO:0033613	activating transcription factor binding	5	3670	ENSG00000016082	ISL1
GO:0001618	virus receptor activity	5	6317	ENSG00000057149	SERPINB3
GO:0104005	hijacked molecular function	5	6317	ENSG00000057149	SERPINB3
GO:0004843	thiol-dependent ubiquitin-specific protease activity	5	9098	ENSG00000129204	USP6
GO:0015171	amino acid transmembrane transporter activity	5	57030	ENSG00000104888	SLC17A7
GO:0005254	chloride channel activity	5	57030	ENSG00000104888	SLC17A7
GO:0008094	DNA-dependent ATPase activity	5	2966	ENSG00000145736	GTF2H2
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	5	64146	ENSG00000258429	PDF
GO:0008276	protein methyltransferase activity	5	79084	ENSG00000116455	WDR77
GO:0005496	steroid binding	5	80765	ENSG00000172345	STARD5
GO:0008170	N-methyltransferase activity	5	79084	ENSG00000116455	WDR77
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	5	729201	ENSG00000171478	SPACA5B
GO:0003697	single-stranded DNA binding	5	8531	ENSG00000060138	YBX3
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	5	51382	ENSG00000100554	ATP6V1D
GO:0005178	integrin binding	5	2247	ENSG00000138685	FGF2
GO:0044325	ion channel binding	5	7533	ENSG00000128245	YWHAH
GO:0031072	heat shock protein binding	5	27000	ENSG00000105821	DNAJC2
GO:0051082	unfolded protein binding	5	81572	ENSG00000088356	PDRG1
GO:0004702	signal transducer, downstream of receptor, with serine/threonine kinase activity	5	5594	ENSG00000100030	MAPK1
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity	5	51382	ENSG00000100554	ATP6V1D
GO:0015399	primary active transmembrane transporter activity	5	51382	ENSG00000100554	ATP6V1D
GO:0016798	hydrolase activity, acting on glycosyl bonds	5	729201	ENSG00000171478	SPACA5B
GO:0019842	vitamin binding	5	5837	ENSG00000068976	PYGM
GO:0004866	endopeptidase inhibitor activity	5	4018	ENSG00000198670	LPA
GO:0061135	endopeptidase regulator activity	5	4018	ENSG00000198670	LPA
GO:0015651	quaternary ammonium group transmembrane transporter activity	4	6583	ENSG00000197208	SLC22A4
GO:0061608	nuclear import signal receptor activity	4	3839	ENSG00000102753	KPNA3
GO:0017154	semaphorin receptor activity	4	91584	ENSG00000221866	PLXNA4
GO:0008179	adenylate cyclase binding	4	805	ENSG00000143933	CALM2
GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds	4	91734	ENSG00000148377	IDI2
GO:0004708	MAP kinase kinase activity	4	5594	ENSG00000100030	MAPK1
GO:0004697	protein kinase C activity	4	5585	ENSG00000123143	PKN1
GO:0070492	oligosaccharide binding	4	5967	ENSG00000115386	REG1A
GO:0031489	myosin V binding	4	5864	ENSG00000105649	RAB3A
GO:0005402	carbohydrate:cation symporter activity	4	125206	ENSG00000154025	SLC5A10
GO:0140142	nucleocytoplasmic carrier activity	4	3839	ENSG00000102753	KPNA3
GO:0004012	phospholipid-translocating ATPase activity	4	79895	ENSG00000104043	ATP8B4
GO:0070696	transmembrane receptor protein serine/threonine kinase binding	4	55997	ENSG00000136698	CFC1
GO:0033612	receptor serine/threonine kinase binding	4	55997	ENSG00000136698	CFC1
GO:0070330	aromatase activity	4	1549	ENSG00000198077	CYP2A7
GO:0015145	monosaccharide transmembrane transporter activity	4	125206	ENSG00000154025	SLC5A10
GO:0030552	cAMP binding	4	610	ENSG00000099822	HCN2
GO:0015101	organic cation transmembrane transporter activity	4	6583	ENSG00000197208	SLC22A4
GO:0043425	bHLH transcription factor binding	4	3670	ENSG00000016082	ISL1
GO:0004683	calmodulin-dependent protein kinase activity	4	8536	ENSG00000134072	CAMK1
GO:0008139	nuclear localization sequence binding	4	3839	ENSG00000102753	KPNA3
GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	4	3284	ENSG00000203859	HSD3B2
GO:0051119	sugar transmembrane transporter activity	4	125206	ENSG00000154025	SLC5A10
GO:0004364	glutathione transferase activity	4	2946	ENSG00000213366	GSTM2
GO:0099604	ligand-gated calcium channel activity	4	2906	ENSG00000105464	GRIN2D
GO:0097718	disordered domain specific binding	4	805	ENSG00000143933	CALM2
GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	4	548593	ENSG00000132207	SLX1A
GO:0016229	steroid dehydrogenase activity	4	3284	ENSG00000203859	HSD3B2
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	4	3021	ENSG00000132475	H3F3B
GO:0015144	carbohydrate transmembrane transporter activity	4	125206	ENSG00000154025	SLC5A10
GO:0043394	proteoglycan binding	4	1311	ENSG00000105664	COMP
GO:0030331	estrogen receptor binding	4	3670	ENSG00000016082	ISL1
GO:0001221	transcription cofactor binding	4	6495	ENSG00000126778	SIX1
GO:0048020	CCR chemokine receptor binding	4	503841	ENSG00000187082	DEFB106B
GO:0060590	ATPase regulator activity	4	5864	ENSG00000105649	RAB3A
GO:0000993	RNA polymerase II core binding	4	27161	ENSG00000123908	AGO2
GO:0031593	polyubiquitin modification-dependent protein binding	4	29979	ENSG00000135018	UBQLN1
GO:0005160	transforming growth factor beta receptor binding	4	10637	ENSG00000243709	LEFTY1
GO:0005080	protein kinase C binding	4	5585	ENSG00000123143	PKN1
GO:0043175	RNA polymerase core enzyme binding	4	27161	ENSG00000123908	AGO2
GO:0045182	translation regulator activity	4	27102	ENSG00000086232	EIF2AK1
GO:0043621	protein self-association	4	1856	ENSG00000004975	DVL2
GO:0005548	phospholipid transporter activity	4	79895	ENSG00000104043	ATP8B4
GO:0019843	rRNA binding	4	56342	ENSG00000130810	PPAN
GO:0097110	scaffold protein binding	4	5605	ENSG00000126934	MAP2K2
GO:0001098	basal transcription machinery binding	4	27161	ENSG00000123908	AGO2
GO:0001099	basal RNA polymerase II transcription machinery binding	4	27161	ENSG00000123908	AGO2
GO:0016597	amino acid binding	4	2644	ENSG00000137880	GCHFR
