GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0050769	positive regulation of neurogenesis	32	1856	ENSG00000004975	DVL2
GO:0072503	cellular divalent inorganic cation homeostasis	32	5020	ENSG00000101405	OXT
GO:0015711	organic anion transport	32	6583	ENSG00000197208	SLC22A4
GO:0090596	sensory organ morphogenesis	31	1856	ENSG00000004975	DVL2
GO:0060485	mesenchyme development	31	6591	ENSG00000019549	SNAI2
GO:0050817	coagulation	31	2767	ENSG00000088256	GNA11
GO:0060537	muscle tissue development	31	3670	ENSG00000016082	ISL1
GO:0009410	response to xenobiotic stimulus	30	5020	ENSG00000101405	OXT
GO:0006631	fatty acid metabolic process	30	5564	ENSG00000111725	PRKAB1
GO:0014706	striated muscle tissue development	30	3670	ENSG00000016082	ISL1
GO:0051090	regulation of DNA binding transcription factor activity	30	1856	ENSG00000004975	DVL2
GO:0006874	cellular calcium ion homeostasis	30	5020	ENSG00000101405	OXT
GO:0055074	calcium ion homeostasis	30	5020	ENSG00000101405	OXT
GO:0010975	regulation of neuron projection development	30	1856	ENSG00000004975	DVL2
GO:0060070	canonical Wnt signaling pathway	29	1856	ENSG00000004975	DVL2
GO:0035690	cellular response to drug	29	2767	ENSG00000088256	GNA11
GO:0007596	blood coagulation	29	2767	ENSG00000088256	GNA11
GO:0001654	eye development	29	57030	ENSG00000104888	SLC17A7
GO:0007599	hemostasis	29	2767	ENSG00000088256	GNA11
GO:0048732	gland development	29	6591	ENSG00000019549	SNAI2
GO:0051051	negative regulation of transport	29	5020	ENSG00000101405	OXT
GO:0016049	cell growth	29	7473	ENSG00000108379	WNT3
GO:1901652	response to peptide	29	51382	ENSG00000100554	ATP6V1D
GO:0070268	cornification	28	3883	ENSG00000006059	KRT33A
GO:0050920	regulation of chemotaxis	28	7473	ENSG00000108379	WNT3
GO:0003007	heart morphogenesis	28	1856	ENSG00000004975	DVL2
GO:0018105	peptidyl-serine phosphorylation	28	5594	ENSG00000100030	MAPK1
GO:0008202	steroid metabolic process	28	6591	ENSG00000019549	SNAI2
GO:0030900	forebrain development	28	3670	ENSG00000016082	ISL1
GO:1904951	positive regulation of establishment of protein localization	28	7984	ENSG00000050327	ARHGEF5
GO:0060627	regulation of vesicle-mediated transport	28	5898	ENSG00000006451	RALA
GO:0009991	response to extracellular stimulus	28	6591	ENSG00000019549	SNAI2
GO:0021953	central nervous system neuron differentiation	27	3670	ENSG00000016082	ISL1
GO:0043010	camera-type eye development	27	57030	ENSG00000104888	SLC17A7
GO:0006839	mitochondrial transport	27	3002	ENSG00000100453	GZMB
GO:0007517	muscle organ development	27	3670	ENSG00000016082	ISL1
GO:0016569	covalent chromatin modification	27	6591	ENSG00000019549	SNAI2
GO:0031667	response to nutrient levels	27	6591	ENSG00000019549	SNAI2
GO:0090066	regulation of anatomical structure size	27	7473	ENSG00000108379	WNT3
GO:0007411	axon guidance	26	10048	ENSG00000010017	RANBP9
GO:0097485	neuron projection guidance	26	10048	ENSG00000010017	RANBP9
GO:0048863	stem cell differentiation	26	6591	ENSG00000019549	SNAI2
GO:0030111	regulation of Wnt signaling pathway	26	1856	ENSG00000004975	DVL2
GO:0043434	response to peptide hormone	26	51382	ENSG00000100554	ATP6V1D
GO:0048608	reproductive structure development	26	3207	ENSG00000005073	HOXA11
GO:0061458	reproductive system development	26	3207	ENSG00000005073	HOXA11
GO:1903706	regulation of hemopoiesis	26	2648	ENSG00000108773	KAT2A
GO:0007265	Ras protein signal transduction	26	5898	ENSG00000006451	RALA
GO:0070588	calcium ion transmembrane transport	25	10368	ENSG00000006116	CACNG3
GO:0032984	protein-containing complex disassembly	25	1856	ENSG00000004975	DVL2
GO:0045666	positive regulation of neuron differentiation	25	1856	ENSG00000004975	DVL2
GO:0051098	regulation of binding	25	3670	ENSG00000016082	ISL1
GO:0010639	negative regulation of organelle organization	25	2648	ENSG00000108773	KAT2A
GO:0008380	RNA splicing	25	5438	ENSG00000105258	POLR2I
GO:0023061	signal release	25	5019	ENSG00000083720	OXCT1
GO:0006979	response to oxidative stress	25	5594	ENSG00000100030	MAPK1
GO:0034765	regulation of ion transmembrane transport	25	10368	ENSG00000006116	CACNG3
GO:0062012	regulation of small molecule metabolic process	25	6591	ENSG00000019549	SNAI2
GO:0002446	neutrophil mediated immunity	25	5834	ENSG00000100994	PYGB
GO:0001655	urogenital system development	24	3207	ENSG00000005073	HOXA11
GO:1903829	positive regulation of cellular protein localization	24	3002	ENSG00000100453	GZMB
GO:0042692	muscle cell differentiation	24	2648	ENSG00000108773	KAT2A
GO:0009165	nucleotide biosynthetic process	24	5594	ENSG00000100030	MAPK1
GO:0001503	ossification	24	6591	ENSG00000019549	SNAI2
GO:1901293	nucleoside phosphate biosynthetic process	24	5594	ENSG00000100030	MAPK1
GO:0009896	positive regulation of catabolic process	24	27161	ENSG00000123908	AGO2
GO:0051222	positive regulation of protein transport	24	7984	ENSG00000050327	ARHGEF5
GO:0042391	regulation of membrane potential	24	2767	ENSG00000088256	GNA11
GO:0043254	regulation of protein complex assembly	24	7984	ENSG00000050327	ARHGEF5
GO:0009314	response to radiation	24	2767	ENSG00000088256	GNA11
GO:0016570	histone modification	24	6591	ENSG00000019549	SNAI2
GO:0002791	regulation of peptide secretion	24	5019	ENSG00000083720	OXCT1
GO:0050907	detection of chemical stimulus involved in sensory perception	24	2779	ENSG00000114349	GNAT1
GO:0006914	autophagy	24	51382	ENSG00000100554	ATP6V1D
GO:0061919	process utilizing autophagic mechanism	24	51382	ENSG00000100554	ATP6V1D
GO:0043312	neutrophil degranulation	24	5834	ENSG00000100994	PYGB
GO:0002283	neutrophil activation involved in immune response	24	5834	ENSG00000100994	PYGB
GO:0042119	neutrophil activation	24	5834	ENSG00000100994	PYGB
GO:0001708	cell fate specification	23	3207	ENSG00000005073	HOXA11
GO:0007416	synapse assembly	23	56133	ENSG00000112852	PCDHB2
GO:0071466	cellular response to xenobiotic stimulus	23	200315	ENSG00000128383	APOBEC3A
GO:0010769	regulation of cell morphogenesis involved in differentiation	23	7473	ENSG00000108379	WNT3
GO:0032103	positive regulation of response to external stimulus	23	5197	ENSG00000109272	PF4V1
GO:0071103	DNA conformation change	23	64151	ENSG00000109805	NCAPG
GO:0010721	negative regulation of cell development	23	3670	ENSG00000016082	ISL1
GO:0051480	regulation of cytosolic calcium ion concentration	23	5020	ENSG00000101405	OXT
GO:0070371	ERK1 and ERK2 cascade	23	10048	ENSG00000010017	RANBP9
GO:0019932	second-messenger-mediated signaling	23	997	ENSG00000099804	CDC34
GO:0031346	positive regulation of cell projection organization	23	5898	ENSG00000006451	RALA
GO:0071902	positive regulation of protein serine/threonine kinase activity	23	1856	ENSG00000004975	DVL2
GO:0006401	RNA catabolic process	23	4849	ENSG00000088038	CNOT3
GO:0043900	regulation of multi-organism process	23	5020	ENSG00000101405	OXT
GO:0030099	myeloid cell differentiation	23	27102	ENSG00000086232	EIF2AK1
GO:0050708	regulation of protein secretion	23	5019	ENSG00000083720	OXCT1
GO:0007608	sensory perception of smell	23	8388	ENSG00000127780	OR1E2
GO:0050900	leukocyte migration	23	7984	ENSG00000050327	ARHGEF5
GO:0006397	mRNA processing	23	5438	ENSG00000105258	POLR2I
GO:0043583	ear development	22	1856	ENSG00000004975	DVL2
GO:0048705	skeletal system morphogenesis	22	3207	ENSG00000005073	HOXA11
GO:0009266	response to temperature stimulus	22	5594	ENSG00000100030	MAPK1
GO:0007050	cell cycle arrest	22	4849	ENSG00000088038	CNOT3
GO:0060326	cell chemotaxis	22	7984	ENSG00000050327	ARHGEF5
GO:0072001	renal system development	22	3207	ENSG00000005073	HOXA11
GO:0019058	viral life cycle	22	140564	ENSG00000243811	APOBEC3D
GO:1901653	cellular response to peptide	22	51382	ENSG00000100554	ATP6V1D
GO:0032259	methylation	22	84190	ENSG00000127720	METTL25
GO:0019216	regulation of lipid metabolic process	22	6591	ENSG00000019549	SNAI2
GO:0051604	protein maturation	22	2999	ENSG00000100450	GZMH
GO:0001819	positive regulation of cytokine production	22	3670	ENSG00000016082	ISL1
GO:0003012	muscle system process	22	5020	ENSG00000101405	OXT
GO:0022613	ribonucleoprotein complex biogenesis	22	11103	ENSG00000111615	KRR1
GO:0002521	leukocyte differentiation	22	27102	ENSG00000086232	EIF2AK1
GO:0019827	stem cell population maintenance	21	4849	ENSG00000088038	CNOT3
GO:0098727	maintenance of cell number	21	4849	ENSG00000088038	CNOT3
GO:0048736	appendage development	21	3207	ENSG00000005073	HOXA11
GO:0060173	limb development	21	3207	ENSG00000005073	HOXA11
GO:0007369	gastrulation	21	3207	ENSG00000005073	HOXA11
GO:0060541	respiratory system development	21	5594	ENSG00000100030	MAPK1
GO:0050768	negative regulation of neurogenesis	21	3670	ENSG00000016082	ISL1
GO:0060828	regulation of canonical Wnt signaling pathway	21	1856	ENSG00000004975	DVL2
GO:0051961	negative regulation of nervous system development	21	3670	ENSG00000016082	ISL1
GO:0009152	purine ribonucleotide biosynthetic process	21	514	ENSG00000124172	ATP5F1E
GO:0006164	purine nucleotide biosynthetic process	21	514	ENSG00000124172	ATP5F1E
GO:0009260	ribonucleotide biosynthetic process	21	514	ENSG00000124172	ATP5F1E
GO:0072522	purine-containing compound biosynthetic process	21	514	ENSG00000124172	ATP5F1E
GO:0046390	ribose phosphate biosynthetic process	21	514	ENSG00000124172	ATP5F1E
GO:0071214	cellular response to abiotic stimulus	21	2767	ENSG00000088256	GNA11
GO:0104004	cellular response to environmental stimulus	21	2767	ENSG00000088256	GNA11
GO:0001701	in utero embryonic development	21	5594	ENSG00000100030	MAPK1
GO:0006066	alcohol metabolic process	21	51141	ENSG00000125629	INSIG2
GO:0001101	response to acid chemical	21	5020	ENSG00000101405	OXT
GO:0031331	positive regulation of cellular catabolic process	21	27161	ENSG00000123908	AGO2
GO:0050804	modulation of chemical synaptic transmission	21	10368	ENSG00000006116	CACNG3
GO:0099177	regulation of trans-synaptic signaling	21	10368	ENSG00000006116	CACNG3
GO:0010948	negative regulation of cell cycle process	21	4849	ENSG00000088038	CNOT3
GO:0006936	muscle contraction	21	5020	ENSG00000101405	OXT
GO:0032535	regulation of cellular component size	21	7473	ENSG00000108379	WNT3
GO:0070482	response to oxygen levels	21	1387	ENSG00000005339	CREBBP
GO:0051047	positive regulation of secretion	21	5019	ENSG00000083720	OXCT1
GO:0018205	peptidyl-lysine modification	21	6591	ENSG00000019549	SNAI2
GO:0048545	response to steroid hormone	21	5020	ENSG00000101405	OXT
GO:0001558	regulation of cell growth	21	7473	ENSG00000108379	WNT3
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	21	997	ENSG00000099804	CDC34
GO:0034470	ncRNA processing	21	11103	ENSG00000111615	KRR1
GO:0044282	small molecule catabolic process	21	5019	ENSG00000083720	OXCT1
GO:0001667	ameboidal-type cell migration	21	3670	ENSG00000016082	ISL1
GO:0010498	proteasomal protein catabolic process	21	997	ENSG00000099804	CDC34
GO:1901987	regulation of cell cycle phase transition	21	4849	ENSG00000088038	CNOT3
GO:0051249	regulation of lymphocyte activation	21	2648	ENSG00000108773	KAT2A
GO:0060560	developmental growth involved in morphogenesis	20	7473	ENSG00000108379	WNT3
GO:0045637	regulation of myeloid cell differentiation	20	3202	ENSG00000106004	HOXA5
GO:2000027	regulation of organ morphogenesis	20	3207	ENSG00000005073	HOXA11
GO:0098656	anion transmembrane transport	20	57030	ENSG00000104888	SLC17A7
GO:0060047	heart contraction	20	10368	ENSG00000006116	CACNG3
GO:0003015	heart process	20	10368	ENSG00000006116	CACNG3
GO:0009416	response to light stimulus	20	2767	ENSG00000088256	GNA11
GO:0071375	cellular response to peptide hormone stimulus	20	51382	ENSG00000100554	ATP6V1D
GO:0009167	purine ribonucleoside monophosphate metabolic process	20	514	ENSG00000124172	ATP5F1E
GO:0048638	regulation of developmental growth	20	7473	ENSG00000108379	WNT3
GO:0009126	purine nucleoside monophosphate metabolic process	20	514	ENSG00000124172	ATP5F1E
GO:0009161	ribonucleoside monophosphate metabolic process	20	514	ENSG00000124172	ATP5F1E
GO:0006913	nucleocytoplasmic transport	20	5594	ENSG00000100030	MAPK1
GO:0045862	positive regulation of proteolysis	20	84630	ENSG00000146216	TTBK1
GO:0006402	mRNA catabolic process	20	4849	ENSG00000088038	CNOT3
GO:0051169	nuclear transport	20	5594	ENSG00000100030	MAPK1
GO:0009123	nucleoside monophosphate metabolic process	20	514	ENSG00000124172	ATP5F1E
GO:0048193	Golgi vesicle transport	20	10175	ENSG00000100528	CNIH1
GO:2001233	regulation of apoptotic signaling pathway	20	6591	ENSG00000019549	SNAI2
GO:0043062	extracellular structure organization	20	22795	ENSG00000087303	NID2
GO:0051052	regulation of DNA metabolic process	20	5594	ENSG00000100030	MAPK1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	20	8388	ENSG00000127780	OR1E2
GO:0034249	negative regulation of cellular amide metabolic process	20	27102	ENSG00000086232	EIF2AK1
GO:0016458	gene silencing	20	4849	ENSG00000088038	CNOT3
GO:0006805	xenobiotic metabolic process	19	2946	ENSG00000213366	GSTM2
GO:0021915	neural tube development	19	5898	ENSG00000006451	RALA
GO:0030324	lung development	19	5594	ENSG00000100030	MAPK1
GO:0030323	respiratory tube development	19	5594	ENSG00000100030	MAPK1
GO:0030595	leukocyte chemotaxis	19	7984	ENSG00000050327	ARHGEF5
GO:0043543	protein acylation	19	6591	ENSG00000019549	SNAI2
GO:0061448	connective tissue development	19	3207	ENSG00000005073	HOXA11
GO:1901617	organic hydroxy compound biosynthetic process	19	6591	ENSG00000019549	SNAI2
GO:0008016	regulation of heart contraction	19	10368	ENSG00000006116	CACNG3
GO:0021700	developmental maturation	19	5864	ENSG00000105649	RAB3A
GO:0010976	positive regulation of neuron projection development	19	1856	ENSG00000004975	DVL2
GO:0001822	kidney development	19	3207	ENSG00000005073	HOXA11
GO:0072331	signal transduction by p53 class mediator	19	6591	ENSG00000019549	SNAI2
GO:1903522	regulation of blood circulation	19	10368	ENSG00000006116	CACNG3
GO:0007204	positive regulation of cytosolic calcium ion concentration	19	5020	ENSG00000101405	OXT
GO:0007568	aging	19	3861	ENSG00000186847	KRT14
GO:0071496	cellular response to external stimulus	19	6591	ENSG00000019549	SNAI2
GO:0051235	maintenance of location	19	57030	ENSG00000104888	SLC17A7
GO:0046677	response to antibiotic	19	5019	ENSG00000083720	OXCT1
GO:0032147	activation of protein kinase activity	19	5594	ENSG00000100030	MAPK1
GO:0006959	humoral immune response	19	10877	ENSG00000134365	CFHR4
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	19	10637	ENSG00000243709	LEFTY1
GO:0030198	extracellular matrix organization	19	22795	ENSG00000087303	NID2
GO:0001666	response to hypoxia	19	1387	ENSG00000005339	CREBBP
GO:0036293	response to decreased oxygen levels	19	1387	ENSG00000005339	CREBBP
GO:1903532	positive regulation of secretion by cell	19	5019	ENSG00000083720	OXCT1
GO:0045765	regulation of angiogenesis	19	3670	ENSG00000016082	ISL1
GO:0045787	positive regulation of cell cycle	19	4849	ENSG00000088038	CNOT3
GO:0032386	regulation of intracellular transport	19	5594	ENSG00000100030	MAPK1
GO:1901342	regulation of vasculature development	19	3670	ENSG00000016082	ISL1
GO:0002697	regulation of immune effector process	19	5585	ENSG00000123143	PKN1
GO:0050673	epithelial cell proliferation	19	6591	ENSG00000019549	SNAI2
GO:1901990	regulation of mitotic cell cycle phase transition	19	4849	ENSG00000088038	CNOT3
GO:0002683	negative regulation of immune system process	19	3202	ENSG00000106004	HOXA5
GO:0052547	regulation of peptidase activity	19	84630	ENSG00000146216	TTBK1
GO:0042110	T cell activation	19	2648	ENSG00000108773	KAT2A
GO:0043087	regulation of GTPase activity	19	1856	ENSG00000004975	DVL2
GO:0021510	spinal cord development	18	3670	ENSG00000016082	ISL1
GO:0042471	ear morphogenesis	18	1856	ENSG00000004975	DVL2
GO:0035270	endocrine system development	18	5594	ENSG00000100030	MAPK1
GO:0035148	tube formation	18	5898	ENSG00000006451	RALA
GO:0035821	modification of morphology or physiology of other organism	18	5967	ENSG00000115386	REG1A
GO:0042594	response to starvation	18	5019	ENSG00000083720	OXCT1
GO:0048839	inner ear development	18	1856	ENSG00000004975	DVL2
GO:0048762	mesenchymal cell differentiation	18	6591	ENSG00000019549	SNAI2
GO:0031669	cellular response to nutrient levels	18	6591	ENSG00000019549	SNAI2
GO:0051701	interaction with host	18	6584	ENSG00000197375	SLC22A5
GO:0019882	antigen processing and presentation	18	3797	ENSG00000084731	KIF3C
GO:0031668	cellular response to extracellular stimulus	18	6591	ENSG00000019549	SNAI2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	18	56133	ENSG00000112852	PCDHB2
GO:0042063	gliogenesis	18	5594	ENSG00000100030	MAPK1
GO:0048511	rhythmic process	18	2767	ENSG00000088256	GNA11
GO:0051146	striated muscle cell differentiation	18	2648	ENSG00000108773	KAT2A
GO:0071824	protein-DNA complex subunit organization	18	6662	ENSG00000125398	SOX9
GO:0030522	intracellular receptor signaling pathway	18	6591	ENSG00000019549	SNAI2
GO:0090305	nucleic acid phosphodiester bond hydrolysis	18	5438	ENSG00000105258	POLR2I
GO:0016236	macroautophagy	18	51382	ENSG00000100554	ATP6V1D
GO:0034612	response to tumor necrosis factor	18	5594	ENSG00000100030	MAPK1
GO:0046879	hormone secretion	18	5019	ENSG00000083720	OXCT1
GO:0015849	organic acid transport	18	5020	ENSG00000101405	OXT
GO:0046942	carboxylic acid transport	18	5020	ENSG00000101405	OXT
GO:0033044	regulation of chromosome organization	18	6591	ENSG00000019549	SNAI2
GO:0070997	neuron death	18	997	ENSG00000099804	CDC34
GO:0009914	hormone transport	18	5019	ENSG00000083720	OXCT1
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	18	5438	ENSG00000105258	POLR2I
GO:0000398	mRNA splicing, via spliceosome	18	5438	ENSG00000105258	POLR2I
GO:0000375	RNA splicing, via transesterification reactions	18	5438	ENSG00000105258	POLR2I
GO:0090130	tissue migration	18	59	ENSG00000107796	ACTA2
GO:0032970	regulation of actin filament-based process	18	7984	ENSG00000050327	ARHGEF5
GO:0006732	coenzyme metabolic process	18	10965	ENSG00000119673	ACOT2
GO:0007015	actin filament organization	18	7984	ENSG00000050327	ARHGEF5
GO:0006605	protein targeting	18	10368	ENSG00000006116	CACNG3
GO:0046394	carboxylic acid biosynthetic process	18	5564	ENSG00000111725	PRKAB1
GO:0016053	organic acid biosynthetic process	18	5564	ENSG00000111725	PRKAB1
GO:0045088	regulation of innate immune response	18	1387	ENSG00000005339	CREBBP
GO:0017148	negative regulation of translation	18	27102	ENSG00000086232	EIF2AK1
GO:0043687	post-translational protein modification	18	5864	ENSG00000105649	RAB3A
GO:0051656	establishment of organelle localization	18	10175	ENSG00000100528	CNIH1
GO:0031349	positive regulation of defense response	18	1387	ENSG00000005339	CREBBP
GO:0042326	negative regulation of phosphorylation	18	10048	ENSG00000010017	RANBP9
GO:0030901	midbrain development	17	2648	ENSG00000108773	KAT2A
GO:0045995	regulation of embryonic development	17	1856	ENSG00000004975	DVL2
GO:0050921	positive regulation of chemotaxis	17	5197	ENSG00000109272	PF4V1
GO:0018210	peptidyl-threonine modification	17	5594	ENSG00000100030	MAPK1
GO:0016331	morphogenesis of embryonic epithelium	17	5898	ENSG00000006451	RALA
GO:0061138	morphogenesis of a branching epithelium	17	3207	ENSG00000005073	HOXA11
GO:0006473	protein acetylation	17	6591	ENSG00000019549	SNAI2
GO:0015893	drug transport	17	57030	ENSG00000104888	SLC17A7
GO:0001763	morphogenesis of a branching structure	17	3207	ENSG00000005073	HOXA11
GO:0042445	hormone metabolic process	17	3169	ENSG00000129514	FOXA1
GO:0048738	cardiac muscle tissue development	17	3670	ENSG00000016082	ISL1
GO:0051091	positive regulation of DNA binding transcription factor activity	17	1856	ENSG00000004975	DVL2
GO:0031647	regulation of protein stability	17	5594	ENSG00000100030	MAPK1
GO:0007162	negative regulation of cell adhesion	17	6591	ENSG00000019549	SNAI2
GO:0006457	protein folding	17	81572	ENSG00000088356	PDRG1
GO:0045927	positive regulation of growth	17	7473	ENSG00000108379	WNT3
GO:0051258	protein polymerization	17	10048	ENSG00000010017	RANBP9
GO:0071356	cellular response to tumor necrosis factor	17	5594	ENSG00000100030	MAPK1
GO:0010038	response to metal ion	17	3861	ENSG00000186847	KRT14
GO:1902903	regulation of supramolecular fiber organization	17	7984	ENSG00000050327	ARHGEF5
GO:0009141	nucleoside triphosphate metabolic process	17	514	ENSG00000124172	ATP5F1E
GO:0010959	regulation of metal ion transport	17	2946	ENSG00000213366	GSTM2
GO:0050867	positive regulation of cell activation	17	84630	ENSG00000146216	TTBK1
GO:0060271	cilium assembly	17	51382	ENSG00000100554	ATP6V1D
GO:0044782	cilium organization	17	51382	ENSG00000100554	ATP6V1D
GO:0022407	regulation of cell-cell adhesion	17	6591	ENSG00000019549	SNAI2
GO:0000280	nuclear division	17	7283	ENSG00000131462	TUBG1
GO:0010256	endomembrane system organization	17	5594	ENSG00000100030	MAPK1
GO:0001933	negative regulation of protein phosphorylation	17	10048	ENSG00000010017	RANBP9
GO:0048285	organelle fission	17	7283	ENSG00000131462	TUBG1
GO:0002768	immune response-regulating cell surface receptor signaling pathway	17	5594	ENSG00000100030	MAPK1
GO:0060021	roof of mouth development	16	6591	ENSG00000019549	SNAI2
GO:0001676	long-chain fatty acid metabolic process	16	2946	ENSG00000213366	GSTM2
GO:0001838	embryonic epithelial tube formation	16	5898	ENSG00000006451	RALA
GO:0072175	epithelial tube formation	16	5898	ENSG00000006451	RALA
GO:0007498	mesoderm development	16	3207	ENSG00000005073	HOXA11
GO:0035107	appendage morphogenesis	16	3207	ENSG00000005073	HOXA11
GO:0035108	limb morphogenesis	16	3207	ENSG00000005073	HOXA11
GO:0035051	cardiocyte differentiation	16	5594	ENSG00000100030	MAPK1
GO:0051100	negative regulation of binding	16	3670	ENSG00000016082	ISL1
GO:0002685	regulation of leukocyte migration	16	5197	ENSG00000109272	PF4V1
GO:0097529	myeloid leukocyte migration	16	7984	ENSG00000050327	ARHGEF5
GO:0007219	Notch signaling pathway	16	6591	ENSG00000019549	SNAI2
GO:0060348	bone development	16	3207	ENSG00000005073	HOXA11
GO:0007626	locomotory behavior	16	10882	ENSG00000131094	C1QL1
GO:0010001	glial cell differentiation	16	5594	ENSG00000100030	MAPK1
GO:0071229	cellular response to acid chemical	16	7473	ENSG00000108379	WNT3
GO:0045665	negative regulation of neuron differentiation	16	3670	ENSG00000016082	ISL1
GO:0006323	DNA packaging	16	64151	ENSG00000109805	NCAPG
GO:0048588	developmental cell growth	16	7473	ENSG00000108379	WNT3
GO:0051054	positive regulation of DNA metabolic process	16	5594	ENSG00000100030	MAPK1
GO:0030072	peptide hormone secretion	16	5019	ENSG00000083720	OXCT1
GO:0065004	protein-DNA complex assembly	16	6662	ENSG00000125398	SOX9
GO:0071383	cellular response to steroid hormone stimulus	16	3670	ENSG00000016082	ISL1
GO:0046883	regulation of hormone secretion	16	5019	ENSG00000083720	OXCT1
GO:1990778	protein localization to cell periphery	16	282808	ENSG00000102128	RAB40AL
GO:0005996	monosaccharide metabolic process	16	2648	ENSG00000108773	KAT2A
GO:0042113	B cell activation	16	5585	ENSG00000123143	PKN1
GO:1901214	regulation of neuron death	16	997	ENSG00000099804	CDC34
GO:0043414	macromolecule methylation	16	79977	ENSG00000083307	GRHL2
GO:0031098	stress-activated protein kinase signaling cascade	16	1856	ENSG00000004975	DVL2
GO:0070646	protein modification by small protein removal	16	2648	ENSG00000108773	KAT2A
GO:0009205	purine ribonucleoside triphosphate metabolic process	16	514	ENSG00000124172	ATP5F1E
GO:0010506	regulation of autophagy	16	51382	ENSG00000100554	ATP6V1D
GO:0007018	microtubule-based movement	16	4619	ENSG00000109061	MYH1
GO:0070372	regulation of ERK1 and ERK2 cascade	16	10048	ENSG00000010017	RANBP9
GO:0009199	ribonucleoside triphosphate metabolic process	16	514	ENSG00000124172	ATP5F1E
GO:0009144	purine nucleoside triphosphate metabolic process	16	514	ENSG00000124172	ATP5F1E
GO:0016485	protein processing	16	2999	ENSG00000100450	GZMH
GO:0006898	receptor-mediated endocytosis	16	10368	ENSG00000006116	CACNG3
GO:0032956	regulation of actin cytoskeleton organization	16	7984	ENSG00000050327	ARHGEF5
GO:0043405	regulation of MAP kinase activity	16	1856	ENSG00000004975	DVL2
GO:0002696	positive regulation of leukocyte activation	16	84630	ENSG00000146216	TTBK1
GO:0010876	lipid localization	16	5020	ENSG00000101405	OXT
GO:0018108	peptidyl-tyrosine phosphorylation	16	1856	ENSG00000004975	DVL2
GO:0018212	peptidyl-tyrosine modification	16	1856	ENSG00000004975	DVL2
GO:0045785	positive regulation of cell adhesion	16	3169	ENSG00000129514	FOXA1
GO:0052548	regulation of endopeptidase activity	16	84630	ENSG00000146216	TTBK1
GO:0021515	cell differentiation in spinal cord	15	3670	ENSG00000016082	ISL1
GO:0048663	neuron fate commitment	15	3670	ENSG00000016082	ISL1
GO:0048675	axon extension	15	7473	ENSG00000108379	WNT3
GO:0003014	renal system process	15	5020	ENSG00000101405	OXT
GO:0018107	peptidyl-threonine phosphorylation	15	5594	ENSG00000100030	MAPK1
GO:0002687	positive regulation of leukocyte migration	15	5197	ENSG00000109272	PF4V1
GO:0060359	response to ammonium ion	15	2767	ENSG00000088256	GNA11
GO:0001704	formation of primary germ layer	15	3207	ENSG00000005073	HOXA11
GO:0009267	cellular response to starvation	15	5594	ENSG00000100030	MAPK1
GO:0009187	cyclic nucleotide metabolic process	15	113	ENSG00000121281	ADCY7
GO:1990138	neuron projection extension	15	7473	ENSG00000108379	WNT3
GO:0051302	regulation of cell division	15	8766	ENSG00000103769	RAB11A
GO:0003205	cardiac chamber development	15	3670	ENSG00000016082	ISL1
