GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0072503	cellular divalent inorganic cation homeostasis	19	5020	ENSG00000101405	OXT
GO:0008544	epidermis development	19	6615	ENSG00000124216	SNAI1
GO:0007265	Ras protein signal transduction	19	5898	ENSG00000006451	RALA
GO:0031667	response to nutrient levels	19	5899	ENSG00000144118	RALB
GO:0009991	response to extracellular stimulus	19	5899	ENSG00000144118	RALB
GO:0048863	stem cell differentiation	18	6591	ENSG00000019549	SNAI2
GO:0060562	epithelial tube morphogenesis	18	5898	ENSG00000006451	RALA
GO:0030111	regulation of Wnt signaling pathway	18	1856	ENSG00000004975	DVL2
GO:0051098	regulation of binding	18	5899	ENSG00000144118	RALB
GO:0019216	regulation of lipid metabolic process	18	6591	ENSG00000019549	SNAI2
GO:0014706	striated muscle tissue development	18	3670	ENSG00000016082	ISL1
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	18	8388	ENSG00000127780	OR1E2
GO:0048732	gland development	18	6591	ENSG00000019549	SNAI2
GO:0010975	regulation of neuron projection development	18	1856	ENSG00000004975	DVL2
GO:1904951	positive regulation of establishment of protein localization	18	7984	ENSG00000050327	ARHGEF5
GO:0043087	regulation of GTPase activity	18	1856	ENSG00000004975	DVL2
GO:0062012	regulation of small molecule metabolic process	18	6591	ENSG00000019549	SNAI2
GO:0003007	heart morphogenesis	17	1856	ENSG00000004975	DVL2
GO:0060326	cell chemotaxis	17	7984	ENSG00000050327	ARHGEF5
GO:0030216	keratinocyte differentiation	17	3861	ENSG00000186847	KRT14
GO:0060070	canonical Wnt signaling pathway	17	1856	ENSG00000004975	DVL2
GO:0035690	cellular response to drug	17	2767	ENSG00000088256	GNA11
GO:0030198	extracellular matrix organization	17	22795	ENSG00000087303	NID2
GO:0019932	second-messenger-mediated signaling	17	2776	ENSG00000156052	GNAQ
GO:0031346	positive regulation of cell projection organization	17	5898	ENSG00000006451	RALA
GO:0009913	epidermal cell differentiation	17	3861	ENSG00000186847	KRT14
GO:0009165	nucleotide biosynthetic process	17	27109	ENSG00000125375	ATP5S
GO:0001503	ossification	17	6591	ENSG00000019549	SNAI2
GO:1901293	nucleoside phosphate biosynthetic process	17	27109	ENSG00000125375	ATP5S
GO:2001233	regulation of apoptotic signaling pathway	17	6591	ENSG00000019549	SNAI2
GO:0009896	positive regulation of catabolic process	17	5899	ENSG00000144118	RALB
GO:0043062	extracellular structure organization	17	22795	ENSG00000087303	NID2
GO:0001819	positive regulation of cytokine production	17	1652	ENSG00000099977	DDT
GO:0034765	regulation of ion transmembrane transport	17	10368	ENSG00000006116	CACNG3
GO:1903706	regulation of hemopoiesis	17	2648	ENSG00000108773	KAT2A
GO:0050900	leukocyte migration	17	7984	ENSG00000050327	ARHGEF5
GO:0016049	cell growth	17	3872	ENSG00000128422	KRT17
GO:0006914	autophagy	17	5899	ENSG00000144118	RALB
GO:0061919	process utilizing autophagic mechanism	17	5899	ENSG00000144118	RALB
GO:0018210	peptidyl-threonine modification	16	5594	ENSG00000100030	MAPK1
GO:0043543	protein acylation	16	6591	ENSG00000019549	SNAI2
GO:0007411	axon guidance	16	5594	ENSG00000100030	MAPK1
GO:0097485	neuron projection guidance	16	5594	ENSG00000100030	MAPK1
GO:0045165	cell fate commitment	16	3670	ENSG00000016082	ISL1
GO:0032103	positive regulation of response to external stimulus	16	1652	ENSG00000099977	DDT
GO:0050808	synapse organization	16	10369	ENSG00000166862	CACNG2
GO:0070588	calcium ion transmembrane transport	16	10368	ENSG00000006116	CACNG3
GO:0007018	microtubule-based movement	16	4619	ENSG00000109061	MYH1
GO:0032984	protein-containing complex disassembly	16	1856	ENSG00000004975	DVL2
GO:0006839	mitochondrial transport	16	27109	ENSG00000125375	ATP5S
GO:0031331	positive regulation of cellular catabolic process	16	5899	ENSG00000144118	RALB
GO:0050804	modulation of chemical synaptic transmission	16	10368	ENSG00000006116	CACNG3
GO:0099177	regulation of trans-synaptic signaling	16	10368	ENSG00000006116	CACNG3
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	16	5595	ENSG00000102882	MAPK3
GO:1903829	positive regulation of cellular protein localization	16	3002	ENSG00000100453	GZMB
GO:0006631	fatty acid metabolic process	16	5595	ENSG00000102882	MAPK3
GO:0030099	myeloid cell differentiation	16	27102	ENSG00000086232	EIF2AK1
GO:0051052	regulation of DNA metabolic process	16	5594	ENSG00000100030	MAPK1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	16	997	ENSG00000099804	CDC34
GO:0006979	response to oxidative stress	16	5594	ENSG00000100030	MAPK1
GO:0010498	proteasomal protein catabolic process	16	997	ENSG00000099804	CDC34
GO:0043312	neutrophil degranulation	16	5834	ENSG00000100994	PYGB
GO:0002283	neutrophil activation involved in immune response	16	5834	ENSG00000100994	PYGB
GO:0090066	regulation of anatomical structure size	16	551	ENSG00000101200	AVP
GO:1901652	response to peptide	16	5020	ENSG00000101405	OXT
GO:0042119	neutrophil activation	16	5834	ENSG00000100994	PYGB
GO:0002446	neutrophil mediated immunity	16	5834	ENSG00000100994	PYGB
GO:0015893	drug transport	15	6584	ENSG00000197375	SLC22A5
GO:0031424	keratinization	15	3861	ENSG00000186847	KRT14
GO:0008016	regulation of heart contraction	15	10368	ENSG00000006116	CACNG3
GO:0098656	anion transmembrane transport	15	57030	ENSG00000104888	SLC17A7
GO:0010769	regulation of cell morphogenesis involved in differentiation	15	7473	ENSG00000108379	WNT3
GO:0060047	heart contraction	15	10368	ENSG00000006116	CACNG3
GO:0003015	heart process	15	10368	ENSG00000006116	CACNG3
GO:1903522	regulation of blood circulation	15	10368	ENSG00000006116	CACNG3
GO:0071496	cellular response to external stimulus	15	5899	ENSG00000144118	RALB
GO:0070372	regulation of ERK1 and ERK2 cascade	15	1652	ENSG00000099977	DDT
GO:0019058	viral life cycle	15	140564	ENSG00000243811	APOBEC3D
GO:0006066	alcohol metabolic process	15	51141	ENSG00000125629	INSIG2
GO:0032147	activation of protein kinase activity	15	5594	ENSG00000100030	MAPK1
GO:0045666	positive regulation of neuron differentiation	15	1856	ENSG00000004975	DVL2
GO:0001654	eye development	15	57030	ENSG00000104888	SLC17A7
GO:0043405	regulation of MAP kinase activity	15	1856	ENSG00000004975	DVL2
GO:0042692	muscle cell differentiation	15	2648	ENSG00000108773	KAT2A
GO:0045765	regulation of angiogenesis	15	3670	ENSG00000016082	ISL1
GO:0051604	protein maturation	15	2999	ENSG00000100450	GZMH
GO:1901342	regulation of vasculature development	15	3670	ENSG00000016082	ISL1
GO:0034470	ncRNA processing	15	51637	ENSG00000087302	RTRAF
GO:0044282	small molecule catabolic process	15	5019	ENSG00000083720	OXCT1
GO:0043434	response to peptide hormone	15	5020	ENSG00000101405	OXT
GO:0051222	positive regulation of protein transport	15	7984	ENSG00000050327	ARHGEF5
GO:0034249	negative regulation of cellular amide metabolic process	15	27102	ENSG00000086232	EIF2AK1
GO:0018107	peptidyl-threonine phosphorylation	14	5594	ENSG00000100030	MAPK1
GO:0042594	response to starvation	14	5899	ENSG00000144118	RALB
GO:0006473	protein acetylation	14	6591	ENSG00000019549	SNAI2
GO:0060541	respiratory system development	14	7965	ENSG00000106305	AIMP2
GO:0030595	leukocyte chemotaxis	14	7984	ENSG00000050327	ARHGEF5
GO:0048762	mesenchymal cell differentiation	14	6591	ENSG00000019549	SNAI2
GO:0031669	cellular response to nutrient levels	14	5899	ENSG00000144118	RALB
GO:0043583	ear development	14	1856	ENSG00000004975	DVL2
GO:0031668	cellular response to extracellular stimulus	14	5899	ENSG00000144118	RALB
GO:0045637	regulation of myeloid cell differentiation	14	8850	ENSG00000114166	KAT2B
GO:0010976	positive regulation of neuron projection development	14	1856	ENSG00000004975	DVL2
GO:0060828	regulation of canonical Wnt signaling pathway	14	1856	ENSG00000004975	DVL2
GO:0043406	positive regulation of MAP kinase activity	14	1856	ENSG00000004975	DVL2
GO:0034976	response to endoplasmic reticulum stress	14	7060	ENSG00000113296	THBS4
GO:0009410	response to xenobiotic stimulus	14	5020	ENSG00000101405	OXT
GO:0030522	intracellular receptor signaling pathway	14	6591	ENSG00000019549	SNAI2
GO:0009152	purine ribonucleotide biosynthetic process	14	27109	ENSG00000125375	ATP5S
GO:0006164	purine nucleotide biosynthetic process	14	27109	ENSG00000125375	ATP5S
GO:0043010	camera-type eye development	14	57030	ENSG00000104888	SLC17A7
GO:0009260	ribonucleotide biosynthetic process	14	27109	ENSG00000125375	ATP5S
GO:0072522	purine-containing compound biosynthetic process	14	27109	ENSG00000125375	ATP5S
GO:0046390	ribose phosphate biosynthetic process	14	27109	ENSG00000125375	ATP5S
GO:0008202	steroid metabolic process	14	6591	ENSG00000019549	SNAI2
GO:0051235	maintenance of location	14	57030	ENSG00000104888	SLC17A7
GO:0009167	purine ribonucleoside monophosphate metabolic process	14	27109	ENSG00000125375	ATP5S
GO:0048638	regulation of developmental growth	14	7473	ENSG00000108379	WNT3
GO:0009126	purine nucleoside monophosphate metabolic process	14	27109	ENSG00000125375	ATP5S
GO:0051480	regulation of cytosolic calcium ion concentration	14	5020	ENSG00000101405	OXT
GO:0009161	ribonucleoside monophosphate metabolic process	14	27109	ENSG00000125375	ATP5S
GO:0009141	nucleoside triphosphate metabolic process	14	27109	ENSG00000125375	ATP5S
GO:0006913	nucleocytoplasmic transport	14	5594	ENSG00000100030	MAPK1
GO:0051169	nuclear transport	14	5594	ENSG00000100030	MAPK1
GO:0009123	nucleoside monophosphate metabolic process	14	27109	ENSG00000125375	ATP5S
GO:0030900	forebrain development	14	2776	ENSG00000156052	GNAQ
GO:0006732	coenzyme metabolic process	14	4144	ENSG00000168906	MAT2A
GO:0018205	peptidyl-lysine modification	14	6591	ENSG00000019549	SNAI2
GO:0032386	regulation of intracellular transport	14	5594	ENSG00000100030	MAPK1
GO:0007517	muscle organ development	14	3670	ENSG00000016082	ISL1
GO:0002697	regulation of immune effector process	14	200316	ENSG00000128394	APOBEC3F
GO:0048608	reproductive structure development	14	6615	ENSG00000124216	SNAI1
GO:0008380	RNA splicing	14	51637	ENSG00000087302	RTRAF
GO:0061458	reproductive system development	14	6615	ENSG00000124216	SNAI1
GO:0023061	signal release	14	5019	ENSG00000083720	OXCT1
GO:0042391	regulation of membrane potential	14	10369	ENSG00000166862	CACNG2
GO:0043254	regulation of protein complex assembly	14	5899	ENSG00000144118	RALB
GO:0009314	response to radiation	14	2767	ENSG00000088256	GNA11
GO:0016573	histone acetylation	13	6591	ENSG00000019549	SNAI2
GO:0018393	internal peptidyl-lysine acetylation	13	6591	ENSG00000019549	SNAI2
GO:0006475	internal protein amino acid acetylation	13	6591	ENSG00000019549	SNAI2
GO:0018394	peptidyl-lysine acetylation	13	6591	ENSG00000019549	SNAI2
GO:0030324	lung development	13	7965	ENSG00000106305	AIMP2
GO:0021953	central nervous system neuron differentiation	13	2776	ENSG00000156052	GNAQ
GO:0030323	respiratory tube development	13	7965	ENSG00000106305	AIMP2
GO:0043902	positive regulation of multi-organism process	13	5020	ENSG00000101405	OXT
GO:0043393	regulation of protein binding	13	5899	ENSG00000144118	RALB
GO:0051054	positive regulation of DNA metabolic process	13	5594	ENSG00000100030	MAPK1
GO:0019882	antigen processing and presentation	13	115827	ENSG00000152932	RAB3C
GO:0046777	protein autophosphorylation	13	27102	ENSG00000086232	EIF2AK1
GO:0009266	response to temperature stimulus	13	5594	ENSG00000100030	MAPK1
GO:0070374	positive regulation of ERK1 and ERK2 cascade	13	1652	ENSG00000099977	DDT
GO:0061448	connective tissue development	13	6591	ENSG00000019549	SNAI2
GO:2000027	regulation of organ morphogenesis	13	1856	ENSG00000004975	DVL2
GO:0007050	cell cycle arrest	13	8850	ENSG00000114166	KAT2B
GO:0048511	rhythmic process	13	2767	ENSG00000088256	GNA11
GO:0090305	nucleic acid phosphodiester bond hydrolysis	13	5438	ENSG00000105258	POLR2I
GO:0071103	DNA conformation change	13	64151	ENSG00000109805	NCAPG
GO:0016236	macroautophagy	13	5899	ENSG00000144118	RALB
GO:0010721	negative regulation of cell development	13	3670	ENSG00000016082	ISL1
GO:0034612	response to tumor necrosis factor	13	5594	ENSG00000100030	MAPK1
GO:0070646	protein modification by small protein removal	13	2648	ENSG00000108773	KAT2A
GO:0009205	purine ribonucleoside triphosphate metabolic process	13	27109	ENSG00000125375	ATP5S
GO:0015849	organic acid transport	13	5020	ENSG00000101405	OXT
GO:0046942	carboxylic acid transport	13	5020	ENSG00000101405	OXT
GO:0033044	regulation of chromosome organization	13	6591	ENSG00000019549	SNAI2
GO:0009199	ribonucleoside triphosphate metabolic process	13	27109	ENSG00000125375	ATP5S
GO:0009144	purine nucleoside triphosphate metabolic process	13	27109	ENSG00000125375	ATP5S
GO:0001101	response to acid chemical	13	5020	ENSG00000101405	OXT
GO:0006898	receptor-mediated endocytosis	13	10368	ENSG00000006116	CACNG3
GO:0045862	positive regulation of proteolysis	13	5595	ENSG00000102882	MAPK3
GO:0048193	Golgi vesicle transport	13	3638	ENSG00000186480	INSIG1
GO:0050867	positive regulation of cell activation	13	89780	ENSG00000154342	WNT3A
GO:0018108	peptidyl-tyrosine phosphorylation	13	1856	ENSG00000004975	DVL2
GO:0018212	peptidyl-tyrosine modification	13	1856	ENSG00000004975	DVL2
GO:0051047	positive regulation of secretion	13	5019	ENSG00000083720	OXCT1
GO:0001558	regulation of cell growth	13	3872	ENSG00000128422	KRT17
GO:0043547	positive regulation of GTPase activity	13	1856	ENSG00000004975	DVL2
GO:0010256	endomembrane system organization	13	5594	ENSG00000100030	MAPK1
GO:0017148	negative regulation of translation	13	27102	ENSG00000086232	EIF2AK1
GO:0003012	muscle system process	13	5020	ENSG00000101405	OXT
GO:0046486	glycerolipid metabolic process	13	6583	ENSG00000197208	SLC22A4
GO:0051656	establishment of organelle localization	13	5864	ENSG00000105649	RAB3A
GO:0051249	regulation of lymphocyte activation	13	2648	ENSG00000108773	KAT2A
GO:0031349	positive regulation of defense response	13	1652	ENSG00000099977	DDT
GO:0022613	ribonucleoprotein complex biogenesis	13	11103	ENSG00000111615	KRR1
GO:0016458	gene silencing	13	5438	ENSG00000105258	POLR2I
GO:0042471	ear morphogenesis	12	1856	ENSG00000004975	DVL2
GO:0050921	positive regulation of chemotaxis	12	5595	ENSG00000102882	MAPK3
GO:0009267	cellular response to starvation	12	5899	ENSG00000144118	RALB
GO:0051100	negative regulation of binding	12	5899	ENSG00000144118	RALB
GO:0008360	regulation of cell shape	12	23433	ENSG00000119729	RHOQ
GO:0048167	regulation of synaptic plasticity	12	5594	ENSG00000100030	MAPK1
GO:0071772	response to BMP	12	5595	ENSG00000102882	MAPK3
GO:0071773	cellular response to BMP stimulus	12	5595	ENSG00000102882	MAPK3
GO:0048736	appendage development	12	2776	ENSG00000156052	GNAQ
GO:0060173	limb development	12	2776	ENSG00000156052	GNAQ
GO:0048738	cardiac muscle tissue development	12	3670	ENSG00000016082	ISL1
GO:0000302	response to reactive oxygen species	12	5594	ENSG00000100030	MAPK1
GO:1901617	organic hydroxy compound biosynthetic process	12	6591	ENSG00000019549	SNAI2
GO:0007162	negative regulation of cell adhesion	12	6591	ENSG00000019549	SNAI2
GO:0072331	signal transduction by p53 class mediator	12	6591	ENSG00000019549	SNAI2
GO:0072001	renal system development	12	9096	ENSG00000112837	TBX18
GO:0071356	cellular response to tumor necrosis factor	12	5594	ENSG00000100030	MAPK1
GO:0016579	protein deubiquitination	12	2648	ENSG00000108773	KAT2A
GO:0007204	positive regulation of cytosolic calcium ion concentration	12	5020	ENSG00000101405	OXT
GO:0031098	stress-activated protein kinase signaling cascade	12	1856	ENSG00000004975	DVL2
GO:0010506	regulation of autophagy	12	5899	ENSG00000144118	RALB
GO:0001655	urogenital system development	12	9096	ENSG00000112837	TBX18
GO:0016485	protein processing	12	2999	ENSG00000100450	GZMH
GO:0002696	positive regulation of leukocyte activation	12	89780	ENSG00000154342	WNT3A
GO:0006936	muscle contraction	12	5020	ENSG00000101405	OXT
GO:0032259	methylation	12	10498	ENSG00000142453	CARM1
GO:0032535	regulation of cellular component size	12	7473	ENSG00000108379	WNT3
GO:0010959	regulation of metal ion transport	12	7533	ENSG00000128245	YWHAH
GO:0070482	response to oxygen levels	12	1387	ENSG00000005339	CREBBP
GO:0006401	RNA catabolic process	12	23517	ENSG00000039123	MTREX
GO:0000280	nuclear division	12	7283	ENSG00000131462	TUBG1
GO:0006605	protein targeting	12	10368	ENSG00000006116	CACNG3
GO:0001667	ameboidal-type cell migration	12	3670	ENSG00000016082	ISL1
GO:0002683	negative regulation of immune system process	12	1652	ENSG00000099977	DDT
GO:0001933	negative regulation of protein phosphorylation	12	2776	ENSG00000156052	GNAQ
GO:0043687	post-translational protein modification	12	5864	ENSG00000105649	RAB3A
GO:0002791	regulation of peptide secretion	12	5019	ENSG00000083720	OXCT1
GO:0048285	organelle fission	12	7283	ENSG00000131462	TUBG1
GO:0042326	negative regulation of phosphorylation	12	2776	ENSG00000156052	GNAQ
GO:0006397	mRNA processing	12	55954	ENSG00000100319	ZMAT5
GO:0070268	cornification	11	3861	ENSG00000186847	KRT14
GO:0019827	stem cell population maintenance	11	5438	ENSG00000105258	POLR2I
GO:0098727	maintenance of cell number	11	5438	ENSG00000105258	POLR2I
GO:0030509	BMP signaling pathway	11	5595	ENSG00000102882	MAPK3
GO:0030705	cytoskeleton-dependent intracellular transport	11	3797	ENSG00000084731	KIF3C
GO:0002685	regulation of leukocyte migration	11	1652	ENSG00000099977	DDT
GO:1901796	regulation of signal transduction by p53 class mediator	11	6591	ENSG00000019549	SNAI2
GO:0051216	cartilage development	11	6591	ENSG00000019549	SNAI2
GO:0061138	morphogenesis of a branching epithelium	11	6591	ENSG00000019549	SNAI2
GO:0060348	bone development	11	1311	ENSG00000105664	COMP
GO:0050792	regulation of viral process	11	140564	ENSG00000243811	APOBEC3D
GO:0001763	morphogenesis of a branching structure	11	6591	ENSG00000019549	SNAI2
GO:0051701	interaction with host	11	6584	ENSG00000197375	SLC22A5
GO:2001234	negative regulation of apoptotic signaling pathway	11	6591	ENSG00000019549	SNAI2
GO:0016358	dendrite development	11	57468	ENSG00000124140	SLC12A5
GO:0060560	developmental growth involved in morphogenesis	11	7473	ENSG00000108379	WNT3
GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	11	140564	ENSG00000243811	APOBEC3D
GO:0046434	organophosphate catabolic process	11	5140	ENSG00000152270	PDE3B
GO:0071560	cellular response to transforming growth factor beta stimulus	11	6662	ENSG00000125398	SOX9
GO:0071559	response to transforming growth factor beta	11	6662	ENSG00000125398	SOX9
GO:0015931	nucleobase-containing compound transport	11	51637	ENSG00000087302	RTRAF
GO:0006352	DNA-templated transcription, initiation	11	5595	ENSG00000102882	MAPK3
GO:0031647	regulation of protein stability	11	1857	ENSG00000161202	DVL3
GO:0021700	developmental maturation	11	2776	ENSG00000156052	GNAQ
GO:0006457	protein folding	11	2779	ENSG00000114349	GNAT1
GO:0050768	negative regulation of neurogenesis	11	3670	ENSG00000016082	ISL1
GO:1990778	protein localization to cell periphery	11	282808	ENSG00000102128	RAB40AL
GO:0051961	negative regulation of nervous system development	11	3670	ENSG00000016082	ISL1
GO:0046034	ATP metabolic process	11	27109	ENSG00000125375	ATP5S
GO:0032102	negative regulation of response to external stimulus	11	6591	ENSG00000019549	SNAI2
GO:0071214	cellular response to abiotic stimulus	11	2767	ENSG00000088256	GNA11
GO:0104004	cellular response to environmental stimulus	11	2767	ENSG00000088256	GNA11
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	11	55954	ENSG00000100319	ZMAT5
GO:0000398	mRNA splicing, via spliceosome	11	55954	ENSG00000100319	ZMAT5
GO:0000375	RNA splicing, via transesterification reactions	11	55954	ENSG00000100319	ZMAT5
GO:1902903	regulation of supramolecular fiber organization	11	7984	ENSG00000050327	ARHGEF5
GO:0051056	regulation of small GTPase mediated signal transduction	11	7984	ENSG00000050327	ARHGEF5
GO:0051271	negative regulation of cellular component movement	11	1652	ENSG00000099977	DDT
GO:0001666	response to hypoxia	11	1387	ENSG00000005339	CREBBP
GO:0010948	negative regulation of cell cycle process	11	2648	ENSG00000108773	KAT2A
GO:0006402	mRNA catabolic process	11	27161	ENSG00000123908	AGO2
GO:0040013	negative regulation of locomotion	11	1652	ENSG00000099977	DDT
GO:0036293	response to decreased oxygen levels	11	1387	ENSG00000005339	CREBBP
GO:1903532	positive regulation of secretion by cell	11	5019	ENSG00000083720	OXCT1
GO:0060271	cilium assembly	11	7283	ENSG00000131462	TUBG1
GO:0032970	regulation of actin filament-based process	11	7984	ENSG00000050327	ARHGEF5
GO:0044782	cilium organization	11	7283	ENSG00000131462	TUBG1
GO:0022407	regulation of cell-cell adhesion	11	6591	ENSG00000019549	SNAI2
GO:0048545	response to steroid hormone	11	5020	ENSG00000101405	OXT
GO:0050673	epithelial cell proliferation	11	6591	ENSG00000019549	SNAI2
GO:0046394	carboxylic acid biosynthetic process	11	51141	ENSG00000125629	INSIG2
GO:0016053	organic acid biosynthetic process	11	51141	ENSG00000125629	INSIG2
GO:0050708	regulation of protein secretion	11	5019	ENSG00000083720	OXCT1
GO:0045088	regulation of innate immune response	11	1387	ENSG00000005339	CREBBP
GO:0052547	regulation of peptidase activity	11	551	ENSG00000101200	AVP
GO:0060021	roof of mouth development	10	6591	ENSG00000019549	SNAI2
GO:0032091	negative regulation of protein binding	10	5899	ENSG00000144118	RALB
GO:0001676	long-chain fatty acid metabolic process	10	5595	ENSG00000102882	MAPK3
GO:0002688	regulation of leukocyte chemotaxis	10	1652	ENSG00000099977	DDT
GO:0007368	determination of left/right symmetry	10	89780	ENSG00000154342	WNT3A
GO:0002687	positive regulation of leukocyte migration	10	5595	ENSG00000102882	MAPK3
GO:0060359	response to ammonium ion	10	2767	ENSG00000088256	GNA11
GO:0009855	determination of bilateral symmetry	10	89780	ENSG00000154342	WNT3A
GO:0009799	specification of symmetry	10	89780	ENSG00000154342	WNT3A
GO:0060968	regulation of gene silencing	10	5438	ENSG00000105258	POLR2I
GO:0007030	Golgi organization	10	5594	ENSG00000100030	MAPK1
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	10	7473	ENSG00000108379	WNT3
GO:0061337	cardiac conduction	10	10368	ENSG00000006116	CACNG3
GO:0000187	activation of MAPK activity	10	5594	ENSG00000100030	MAPK1
GO:0009187	cyclic nucleotide metabolic process	10	6019	ENSG00000107014	RLN2
GO:0035051	cardiocyte differentiation	10	5594	ENSG00000100030	MAPK1
GO:0035821	modification of morphology or physiology of other organism	10	5967	ENSG00000115386	REG1A
GO:2001252	positive regulation of chromosome organization	10	6591	ENSG00000019549	SNAI2
GO:0016241	regulation of macroautophagy	10	5899	ENSG00000144118	RALB
GO:0009166	nucleotide catabolic process	10	5140	ENSG00000152270	PDE3B
GO:0062013	positive regulation of small molecule metabolic process	10	2648	ENSG00000108773	KAT2A
GO:0070507	regulation of microtubule cytoskeleton organization	10	2648	ENSG00000108773	KAT2A
GO:0140056	organelle localization by membrane tethering	10	5899	ENSG00000144118	RALB
GO:1901292	nucleoside phosphate catabolic process	10	5140	ENSG00000152270	PDE3B
GO:0002478	antigen processing and presentation of exogenous peptide antigen	10	3797	ENSG00000084731	KIF3C
GO:0050803	regulation of synapse structure or activity	10	5020	ENSG00000101405	OXT
GO:0097529	myeloid leukocyte migration	10	7984	ENSG00000050327	ARHGEF5
GO:0006986	response to unfolded protein	10	7060	ENSG00000113296	THBS4
GO:0022406	membrane docking	10	5899	ENSG00000144118	RALB
GO:0007219	Notch signaling pathway	10	6591	ENSG00000019549	SNAI2
GO:0019884	antigen processing and presentation of exogenous antigen	10	3797	ENSG00000084731	KIF3C
GO:0048839	inner ear development	10	1856	ENSG00000004975	DVL2
GO:0007051	spindle organization	10	81027	ENSG00000101162	TUBB1
GO:0017157	regulation of exocytosis	10	5898	ENSG00000006451	RALA
GO:0048002	antigen processing and presentation of peptide antigen	10	3797	ENSG00000084731	KIF3C
GO:0034341	response to interferon-gamma	10	29927	ENSG00000058262	SEC61A1
GO:0032886	regulation of microtubule-based process	10	2648	ENSG00000108773	KAT2A
GO:0035966	response to topologically incorrect protein	10	7060	ENSG00000113296	THBS4
GO:0035637	multicellular organismal signaling	10	10368	ENSG00000006116	CACNG3
GO:0071229	cellular response to acid chemical	10	7473	ENSG00000108379	WNT3
GO:0030178	negative regulation of Wnt signaling pathway	10	1856	ENSG00000004975	DVL2
GO:0048705	skeletal system morphogenesis	10	6913	ENSG00000092607	TBX15
GO:0034404	nucleobase-containing small molecule biosynthetic process	10	5140	ENSG00000152270	PDE3B
