GOID	Biological Process	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0010721	negative regulation of cell development	8	8929	ENSG00000109132	PHOX2B
GO:0030216	keratinocyte differentiation	8	5583	ENSG00000027075	PRKCH
GO:0032984	protein-containing complex disassembly	8	51258	ENSG00000111639	MRPL51
GO:0048638	regulation of developmental growth	8	80351	ENSG00000107854	TNKS2
GO:0006839	mitochondrial transport	8	292	ENSG00000005022	SLC25A5
GO:0001654	eye development	8	57030	ENSG00000104888	SLC17A7
GO:0009913	epidermal cell differentiation	8	5583	ENSG00000027075	PRKCH
GO:0019216	regulation of lipid metabolic process	8	8611	ENSG00000067113	PLPP1
GO:0042692	muscle cell differentiation	8	8538	ENSG00000043039	BARX2
GO:0014706	striated muscle tissue development	8	2648	ENSG00000108773	KAT2A
GO:0060537	muscle tissue development	8	2648	ENSG00000108773	KAT2A
GO:0051090	regulation of DNA binding transcription factor activity	8	5583	ENSG00000027075	PRKCH
GO:0016570	histone modification	8	5595	ENSG00000102882	MAPK3
GO:0016569	covalent chromatin modification	8	5595	ENSG00000102882	MAPK3
GO:1901652	response to peptide	8	5595	ENSG00000102882	MAPK3
GO:0071695	anatomical structure maturation	7	4066	ENSG00000104903	LYL1
GO:0035051	cardiocyte differentiation	7	5595	ENSG00000102882	MAPK3
GO:1905475	regulation of protein localization to membrane	7	5583	ENSG00000027075	PRKCH
GO:0048469	cell maturation	7	3169	ENSG00000129514	FOXA1
GO:0051216	cartilage development	7	8538	ENSG00000043039	BARX2
GO:0060541	respiratory system development	7	5595	ENSG00000102882	MAPK3
GO:0043583	ear development	7	5595	ENSG00000102882	MAPK3
GO:0048705	skeletal system morphogenesis	7	8538	ENSG00000043039	BARX2
GO:0021537	telencephalon development	7	2648	ENSG00000108773	KAT2A
GO:0051091	positive regulation of DNA binding transcription factor activity	7	5583	ENSG00000027075	PRKCH
GO:0050768	negative regulation of neurogenesis	7	8929	ENSG00000109132	PHOX2B
GO:0010976	positive regulation of neuron projection development	7	816	ENSG00000058404	CAMK2B
GO:0010769	regulation of cell morphogenesis involved in differentiation	7	816	ENSG00000058404	CAMK2B
GO:0048511	rhythmic process	7	23596	ENSG00000054277	OPN3
GO:0009410	response to xenobiotic stimulus	7	5562	ENSG00000132356	PRKAA1
GO:0051961	negative regulation of nervous system development	7	8929	ENSG00000109132	PHOX2B
GO:0051146	striated muscle cell differentiation	7	8538	ENSG00000043039	BARX2
GO:0071824	protein-DNA complex subunit organization	7	26038	ENSG00000116254	CHD5
GO:0043010	camera-type eye development	7	57030	ENSG00000104888	SLC17A7
GO:0007568	aging	7	5159	ENSG00000113721	PDGFRB
GO:0001655	urogenital system development	7	5159	ENSG00000113721	PDGFRB
GO:0032147	activation of protein kinase activity	7	5595	ENSG00000102882	MAPK3
GO:0030198	extracellular matrix organization	7	22795	ENSG00000087303	NID2
GO:1903829	positive regulation of cellular protein localization	7	5583	ENSG00000027075	PRKCH
GO:0051098	regulation of binding	7	53339	ENSG00000064726	BTBD1
GO:0010948	negative regulation of cell cycle process	7	2648	ENSG00000108773	KAT2A
GO:0071902	positive regulation of protein serine/threonine kinase activity	7	7984	ENSG00000050327	ARHGEF5
GO:0045787	positive regulation of cell cycle	7	8929	ENSG00000109132	PHOX2B
GO:0048545	response to steroid hormone	7	8611	ENSG00000067113	PLPP1
GO:0043062	extracellular structure organization	7	22795	ENSG00000087303	NID2
GO:1901990	regulation of mitotic cell cycle phase transition	7	79959	ENSG00000101624	CEP76
GO:0043434	response to peptide hormone	7	5595	ENSG00000102882	MAPK3
GO:0009314	response to radiation	7	23596	ENSG00000054277	OPN3
GO:1901987	regulation of cell cycle phase transition	7	79959	ENSG00000101624	CEP76
GO:0070838	divalent metal ion transport	7	816	ENSG00000058404	CAMK2B
GO:0072511	divalent inorganic cation transport	7	816	ENSG00000058404	CAMK2B
GO:0007265	Ras protein signal transduction	7	7984	ENSG00000050327	ARHGEF5
GO:0031667	response to nutrient levels	7	27102	ENSG00000086232	EIF2AK1
GO:0090066	regulation of anatomical structure size	7	55558	ENSG00000130827	PLXNA3
GO:0009991	response to extracellular stimulus	7	27102	ENSG00000086232	EIF2AK1
GO:0001708	cell fate specification	6	3169	ENSG00000129514	FOXA1
GO:1903076	regulation of protein localization to plasma membrane	6	5583	ENSG00000027075	PRKCH
GO:1904375	regulation of protein localization to cell periphery	6	5583	ENSG00000027075	PRKCH
GO:0072089	stem cell proliferation	6	7482	ENSG00000134245	WNT2B
GO:0060359	response to ammonium ion	6	5595	ENSG00000102882	MAPK3
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	6	816	ENSG00000058404	CAMK2B
GO:0019827	stem cell population maintenance	6	8289	ENSG00000117713	ARID1A
GO:0021915	neural tube development	6	2648	ENSG00000108773	KAT2A
GO:0098727	maintenance of cell number	6	8289	ENSG00000117713	ARID1A
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	6	56130	ENSG00000113211	PCDHB6
GO:0030324	lung development	6	5595	ENSG00000102882	MAPK3
GO:0030323	respiratory tube development	6	5595	ENSG00000102882	MAPK3
GO:0007623	circadian rhythm	6	23596	ENSG00000054277	OPN3
GO:0048762	mesenchymal cell differentiation	6	5595	ENSG00000102882	MAPK3
GO:0045665	negative regulation of neuron differentiation	6	8929	ENSG00000109132	PHOX2B
GO:0048738	cardiac muscle tissue development	6	2648	ENSG00000108773	KAT2A
GO:0072659	protein localization to plasma membrane	6	5583	ENSG00000027075	PRKCH
GO:0009266	response to temperature stimulus	6	816	ENSG00000058404	CAMK2B
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	6	56130	ENSG00000113211	PCDHB6
GO:2000027	regulation of organ morphogenesis	6	6909	ENSG00000121068	TBX2
GO:0098656	anion transmembrane transport	6	9057	ENSG00000103064	SLC7A6
GO:1990778	protein localization to cell periphery	6	5583	ENSG00000027075	PRKCH
GO:0043406	positive regulation of MAP kinase activity	6	7984	ENSG00000050327	ARHGEF5
GO:0072331	signal transduction by p53 class mediator	6	1820	ENSG00000116017	ARID3A
GO:0060326	cell chemotaxis	6	7984	ENSG00000050327	ARHGEF5
GO:0001701	in utero embryonic development	6	4904	ENSG00000065978	YBX1
GO:0060070	canonical Wnt signaling pathway	6	80351	ENSG00000107854	TNKS2
GO:0009167	purine ribonucleoside monophosphate metabolic process	6	170685	ENSG00000122824	NUDT10
GO:0009126	purine nucleoside monophosphate metabolic process	6	170685	ENSG00000122824	NUDT10
GO:0032956	regulation of actin cytoskeleton organization	6	7984	ENSG00000050327	ARHGEF5
GO:0031331	positive regulation of cellular catabolic process	6	5595	ENSG00000102882	MAPK3
GO:0009161	ribonucleoside monophosphate metabolic process	6	170685	ENSG00000122824	NUDT10
GO:0035690	cellular response to drug	6	5595	ENSG00000102882	MAPK3
GO:0019932	second-messenger-mediated signaling	6	2906	ENSG00000105464	GRIN2D
GO:0043405	regulation of MAP kinase activity	6	7984	ENSG00000050327	ARHGEF5
GO:0045862	positive regulation of proteolysis	6	5595	ENSG00000102882	MAPK3
GO:0009123	nucleoside monophosphate metabolic process	6	170685	ENSG00000122824	NUDT10
GO:1901653	cellular response to peptide	6	5595	ENSG00000102882	MAPK3
GO:0032535	regulation of cellular component size	6	55558	ENSG00000130827	PLXNA3
GO:0001503	ossification	6	5595	ENSG00000102882	MAPK3
GO:0032970	regulation of actin filament-based process	6	7984	ENSG00000050327	ARHGEF5
GO:0018108	peptidyl-tyrosine phosphorylation	6	5595	ENSG00000102882	MAPK3
GO:0018212	peptidyl-tyrosine modification	6	5595	ENSG00000102882	MAPK3
GO:0009896	positive regulation of catabolic process	6	5595	ENSG00000102882	MAPK3
GO:0007517	muscle organ development	6	8929	ENSG00000109132	PHOX2B
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	6	53339	ENSG00000064726	BTBD1
GO:0006816	calcium ion transport	6	816	ENSG00000058404	CAMK2B
GO:0001667	ameboidal-type cell migration	6	27286	ENSG00000102359	SRPX2
GO:0006979	response to oxidative stress	6	5595	ENSG00000102882	MAPK3
GO:0010498	proteasomal protein catabolic process	6	53339	ENSG00000064726	BTBD1
GO:0051051	negative regulation of transport	6	292	ENSG00000005022	SLC25A5
GO:1904951	positive regulation of establishment of protein localization	6	7984	ENSG00000050327	ARHGEF5
GO:0006914	autophagy	6	5595	ENSG00000102882	MAPK3
GO:0043087	regulation of GTPase activity	6	7984	ENSG00000050327	ARHGEF5
GO:0061919	process utilizing autophagic mechanism	6	5595	ENSG00000102882	MAPK3
GO:0002446	neutrophil mediated immunity	6	9218	ENSG00000101558	VAPA
GO:1902667	regulation of axon guidance	5	57688	ENSG00000130449	ZSWIM6
GO:0060021	roof of mouth development	5	6909	ENSG00000121068	TBX2
GO:0030901	midbrain development	5	2648	ENSG00000108773	KAT2A
GO:1903828	negative regulation of cellular protein localization	5	23433	ENSG00000119729	RHOQ
GO:0048593	camera-type eye morphogenesis	5	8289	ENSG00000117713	ARID1A
GO:0070268	cornification	5	3881	ENSG00000094796	KRT31
GO:0042471	ear morphogenesis	5	5595	ENSG00000102882	MAPK3
GO:0007368	determination of left/right symmetry	5	6909	ENSG00000121068	TBX2
GO:0018107	peptidyl-threonine phosphorylation	5	816	ENSG00000058404	CAMK2B
GO:0045995	regulation of embryonic development	5	1044	ENSG00000113722	CDX1
GO:0009855	determination of bilateral symmetry	5	6909	ENSG00000121068	TBX2
GO:0009799	specification of symmetry	5	6909	ENSG00000121068	TBX2
GO:0072006	nephron development	5	5159	ENSG00000113721	PDGFRB
GO:0018210	peptidyl-threonine modification	5	816	ENSG00000058404	CAMK2B
GO:0048592	eye morphogenesis	5	8289	ENSG00000117713	ARID1A
GO:0014074	response to purine-containing compound	5	610	ENSG00000099822	HCN2
GO:0035821	modification of morphology or physiology of other organism	5	9218	ENSG00000101558	VAPA
GO:0030168	platelet activation	5	5583	ENSG00000027075	PRKCH
GO:1901568	fatty acid derivative metabolic process	5	5595	ENSG00000102882	MAPK3
GO:0021543	pallium development	5	55558	ENSG00000130827	PLXNA3
GO:0050770	regulation of axonogenesis	5	57688	ENSG00000130449	ZSWIM6
GO:0035265	organ growth	5	1311	ENSG00000105664	COMP
GO:0034728	nucleosome organization	5	26038	ENSG00000116254	CHD5
GO:0048736	appendage development	5	1311	ENSG00000105664	COMP
GO:0050803	regulation of synapse structure or activity	5	816	ENSG00000058404	CAMK2B
GO:0060173	limb development	5	1311	ENSG00000105664	COMP
GO:0042594	response to starvation	5	27102	ENSG00000086232	EIF2AK1
GO:0006479	protein methylation	5	26038	ENSG00000116254	CHD5
GO:0008213	protein alkylation	5	26038	ENSG00000116254	CHD5
GO:0061138	morphogenesis of a branching epithelium	5	3169	ENSG00000129514	FOXA1
GO:0060348	bone development	5	1311	ENSG00000105664	COMP
GO:0006338	chromatin remodeling	5	2648	ENSG00000108773	KAT2A
GO:0006333	chromatin assembly or disassembly	5	8289	ENSG00000117713	ARID1A
GO:0007626	locomotory behavior	5	2906	ENSG00000105464	GRIN2D
GO:0015893	drug transport	5	292	ENSG00000005022	SLC25A5
GO:0001763	morphogenesis of a branching structure	5	3169	ENSG00000129514	FOXA1
GO:0007266	Rho protein signal transduction	5	7984	ENSG00000050327	ARHGEF5
GO:0043393	regulation of protein binding	5	53339	ENSG00000064726	BTBD1
GO:0045444	fat cell differentiation	5	10498	ENSG00000142453	CARM1
GO:0060560	developmental growth involved in morphogenesis	5	6909	ENSG00000121068	TBX2
GO:0031424	keratinization	5	3881	ENSG00000094796	KRT31
GO:0043543	protein acylation	5	5595	ENSG00000102882	MAPK3
GO:0046777	protein autophosphorylation	5	816	ENSG00000058404	CAMK2B
GO:0007611	learning or memory	5	57030	ENSG00000104888	SLC17A7
GO:0003007	heart morphogenesis	5	6909	ENSG00000121068	TBX2
GO:0007050	cell cycle arrest	5	8929	ENSG00000109132	PHOX2B
GO:0065004	protein-DNA complex assembly	5	1069	ENSG00000147400	CETN2
GO:0042063	gliogenesis	5	5583	ENSG00000027075	PRKCH
GO:0071383	cellular response to steroid hormone stimulus	5	8611	ENSG00000067113	PLPP1
GO:0060828	regulation of canonical Wnt signaling pathway	5	80351	ENSG00000107854	TNKS2
GO:0001822	kidney development	5	5159	ENSG00000113721	PDGFRB
GO:0034330	cell junction organization	5	5583	ENSG00000027075	PRKCH
GO:0007548	sex differentiation	5	5159	ENSG00000113721	PDGFRB
GO:0042113	B cell activation	5	4066	ENSG00000104903	LYL1
GO:0050890	cognition	5	57030	ENSG00000104888	SLC17A7
GO:0090068	positive regulation of cell cycle process	5	8929	ENSG00000109132	PHOX2B
GO:0072001	renal system development	5	5159	ENSG00000113721	PDGFRB
GO:0030258	lipid modification	5	8611	ENSG00000067113	PLPP1
GO:0030522	intracellular receptor signaling pathway	5	8611	ENSG00000067113	PLPP1
GO:0032103	positive regulation of response to external stimulus	5	5595	ENSG00000102882	MAPK3
GO:0009152	purine ribonucleotide biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0071103	DNA conformation change	5	26038	ENSG00000116254	CHD5
GO:0016236	macroautophagy	5	5595	ENSG00000102882	MAPK3
GO:0043414	macromolecule methylation	5	26038	ENSG00000116254	CHD5
GO:0006164	purine nucleotide biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0031098	stress-activated protein kinase signaling cascade	5	7984	ENSG00000050327	ARHGEF5
GO:0072330	monocarboxylic acid biosynthetic process	5	5565	ENSG00000131791	PRKAB2
GO:0009260	ribonucleotide biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0009416	response to light stimulus	5	23596	ENSG00000054277	OPN3
GO:0072522	purine-containing compound biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0046390	ribose phosphate biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0009205	purine ribonucleoside triphosphate metabolic process	5	23433	ENSG00000119729	RHOQ
GO:0015849	organic acid transport	5	9057	ENSG00000103064	SLC7A6
GO:0046942	carboxylic acid transport	5	9057	ENSG00000103064	SLC7A6
GO:0010506	regulation of autophagy	5	5595	ENSG00000102882	MAPK3
GO:0071214	cellular response to abiotic stimulus	5	23596	ENSG00000054277	OPN3
GO:0104004	cellular response to environmental stimulus	5	23596	ENSG00000054277	OPN3
GO:0008202	steroid metabolic process	5	39	ENSG00000120437	ACAT2
GO:0071375	cellular response to peptide hormone stimulus	5	5595	ENSG00000102882	MAPK3
GO:0009199	ribonucleoside triphosphate metabolic process	5	23433	ENSG00000119729	RHOQ
GO:0009144	purine nucleoside triphosphate metabolic process	5	23433	ENSG00000119729	RHOQ
GO:0010631	epithelial cell migration	5	27286	ENSG00000102359	SRPX2
GO:0090132	epithelium migration	5	27286	ENSG00000102359	SRPX2
GO:0001101	response to acid chemical	5	5159	ENSG00000113721	PDGFRB
GO:0006959	humoral immune response	5	3075	ENSG00000000971	CFH
GO:0090130	tissue migration	5	27286	ENSG00000102359	SRPX2
GO:0009141	nucleoside triphosphate metabolic process	5	23433	ENSG00000119729	RHOQ
GO:0051056	regulation of small GTPase mediated signal transduction	5	7984	ENSG00000050327	ARHGEF5
GO:0022412	cellular process involved in reproduction in multicellular organism	5	8611	ENSG00000067113	PLPP1
GO:0030111	regulation of Wnt signaling pathway	5	80351	ENSG00000107854	TNKS2
GO:0006402	mRNA catabolic process	5	4904	ENSG00000065978	YBX1
GO:0010639	negative regulation of organelle organization	5	292	ENSG00000005022	SLC25A5
GO:0032259	methylation	5	26038	ENSG00000116254	CHD5
GO:0048193	Golgi vesicle transport	5	10079	ENSG00000054793	ATP9A
GO:0009165	nucleotide biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:1901293	nucleoside phosphate biosynthetic process	5	514	ENSG00000124172	ATP5F1E
GO:0006732	coenzyme metabolic process	5	23205	ENSG00000103740	ACSBG1
GO:0006401	RNA catabolic process	5	4904	ENSG00000065978	YBX1
GO:0007015	actin filament organization	5	7984	ENSG00000050327	ARHGEF5
GO:0018205	peptidyl-lysine modification	5	5595	ENSG00000102882	MAPK3
GO:0001558	regulation of cell growth	5	55558	ENSG00000130827	PLXNA3
GO:0001819	positive regulation of cytokine production	5	5595	ENSG00000102882	MAPK3
GO:0046394	carboxylic acid biosynthetic process	5	5565	ENSG00000131791	PRKAB2
GO:0016053	organic acid biosynthetic process	5	5565	ENSG00000131791	PRKAB2
GO:0051222	positive regulation of protein transport	5	7984	ENSG00000050327	ARHGEF5
GO:0042391	regulation of membrane potential	5	610	ENSG00000099822	HCN2
GO:0034249	negative regulation of cellular amide metabolic process	5	27102	ENSG00000086232	EIF2AK1
GO:0050900	leukocyte migration	5	7984	ENSG00000050327	ARHGEF5
GO:0072507	divalent inorganic cation homeostasis	5	2906	ENSG00000105464	GRIN2D
GO:0016049	cell growth	5	55558	ENSG00000130827	PLXNA3
GO:0002521	leukocyte differentiation	5	27102	ENSG00000086232	EIF2AK1
GO:0043312	neutrophil degranulation	5	9218	ENSG00000101558	VAPA
GO:0030335	positive regulation of cell migration	5	27286	ENSG00000102359	SRPX2
GO:0002283	neutrophil activation involved in immune response	5	9218	ENSG00000101558	VAPA
GO:0060627	regulation of vesicle-mediated transport	5	5595	ENSG00000102882	MAPK3
GO:0006397	mRNA processing	5	4904	ENSG00000065978	YBX1
GO:1901615	organic hydroxy compound metabolic process	5	39	ENSG00000120437	ACAT2
GO:0042119	neutrophil activation	5	9218	ENSG00000101558	VAPA
GO:0048841	regulation of axon extension involved in axon guidance	4	55558	ENSG00000130827	PLXNA3
GO:0007099	centriole replication	4	79959	ENSG00000101624	CEP76
GO:0048846	axon extension involved in axon guidance	4	55558	ENSG00000130827	PLXNA3
GO:0098534	centriole assembly	4	79959	ENSG00000101624	CEP76
GO:1902284	neuron projection extension involved in neuron projection guidance	4	55558	ENSG00000130827	PLXNA3
GO:0071542	dopaminergic neuron differentiation	4	8929	ENSG00000109132	PHOX2B
GO:0001947	heart looping	4	6909	ENSG00000121068	TBX2
GO:0071242	cellular response to ammonium ion	4	5595	ENSG00000102882	MAPK3
GO:0021872	forebrain generation of neurons	4	55558	ENSG00000130827	PLXNA3
GO:0051298	centrosome duplication	4	79959	ENSG00000101624	CEP76
GO:0061371	determination of heart left/right asymmetry	4	6909	ENSG00000121068	TBX2
GO:0003143	embryonic heart tube morphogenesis	4	6909	ENSG00000121068	TBX2
GO:0021954	central nervous system neuron development	4	8929	ENSG00000109132	PHOX2B
GO:0035019	somatic stem cell population maintenance	4	2247	ENSG00000138685	FGF2
GO:0035050	embryonic heart tube development	4	6909	ENSG00000121068	TBX2
GO:0072028	nephron morphogenesis	4	5159	ENSG00000113721	PDGFRB
GO:0050772	positive regulation of axonogenesis	4	55558	ENSG00000130827	PLXNA3
GO:0045844	positive regulation of striated muscle tissue development	4	6909	ENSG00000121068	TBX2
GO:0048636	positive regulation of muscle organ development	4	6909	ENSG00000121068	TBX2
GO:1901863	positive regulation of muscle tissue development	4	6909	ENSG00000121068	TBX2
GO:0030516	regulation of axon extension	4	55558	ENSG00000130827	PLXNA3
GO:0060349	bone morphogenesis	4	1311	ENSG00000105664	COMP
GO:0060993	kidney morphogenesis	4	5159	ENSG00000113721	PDGFRB
GO:0072080	nephron tubule development	4	7482	ENSG00000134245	WNT2B
GO:0061326	renal tubule development	4	7482	ENSG00000134245	WNT2B
GO:0051591	response to cAMP	4	610	ENSG00000099822	HCN2
GO:0042752	regulation of circadian rhythm	4	23596	ENSG00000054277	OPN3
GO:0061387	regulation of extent of cell growth	4	55558	ENSG00000130827	PLXNA3
GO:0001676	long-chain fatty acid metabolic process	4	5595	ENSG00000102882	MAPK3
GO:0033559	unsaturated fatty acid metabolic process	4	5595	ENSG00000102882	MAPK3
GO:0006721	terpenoid metabolic process	4	1559	ENSG00000138109	CYP2C9
GO:0072009	nephron epithelium development	4	7482	ENSG00000134245	WNT2B
GO:0006690	icosanoid metabolic process	4	5595	ENSG00000102882	MAPK3
GO:0048675	axon extension	4	55558	ENSG00000130827	PLXNA3
GO:0019079	viral genome replication	4	9218	ENSG00000101558	VAPA
GO:0007098	centrosome cycle	4	79959	ENSG00000101624	CEP76
GO:0022612	gland morphogenesis	4	6909	ENSG00000121068	TBX2
GO:1903825	organic acid transmembrane transport	4	9057	ENSG00000103064	SLC7A6
GO:1905039	carboxylic acid transmembrane transport	4	9057	ENSG00000103064	SLC7A6
GO:0055007	cardiac muscle cell differentiation	4	2648	ENSG00000108773	KAT2A
GO:0001704	formation of primary germ layer	4	8289	ENSG00000117713	ARID1A
GO:0006720	isoprenoid metabolic process	4	1559	ENSG00000138109	CYP2C9
GO:0031023	microtubule organizing center organization	4	79959	ENSG00000101624	CEP76
GO:0014065	phosphatidylinositol 3-kinase signaling	4	5595	ENSG00000102882	MAPK3
GO:0050921	positive regulation of chemotaxis	4	5595	ENSG00000102882	MAPK3
GO:0046683	response to organophosphorus	4	610	ENSG00000099822	HCN2
GO:0048565	digestive tract development	4	6909	ENSG00000121068	TBX2
GO:0061351	neural precursor cell proliferation	4	80237	ENSG00000128886	ELL3
GO:0008584	male gonad development	4	5159	ENSG00000113721	PDGFRB
GO:0090263	positive regulation of canonical Wnt signaling pathway	4	80351	ENSG00000107854	TNKS2
GO:0010977	negative regulation of neuron projection development	4	55558	ENSG00000130827	PLXNA3
GO:0030518	intracellular steroid hormone receptor signaling pathway	4	8611	ENSG00000067113	PLPP1
GO:0046546	development of primary male sexual characteristics	4	5159	ENSG00000113721	PDGFRB
GO:0009267	cellular response to starvation	4	5595	ENSG00000102882	MAPK3
GO:0072073	kidney epithelium development	4	7482	ENSG00000134245	WNT2B
GO:0008277	regulation of G-protein coupled receptor protein signaling pathway	4	5145	ENSG00000132915	PDE6A
GO:0016202	regulation of striated muscle tissue development	4	6909	ENSG00000121068	TBX2
GO:0035264	multicellular organism growth	4	80351	ENSG00000107854	TNKS2
GO:0055123	digestive system development	4	6909	ENSG00000121068	TBX2
GO:1901861	regulation of muscle tissue development	4	6909	ENSG00000121068	TBX2
GO:1902600	proton transmembrane transport	4	57030	ENSG00000104888	SLC17A7
GO:0000187	activation of MAPK activity	4	5595	ENSG00000102882	MAPK3
GO:0048634	regulation of muscle organ development	4	6909	ENSG00000121068	TBX2
GO:0016331	morphogenesis of embryonic epithelium	4	2648	ENSG00000108773	KAT2A
GO:0019933	cAMP-mediated signaling	4	2776	ENSG00000156052	GNAQ
GO:1901657	glycosyl compound metabolic process	4	23433	ENSG00000119729	RHOQ
GO:1990138	neuron projection extension	4	55558	ENSG00000130827	PLXNA3
GO:0048754	branching morphogenesis of an epithelial tube	4	3169	ENSG00000129514	FOXA1
GO:0051302	regulation of cell division	4	4904	ENSG00000065978	YBX1
GO:0006475	internal protein amino acid acetylation	4	5595	ENSG00000102882	MAPK3
GO:0048015	phosphatidylinositol-mediated signaling	4	5595	ENSG00000102882	MAPK3
GO:0000077	DNA damage checkpoint	4	1820	ENSG00000116017	ARID3A
GO:0019935	cyclic-nucleotide-mediated signaling	4	2776	ENSG00000156052	GNAQ
GO:0046661	male sex differentiation	4	5159	ENSG00000113721	PDGFRB
GO:0048017	inositol lipid-mediated signaling	4	5595	ENSG00000102882	MAPK3
GO:1902115	regulation of organelle assembly	4	7984	ENSG00000050327	ARHGEF5
GO:0008361	regulation of cell size	4	55558	ENSG00000130827	PLXNA3
GO:0016241	regulation of macroautophagy	4	5595	ENSG00000102882	MAPK3
GO:0050807	regulation of synapse organization	4	816	ENSG00000058404	CAMK2B
GO:0009166	nucleotide catabolic process	4	170685	ENSG00000122824	NUDT10
GO:0031345	negative regulation of cell projection organization	4	55558	ENSG00000130827	PLXNA3
GO:0048167	regulation of synaptic plasticity	4	816	ENSG00000058404	CAMK2B
GO:0031570	DNA integrity checkpoint	4	1820	ENSG00000116017	ARID3A
GO:0070507	regulation of microtubule cytoskeleton organization	4	79959	ENSG00000101624	CEP76
GO:0030177	positive regulation of Wnt signaling pathway	4	80351	ENSG00000107854	TNKS2
GO:0000910	cytokinesis	4	54509	ENSG00000139725	RHOF
GO:1901292	nucleoside phosphate catabolic process	4	170685	ENSG00000122824	NUDT10
GO:1901796	regulation of signal transduction by p53 class mediator	4	26038	ENSG00000116254	CHD5
GO:1905330	regulation of morphogenesis of an epithelium	4	6909	ENSG00000121068	TBX2
GO:0048839	inner ear development	4	8929	ENSG00000109132	PHOX2B
GO:0007369	gastrulation	4	8289	ENSG00000117713	ARID1A
GO:0010952	positive regulation of peptidase activity	4	5595	ENSG00000102882	MAPK3
GO:0006473	protein acetylation	4	5595	ENSG00000102882	MAPK3
GO:0043401	steroid hormone mediated signaling pathway	4	8611	ENSG00000067113	PLPP1
GO:0010001	glial cell differentiation	4	5595	ENSG00000102882	MAPK3
