Biological Process	n
homeostasis of number of cells	2
hormone secretion	2
hormone transport	2
hormone-mediated signaling pathway	2
I-kappaB kinase/NF-kappaB signaling	2
in utero embryonic development	2
inner ear development	2
inorganic anion transmembrane transport	2
inorganic anion transport	2
inositol phosphate metabolic process	2
interleukin-1-mediated signaling pathway	2
intracellular steroid hormone receptor signaling pathway	2
JNK cascade	2
kidney mesenchyme development	2
learning	2
leukocyte differentiation	2
leukocyte proliferation	2
limb morphogenesis	2
limbic system development	2
lipid localization	2
lipid phosphorylation	2
lipid translocation	2
lipid transport	2
liver development	2
long-chain fatty acid metabolic process	2
long-term memory	2
long-term synaptic potentiation	2
lung morphogenesis	2
lymphocyte proliferation	2
macromolecule glycosylation	2
macromolecule methylation	2
male gonad development	2
male sex differentiation	2
maternal behavior	2
meiotic nuclear division	2
membrane lipid biosynthetic process	2
membrane lipid metabolic process	2
mesenchyme morphogenesis	2
mesoderm development	2
mesoderm formation	2
mesoderm morphogenesis	2
mesodermal cell differentiation	2
mesodermal cell fate commitment	2
mesodermal cell fate specification	2
metanephric nephron development	2
metanephric nephron morphogenesis	2
metanephros development	2
metanephros morphogenesis	2
methylation	2
microtubule-based movement	2
middle ear morphogenesis	2
mitochondrial gene expression	2
mitotic nuclear division	2
modification of morphology or physiology of other organism	2
monoamine transport	2
mononuclear cell proliferation	2
monosaccharide metabolic process	2
morphogenesis of embryonic epithelium	2
motor neuron axon guidance	2
mRNA catabolic process	2
mRNA transport	2
multicellular organism growth	2
muscle cell fate commitment	2
muscle cell migration	2
muscle system process	2
myelination	2
myeloid leukocyte migration	2
negative adaptation of signaling pathway	2
negative chemotaxis	2
negative regulation of apoptotic signaling pathway	2
negative regulation of axon extension	2
negative regulation of axon extension involved in axon guidance	2
negative regulation of axon guidance	2
negative regulation of axonogenesis	2
negative regulation of catabolic process	2
negative regulation of cell adhesion	2
negative regulation of cell fate commitment	2
negative regulation of cell growth	2
negative regulation of cell morphogenesis involved in differentiation	2
negative regulation of chemotaxis	2
negative regulation of developmental growth	2
negative regulation of endocytosis	2
negative regulation of gene expression, epigenetic	2
negative regulation of growth	2
negative regulation of protein localization to cell periphery	2
negative regulation of protein localization to membrane	2
negative regulation of protein localization to plasma membrane	2
negative regulation of transmembrane transport	2
nerve development	2
neural tube development	2
neuromuscular process	2
neuron maturation	2
neuron projection organization	2
neuron remodeling	2
neurotransmitter transport	2
neutrophil activation	2
neutrophil activation involved in immune response	2
neutrophil degranulation	2
neutrophil mediated immunity	2
nicotinamide nucleotide biosynthetic process	2
nicotinamide nucleotide metabolic process	2
nucleic acid transport	2
nucleoside diphosphate metabolic process	2
nucleoside diphosphate phosphorylation	2
nucleoside monophosphate biosynthetic process	2
nucleoside triphosphate biosynthetic process	2
nucleosome organization	2
nucleotide phosphorylation	2
oocyte development	2
oocyte differentiation	2
oocyte maturation	2
oogenesis	2
organ induction	2
organic acid catabolic process	2
organic hydroxy compound biosynthetic process	2
organic hydroxy compound transport	2
oxidoreduction coenzyme metabolic process	2
pancreas development	2
parasympathetic nervous system development	2
parental behavior	2
peptide cross-linking	2
peptide hormone secretion	2
peptidyl-tyrosine autophosphorylation	2
phosphatidylinositol metabolic process	2
phosphatidylinositol phosphorylation	2
phospholipid translocation	2
phospholipid transport	2
phototransduction	2
polyol metabolic process	2
positive regulation of angiogenesis	2
positive regulation of ATP biosynthetic process	2
positive regulation of ATP metabolic process	2
positive regulation of autophagy	2
positive regulation of blood vessel endothelial cell migration	2
positive regulation of cardiac muscle cell proliferation	2
positive regulation of cardiac muscle tissue growth	2
positive regulation of cell division	2
positive regulation of cell migration involved in sprouting angiogenesis	2
positive regulation of chromatin organization	2
positive regulation of coenzyme metabolic process	2
positive regulation of cofactor metabolic process	2
positive regulation of cyclin-dependent protein kinase activity	2
positive regulation of cysteine-type endopeptidase activity	2
positive regulation of cytoskeleton organization	2
positive regulation of cytosolic calcium ion concentration	2
positive regulation of dendrite development	2
positive regulation of dendrite morphogenesis	2
positive regulation of dendritic spine development	2
positive regulation of dendritic spine morphogenesis	2
positive regulation of DNA binding	2
positive regulation of embryonic development	2
positive regulation of endopeptidase activity	2
positive regulation of endothelial cell migration	2
positive regulation of epithelial cell migration	2
positive regulation of epithelial cell proliferation	2
positive regulation of establishment of protein localization to mitochondrion	2
positive regulation of G-protein coupled receptor protein signaling pathway	2
positive regulation of gene expression, epigenetic	2
positive regulation of glial cell differentiation	2
positive regulation of gliogenesis	2
positive regulation of glycolytic process	2
positive regulation of heart growth	2
positive regulation of histone acetylation	2
positive regulation of histone modification	2
positive regulation of I-kappaB kinase/NF-kappaB signaling	2
positive regulation of intracellular protein transport	2
positive regulation of intracellular transport	2
positive regulation of JNK cascade	2
positive regulation of JUN kinase activity	2
positive regulation of kidney development	2
positive regulation of leukocyte activation	2
positive regulation of lipid kinase activity	2
positive regulation of mitochondrion organization	2
positive regulation of multi-organism process	2
positive regulation of neural precursor cell proliferation	2
positive regulation of nucleotide biosynthetic process	2
positive regulation of nucleotide catabolic process	2
positive regulation of nucleotide metabolic process	2
positive regulation of organ growth	2
positive regulation of peptidyl-lysine acetylation	2
positive regulation of phosphatidylinositol 3-kinase activity	2
positive regulation of phospholipid metabolic process	2
positive regulation of protein acetylation	2
positive regulation of protein catabolic process	2
positive regulation of protein complex assembly	2
positive regulation of protein kinase B signaling	2
positive regulation of protein targeting to mitochondrion	2
positive regulation of purine nucleotide biosynthetic process	2
positive regulation of purine nucleotide metabolic process	2
positive regulation of secretion	2
positive regulation of secretion by cell	2
positive regulation of skeletal muscle tissue development	2
positive regulation of smooth muscle cell proliferation	2
positive regulation of sprouting angiogenesis	2
positive regulation of stress-activated MAPK cascade	2
positive regulation of stress-activated protein kinase signaling cascade	2
positive regulation of synaptic transmission	2
positive regulation of telomere capping	2
positive regulation of telomere maintenance	2
positive regulation of telomere maintenance via telomerase	2
positive regulation of telomere maintenance via telomere lengthening	2
positive regulation of transcription regulatory region DNA binding	2
positive regulation of vasculature development	2
post-embryonic development	2
post-translational protein modification	2
postsynapse organization	2
posttranscriptional gene silencing	2
posttranscriptional gene silencing by RNA	2
potassium ion transmembrane transport	2
potassium ion transport	2
preganglionic parasympathetic fiber development	2
production of molecular mediator of immune response	2
protein alkylation	2
protein dephosphorylation	2
protein deubiquitination	2
protein glycosylation	2
protein homooligomerization	2
protein kinase B signaling	2
protein localization to chromosome	2
protein localization to mitochondrion	2
protein maturation	2
protein methylation	2
protein modification by small protein removal	2
protein N-linked glycosylation	2
protein polymerization	2
protein polyubiquitination	2
protein processing	2
protein targeting	2
protein targeting to mitochondrion	2
protein-containing complex disassembly	2
protein-DNA complex subunit organization	2
proton transmembrane transport	2
purine nucleoside diphosphate metabolic process	2
purine nucleoside monophosphate biosynthetic process	2
purine nucleoside triphosphate biosynthetic process	2
purine nucleotide catabolic process	2
purine ribonucleoside diphosphate metabolic process	2
purine ribonucleoside monophosphate biosynthetic process	2
purine ribonucleoside triphosphate biosynthetic process	2
purine ribonucleotide catabolic process	2
purine-containing compound catabolic process	2
pyridine nucleotide biosynthetic process	2
pyridine nucleotide metabolic process	2
pyridine-containing compound biosynthetic process	2
pyridine-containing compound metabolic process	2
reactive oxygen species metabolic process	2
regulation of animal organ formation	2
regulation of apoptotic signaling pathway	2
regulation of ATP biosynthetic process	2
regulation of ATP metabolic process	2
regulation of B cell activation	2
regulation of B cell proliferation	2
regulation of blood vessel endothelial cell migration	2
regulation of branching involved in ureteric bud morphogenesis	2
regulation of calcium ion transport	2
regulation of carbohydrate catabolic process	2
regulation of cardiac muscle cell proliferation	2
regulation of cardiac muscle tissue growth	2
regulation of cartilage development	2
regulation of cell division	2
regulation of cell fate specification	2
regulation of cell migration involved in sprouting angiogenesis	2
regulation of cellular response to heat	2
regulation of chromatin organization	2
regulation of coenzyme metabolic process	2
regulation of cofactor metabolic process	2
regulation of cyclin-dependent protein kinase activity	2
regulation of cysteine-type endopeptidase activity	2
regulation of cytosolic calcium ion concentration	2
regulation of dendrite morphogenesis	2
regulation of dendritic spine development	2
regulation of dendritic spine morphogenesis	2
regulation of DNA binding	2
regulation of endopeptidase activity	2
regulation of endothelial cell migration	2
regulation of epithelial cell migration	2
regulation of epithelial cell proliferation	2
regulation of establishment of protein localization to mitochondrion	2
regulation of fat cell differentiation	2
regulation of generation of precursor metabolites and energy	2
regulation of glial cell differentiation	2
regulation of gliogenesis	2
regulation of glucose import	2
regulation of glucose transmembrane transport	2
regulation of glycolytic process	2
regulation of heart growth	2
regulation of heart morphogenesis	2
regulation of hemopoiesis	2
regulation of histone acetylation	2
regulation of histone modification	2
regulation of hormone secretion	2
regulation of I-kappaB kinase/NF-kappaB signaling	2
regulation of immune effector process	2
regulation of intracellular protein transport	2
regulation of ion transmembrane transport	2
regulation of JNK cascade	2
regulation of JUN kinase activity	2
regulation of leukocyte proliferation	2
regulation of lipid kinase activity	2
regulation of lymphocyte proliferation	2
regulation of meiotic cell cycle	2
regulation of membrane lipid distribution	2
regulation of mesonephros development	2
regulation of mononuclear cell proliferation	2
regulation of morphogenesis of a branching structure	2
regulation of muscle system process	2
regulation of neural precursor cell proliferation	2
regulation of neuronal synaptic plasticity	2
regulation of neurotransmitter levels	2
regulation of nuclear division	2
regulation of nucleotide biosynthetic process	2
regulation of nucleotide catabolic process	2
regulation of nucleotide metabolic process	2
regulation of oocyte development	2
regulation of oogenesis	2
regulation of ossification	2
regulation of peptide hormone secretion	2
regulation of peptidyl-lysine acetylation	2
regulation of peptidyl-serine phosphorylation	2
regulation of phosphatidylinositol 3-kinase activity	2
regulation of phospholipid metabolic process	2
regulation of postsynapse organization	2
regulation of production of molecular mediator of immune response	2
regulation of protein acetylation	2
regulation of protein catabolic process	2
regulation of protein complex assembly	2
regulation of protein kinase B signaling	2
regulation of protein secretion	2
regulation of protein stability	2
regulation of protein targeting	2
regulation of protein targeting to mitochondrion	2
regulation of purine nucleotide biosynthetic process	2
regulation of purine nucleotide metabolic process	2
regulation of reactive oxygen species metabolic process	2
regulation of receptor internalization	2
regulation of receptor-mediated endocytosis	2
regulation of reproductive process	2
regulation of skeletal muscle tissue development	2
regulation of smooth muscle cell proliferation	2
regulation of sprouting angiogenesis	2
regulation of telomere capping	2
regulation of telomere maintenance	2
regulation of telomere maintenance via telomerase	2
regulation of telomere maintenance via telomere lengthening	2
regulation of transcription involved in cell fate commitment	2
regulation of transcription regulatory region DNA binding	2
reproductive behavior	2
reproductive structure development	2
reproductive system development	2
response to acetylcholine	2
response to anesthetic	2
response to antibiotic	2
response to cold	2
response to dsRNA	2
response to endoplasmic reticulum stress	2
response to fibroblast growth factor	2
response to heat	2
response to hydrogen peroxide	2
response to insulin	2
response to interleukin-1	2
response to ionizing radiation	2
response to lipopolysaccharide	2
response to mechanical stimulus	2
response to molecule of bacterial origin	2
response to osmotic stress	2
response to oxygen levels	2
response to retinoic acid	2
retina development in camera-type eye	2
retrograde vesicle-mediated transport, Golgi to ER	2
ribonucleoside diphosphate metabolic process	2
ribonucleoside monophosphate biosynthetic process	2
ribonucleoside triphosphate biosynthetic process	2
ribonucleotide catabolic process	2
RNA catabolic process	2
RNA localization	2
RNA transport	2
RNA-dependent DNA biosynthetic process	2
segmentation	2
semaphorin-plexin signaling pathway	2
semaphorin-plexin signaling pathway involved in axon guidance	2
semaphorin-plexin signaling pathway involved in neuron projection guidance	2
sensory perception of pain	2
sex differentiation	2
signal transduction involved in cellular response to ammonium ion	2
skeletal muscle organ development	2
skeletal muscle tissue development	2
smooth muscle cell migration	2
sodium ion transmembrane transport	2
sodium ion transport	2
somite development	2
somitogenesis	2
specification of animal organ identity	2
sphingolipid biosynthetic process	2
sphingolipid metabolic process	2
spinal cord development	2
spleen development	2
sprouting angiogenesis	2
steroid hormone mediated signaling pathway	2
striated muscle cell proliferation	2
sulfur compound metabolic process	2
synapse assembly	2
synaptic transmission, glutamatergic	2
telomere capping	2
telomere maintenance	2
telomere maintenance via telomerase	2
telomere maintenance via telomere lengthening	2
