GOID	Molecular function	Number of genes	ENTREZID	ENSEMBL	SYMBOL
GO:0004112	cyclic-nucleotide phosphodiesterase activity	2	5145	ENSG00000132915	PDE6A
GO:0001106	RNA polymerase II transcription corepressor activity	2	6913	ENSG00000092607	TBX15
GO:0008519	ammonium transmembrane transporter activity	2	83884	ENSG00000120329	SLC25A2
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	2	1559	ENSG00000138109	CYP2C9
GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	2	1044	ENSG00000113722	CDX1
GO:0015020	glucuronosyltransferase activity	2	7365	ENSG00000109181	UGT2B10
GO:0008395	steroid hydroxylase activity	2	1559	ENSG00000138109	CYP2C9
GO:0016790	thiolester hydrolase activity	2	58489	ENSG00000136379	ABHD17C
GO:0048487	beta-tubulin binding	2	55207	ENSG00000134108	ARL8B
GO:0030551	cyclic nucleotide binding	2	610	ENSG00000099822	HCN2
GO:0001105	RNA polymerase II transcription coactivator activity	2	10498	ENSG00000142453	CARM1
GO:0000993	RNA polymerase II core binding	2	26523	ENSG00000092847	AGO1
GO:1901618	organic hydroxy compound transmembrane transporter activity	2	6571	ENSG00000165646	SLC18A2
GO:0005231	excitatory extracellular ligand-gated ion channel activity	2	57030	ENSG00000104888	SLC17A7
GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding	2	6913	ENSG00000092607	TBX15
GO:0005080	protein kinase C binding	2	5585	ENSG00000123143	PKN1
GO:0043175	RNA polymerase core enzyme binding	2	26523	ENSG00000092847	AGO1
GO:0045182	translation regulator activity	2	27102	ENSG00000086232	EIF2AK1
GO:0005326	neurotransmitter transporter activity	2	57030	ENSG00000104888	SLC17A7
GO:0005548	phospholipid transporter activity	2	10079	ENSG00000054793	ATP9A
GO:0022824	transmitter-gated ion channel activity	2	2906	ENSG00000105464	GRIN2D
GO:0022835	transmitter-gated channel activity	2	2906	ENSG00000105464	GRIN2D
GO:0048306	calcium-dependent protein binding	2	10332	ENSG00000104938	CLEC4M
GO:0001098	basal transcription machinery binding	2	26523	ENSG00000092847	AGO1
GO:0001099	basal RNA polymerase II transcription machinery binding	2	26523	ENSG00000092847	AGO1
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	2	4694	ENSG00000125356	NDUFA1
GO:0005518	collagen binding	2	22795	ENSG00000087303	NID2
GO:0001190	transcriptional activator activity, RNA polymerase II transcription factor binding	2	10498	ENSG00000142453	CARM1
GO:0003730	mRNA 3'-UTR binding	2	10642	ENSG00000159217	IGF2BP1
GO:0019829	cation-transporting ATPase activity	2	514	ENSG00000124172	ATP5F1E
GO:0034212	peptide N-acetyltransferase activity	2	2648	ENSG00000108773	KAT2A
GO:0048365	Rac GTPase binding	2	5585	ENSG00000123143	PKN1
GO:0022853	active ion transmembrane transporter activity	2	514	ENSG00000124172	ATP5F1E
GO:0042625	ATPase coupled ion transmembrane transporter activity	2	514	ENSG00000124172	ATP5F1E
GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-kinase activity	2	5159	ENSG00000113721	PDGFRB
GO:0048029	monosaccharide binding	2	10332	ENSG00000104938	CLEC4M
GO:0052813	phosphatidylinositol bisphosphate kinase activity	2	5159	ENSG00000113721	PDGFRB
GO:0070063	RNA polymerase binding	2	26523	ENSG00000092847	AGO1
GO:0035004	phosphatidylinositol 3-kinase activity	2	5159	ENSG00000113721	PDGFRB
GO:0005089	Rho guanyl-nucleotide exchange factor activity	2	7984	ENSG00000050327	ARHGEF5
GO:0005254	chloride channel activity	2	57030	ENSG00000104888	SLC17A7
GO:0008080	N-acetyltransferase activity	2	2648	ENSG00000108773	KAT2A
GO:0030165	PDZ domain binding	2	8321	ENSG00000157240	FZD1
GO:0035258	steroid hormone receptor binding	2	6801	ENSG00000115808	STRN
GO:0008081	phosphoric diester hydrolase activity	2	5145	ENSG00000132915	PDE6A
GO:0051213	dioxygenase activity	2	129450	ENSG00000162971	TYW5
GO:0015108	chloride transmembrane transporter activity	2	57030	ENSG00000104888	SLC17A7
GO:0051087	chaperone binding	2	1356	ENSG00000047457	CP
GO:0016410	N-acyltransferase activity	2	2648	ENSG00000108773	KAT2A
GO:0015294	solute:cation symporter activity	2	57030	ENSG00000104888	SLC17A7
GO:0003697	single-stranded DNA binding	2	4904	ENSG00000065978	YBX1
GO:0035326	enhancer binding	2	1044	ENSG00000113722	CDX1
GO:0099094	ligand-gated cation channel activity	2	610	ENSG00000099822	HCN2
GO:0008238	exopeptidase activity	2	135293	ENSG00000146281	PM20D2
GO:0030594	neurotransmitter receptor activity	2	2906	ENSG00000105464	GRIN2D
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	2	514	ENSG00000124172	ATP5F1E
GO:0019903	protein phosphatase binding	2	2648	ENSG00000108773	KAT2A
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity	2	514	ENSG00000124172	ATP5F1E
GO:0015399	primary active transmembrane transporter activity	2	514	ENSG00000124172	ATP5F1E
GO:0015078	proton transmembrane transporter activity	2	514	ENSG00000124172	ATP5F1E
GO:0140030	modification-dependent protein binding	2	26038	ENSG00000116254	CHD5
GO:0008528	G-protein coupled peptide receptor activity	2	643	ENSG00000160683	CXCR5
GO:0019838	growth factor binding	2	27286	ENSG00000102359	SRPX2
GO:0070851	growth factor receptor binding	2	5159	ENSG00000113721	PDGFRB
GO:0019842	vitamin binding	2	63826	ENSG00000167720	SRR
GO:0015085	calcium ion transmembrane transporter activity	2	2906	ENSG00000105464	GRIN2D
GO:0015293	symporter activity	2	57030	ENSG00000104888	SLC17A7
GO:0001047	core promoter binding	2	26523	ENSG00000092847	AGO1
GO:0022843	voltage-gated cation channel activity	2	610	ENSG00000099822	HCN2
GO:0008194	UDP-glycosyltransferase activity	2	7365	ENSG00000109181	UGT2B10
GO:0015081	sodium ion transmembrane transporter activity	2	610	ENSG00000099822	HCN2
GO:0003735	structural constituent of ribosome	2	51258	ENSG00000111639	MRPL51
GO:0030674	protein binding, bridging	2	10750	ENSG00000154016	GRAP
GO:0060090	molecular adaptor activity	2	10750	ENSG00000154016	GRAP
GO:0005244	voltage-gated ion channel activity	2	610	ENSG00000099822	HCN2
GO:0005516	calmodulin binding	2	816	ENSG00000058404	CAMK2B
GO:0022832	voltage-gated channel activity	2	610	ENSG00000099822	HCN2
GO:0019887	protein kinase regulator activity	2	245711	ENSG00000163806	SPDYA
GO:0016758	transferase activity, transferring hexosyl groups	2	7365	ENSG00000109181	UGT2B10
GO:0005125	cytokine activity	2	2247	ENSG00000138685	FGF2
GO:0019207	kinase regulator activity	2	245711	ENSG00000163806	SPDYA
GO:0035091	phosphatidylinositol binding	2	257364	ENSG00000173548	SNX33
GO:0005096	GTPase activator activity	2	2776	ENSG00000156052	GNAQ
GO:0005261	cation channel activity	2	610	ENSG00000099822	HCN2
GO:0030695	GTPase regulator activity	2	2776	ENSG00000156052	GNAQ
GO:0060589	nucleoside-triphosphatase regulator activity	2	2776	ENSG00000156052	GNAQ
GO:0004857	enzyme inhibitor activity	2	57805	ENSG00000158941	CCAR2
GO:0003680	AT DNA binding	1	5456	ENSG00000196767	POU3F4
GO:0004983	neuropeptide Y receptor activity	1	10887	ENSG00000169618	PROKR1
GO:0005225	volume-sensitive anion channel activity	1	84230	ENSG00000171488	LRRC8C
GO:0005351	carbohydrate:proton symporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0005436	sodium:phosphate symporter activity	1	57030	ENSG00000104888	SLC17A7
GO:0005522	profilin binding	1	23433	ENSG00000119729	RHOQ
GO:0008474	palmitoyl-(protein) hydrolase activity	1	58489	ENSG00000136379	ABHD17C
GO:0015217	ADP transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0015651	quaternary ammonium group transmembrane transporter activity	1	83884	ENSG00000120329	SLC25A2
GO:0016725	oxidoreductase activity, acting on CH or CH2 groups	1	1559	ENSG00000138109	CYP2C9
GO:0031957	very long-chain fatty acid-CoA ligase activity	1	23205	ENSG00000103740	ACSBG1
GO:0035325	Toll-like receptor binding	1	7096	ENSG00000174125	TLR1
GO:0070016	armadillo repeat domain binding	1	6801	ENSG00000115808	STRN
GO:0071723	lipopeptide binding	1	7096	ENSG00000174125	TLR1
GO:0098599	palmitoyl hydrolase activity	1	58489	ENSG00000136379	ABHD17C
GO:0004596	peptide alpha-N-acetyltransferase activity	1	84779	ENSG00000156269	NAA11
GO:0005221	intracellular cyclic nucleotide activated cation channel activity	1	610	ENSG00000099822	HCN2
GO:0008503	benzodiazepine receptor activity	1	2557	ENSG00000109158	GABRA4
GO:0032052	bile acid binding	1	1109	ENSG00000198610	AKR1C4
GO:0033130	acetylcholine receptor binding	1	116372	ENSG00000150551	LYPD1
GO:0034452	dynactin binding	1	23299	ENSG00000185963	BICD2
GO:0042577	lipid phosphatase activity	1	8611	ENSG00000067113	PLPP1
GO:0043295	glutathione binding	1	2944	ENSG00000134184	GSTM1
GO:0043855	cyclic nucleotide-gated ion channel activity	1	610	ENSG00000099822	HCN2
GO:0048407	platelet-derived growth factor binding	1	5159	ENSG00000113721	PDGFRB
GO:0000295	adenine nucleotide transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0005346	purine ribonucleotide transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0008093	cytoskeletal adaptor activity	1	23299	ENSG00000185963	BICD2
GO:0022851	GABA-gated chloride ion channel activity	1	2557	ENSG00000109158	GABRA4
GO:0030548	acetylcholine receptor regulator activity	1	116372	ENSG00000150551	LYPD1
GO:0035925	mRNA 3'-UTR AU-rich region binding	1	677	ENSG00000185650	ZFP36L1
GO:0099602	neurotransmitter receptor regulator activity	1	116372	ENSG00000150551	LYPD1
GO:1900750	oligopeptide binding	1	2944	ENSG00000134184	GSTM1
GO:0004032	alditol:NADP+ 1-oxidoreductase activity	1	1109	ENSG00000198610	AKR1C4
GO:0004467	long-chain fatty acid-CoA ligase activity	1	23205	ENSG00000103740	ACSBG1
GO:0008020	G-protein coupled photoreceptor activity	1	23596	ENSG00000054277	OPN3
GO:0008195	phosphatidate phosphatase activity	1	8611	ENSG00000067113	PLPP1
GO:0015114	phosphate ion transmembrane transporter activity	1	57030	ENSG00000104888	SLC17A7
GO:0015216	purine nucleotide transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0016840	carbon-nitrogen lyase activity	1	63826	ENSG00000167720	SRR
GO:0034450	ubiquitin-ubiquitin ligase activity	1	57161	ENSG00000139946	PELI2
GO:0039706	co-receptor binding	1	89780	ENSG00000154342	WNT3A
GO:0050321	tau-protein kinase activity	1	5562	ENSG00000132356	PRKAA1
GO:0004089	carbonate dehydratase activity	1	763	ENSG00000174990	CA5A
GO:0004707	MAP kinase activity	1	5595	ENSG00000102882	MAPK3
GO:0005313	L-glutamate transmembrane transporter activity	1	57030	ENSG00000104888	SLC17A7
GO:0005344	oxygen carrier activity	1	3045	ENSG00000223609	HBD
GO:0005388	calcium-transporting ATPase activity	1	344905	ENSG00000187527	ATP13A5
GO:0015172	acidic amino acid transmembrane transporter activity	1	57030	ENSG00000104888	SLC17A7
GO:0017110	nucleoside-diphosphatase activity	1	957	ENSG00000187097	ENTPD5
GO:0019215	intermediate filament binding	1	3861	ENSG00000186847	KRT14
GO:0032794	GTPase activating protein binding	1	91010	ENSG00000161791	FMNL3
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	1	5139	ENSG00000172572	PDE3A
GO:0004708	MAP kinase kinase activity	1	5595	ENSG00000102882	MAPK3
GO:0005161	platelet-derived growth factor receptor binding	1	5159	ENSG00000113721	PDGFRB
GO:0009881	photoreceptor activity	1	23596	ENSG00000054277	OPN3
GO:0016594	glycine binding	1	63826	ENSG00000167720	SRR
GO:0050811	GABA receptor binding	1	11337	ENSG00000170296	GABARAP
GO:0004551	nucleotide diphosphatase activity	1	170685	ENSG00000122824	NUDT10
GO:0005237	inhibitory extracellular ligand-gated ion channel activity	1	2557	ENSG00000109158	GABRA4
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	1	84817	ENSG00000129235	TXNDC17
GO:0016805	dipeptidase activity	1	135293	ENSG00000146281	PM20D2
GO:0017160	Ral GTPase binding	1	5583	ENSG00000027075	PRKCH
GO:0034185	apolipoprotein binding	1	5340	ENSG00000122194	PLG
GO:0070492	oligosaccharide binding	1	5968	ENSG00000172023	REG1B
GO:0015095	magnesium ion transmembrane transporter activity	1	54805	ENSG00000148842	CNNM2
GO:0015215	nucleotide transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0016722	oxidoreductase activity, oxidizing metal ions	1	1356	ENSG00000047457	CP
GO:0016755	transferase activity, transferring amino-acyl groups	1	2038	ENSG00000166947	EPB42
GO:0030280	structural constituent of epidermis	1	6704	ENSG00000203785	SPRR2E
GO:0030676	Rac guanyl-nucleotide exchange factor activity	1	8997	ENSG00000160145	KALRN
GO:0042834	peptidoglycan binding	1	5968	ENSG00000172023	REG1B
GO:0045236	CXCR chemokine receptor binding	1	6374	ENSG00000163735	CXCL5
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	1	514	ENSG00000124172	ATP5F1E
GO:0055106	ubiquitin-protein transferase regulator activity	1	6015	ENSG00000204227	RING1
GO:0005402	carbohydrate:cation symporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0005537	mannose binding	1	10332	ENSG00000104938	CLEC4M
GO:0010485	H4 histone acetyltransferase activity	1	2648	ENSG00000108773	KAT2A
GO:0015125	bile acid transmembrane transporter activity	1	1109	ENSG00000198610	AKR1C4
GO:0016854	racemase and epimerase activity	1	63826	ENSG00000167720	SRR
GO:0047617	acyl-CoA hydrolase activity	1	26027	ENSG00000162390	ACOT11
GO:0070182	DNA polymerase binding	1	55215	ENSG00000140525	FANCI
GO:0070577	lysine-acetylated histone binding	1	10498	ENSG00000142453	CARM1
GO:0071837	HMG box domain binding	1	5455	ENSG00000198914	POU3F3
GO:0097602	cullin family protein binding	1	54442	ENSG00000167977	KCTD5
GO:0140033	acetylation-dependent protein binding	1	10498	ENSG00000142453	CARM1
GO:0004890	GABA-A receptor activity	1	2557	ENSG00000109158	GABRA4
GO:0004970	ionotropic glutamate receptor activity	1	2906	ENSG00000105464	GRIN2D
GO:0031690	adrenergic receptor binding	1	156	ENSG00000173020	GRK2
GO:0016289	CoA hydrolase activity	1	26027	ENSG00000162390	ACOT11
GO:0016408	C-acyltransferase activity	1	39	ENSG00000120437	ACAT2
GO:0031418	L-ascorbic acid binding	1	79701	ENSG00000181396	OGFOD3
GO:0070006	metalloaminopeptidase activity	1	4325	ENSG00000156103	MMP16
GO:0001871	pattern binding	1	2220	ENSG00000160339	FCN2
GO:0003950	NAD+ ADP-ribosyltransferase activity	1	80351	ENSG00000107854	TNKS2
GO:0005355	glucose transmembrane transporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0008327	methyl-CpG binding	1	79084	ENSG00000116455	WDR77
GO:0008483	transaminase activity	1	2673	ENSG00000198380	GFPT1
GO:0015645	fatty acid ligase activity	1	23205	ENSG00000103740	ACSBG1
GO:0016922	ligand-dependent nuclear receptor binding	1	8289	ENSG00000117713	ARID1A
GO:0017049	GTP-Rho binding	1	5585	ENSG00000123143	PKN1
GO:0030247	polysaccharide binding	1	2220	ENSG00000160339	FCN2
GO:0008106	alcohol dehydrogenase (NADP+) activity	1	1109	ENSG00000198610	AKR1C4
GO:0015149	hexose transmembrane transporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0016917	GABA receptor activity	1	2557	ENSG00000109158	GABRA4
GO:0042813	Wnt-activated receptor activity	1	8321	ENSG00000157240	FZD1
GO:0005248	voltage-gated sodium channel activity	1	610	ENSG00000099822	HCN2
GO:0016769	transferase activity, transferring nitrogenous groups	1	2673	ENSG00000198380	GFPT1
GO:0048027	mRNA 5'-UTR binding	1	10642	ENSG00000159217	IGF2BP1
GO:0015145	monosaccharide transmembrane transporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0015605	organophosphate ester transmembrane transporter activity	1	292	ENSG00000005022	SLC25A5
GO:0035198	miRNA binding	1	26523	ENSG00000092847	AGO1
GO:0042974	retinoic acid receptor binding	1	1488	ENSG00000175029	CTBP2
GO:0015295	solute:proton symporter activity	1	154091	ENSG00000146411	SLC2A12
GO:0017091	AU-rich element binding	1	677	ENSG00000185650	ZFP36L1
GO:0030547	receptor inhibitor activity	1	116372	ENSG00000150551	LYPD1
GO:0080025	phosphatidylinositol-3,5-bisphosphate binding	1	157807	ENSG00000177182	CLVS1
