Biological Process	Number of genes
heart contraction	15
heart process	15
regulation of blood circulation	15
cellular response to external stimulus	15
regulation of ERK1 and ERK2 cascade	15
viral life cycle	15
alcohol metabolic process	15
activation of protein kinase activity	15
positive regulation of neuron differentiation	15
eye development	15
regulation of MAP kinase activity	15
muscle cell differentiation	15
regulation of angiogenesis	15
protein maturation	15
regulation of vasculature development	15
ncRNA processing	15
small molecule catabolic process	15
response to peptide hormone	15
positive regulation of protein transport	15
negative regulation of cellular amide metabolic process	15
peptidyl-threonine phosphorylation	14
response to starvation	14
protein acetylation	14
respiratory system development	14
leukocyte chemotaxis	14
mesenchymal cell differentiation	14
cellular response to nutrient levels	14
ear development	14
cellular response to extracellular stimulus	14
regulation of myeloid cell differentiation	14
positive regulation of neuron projection development	14
regulation of canonical Wnt signaling pathway	14
positive regulation of MAP kinase activity	14
response to endoplasmic reticulum stress	14
response to xenobiotic stimulus	14
intracellular receptor signaling pathway	14
purine ribonucleotide biosynthetic process	14
purine nucleotide biosynthetic process	14
camera-type eye development	14
ribonucleotide biosynthetic process	14
purine-containing compound biosynthetic process	14
ribose phosphate biosynthetic process	14
steroid metabolic process	14
maintenance of location	14
purine ribonucleoside monophosphate metabolic process	14
regulation of developmental growth	14
purine nucleoside monophosphate metabolic process	14
regulation of cytosolic calcium ion concentration	14
ribonucleoside monophosphate metabolic process	14
nucleoside triphosphate metabolic process	14
nucleocytoplasmic transport	14
nuclear transport	14
nucleoside monophosphate metabolic process	14
forebrain development	14
coenzyme metabolic process	14
peptidyl-lysine modification	14
regulation of intracellular transport	14
muscle organ development	14
regulation of immune effector process	14
reproductive structure development	14
RNA splicing	14
reproductive system development	14
signal release	14
regulation of membrane potential	14
regulation of protein complex assembly	14
response to radiation	14
histone acetylation	13
internal peptidyl-lysine acetylation	13
internal protein amino acid acetylation	13
peptidyl-lysine acetylation	13
lung development	13
central nervous system neuron differentiation	13
respiratory tube development	13
positive regulation of multi-organism process	13
regulation of protein binding	13
positive regulation of DNA metabolic process	13
antigen processing and presentation	13
protein autophosphorylation	13
response to temperature stimulus	13
positive regulation of ERK1 and ERK2 cascade	13
connective tissue development	13
regulation of organ morphogenesis	13
cell cycle arrest	13
rhythmic process	13
nucleic acid phosphodiester bond hydrolysis	13
DNA conformation change	13
macroautophagy	13
negative regulation of cell development	13
response to tumor necrosis factor	13
protein modification by small protein removal	13
purine ribonucleoside triphosphate metabolic process	13
organic acid transport	13
carboxylic acid transport	13
regulation of chromosome organization	13
ribonucleoside triphosphate metabolic process	13
purine nucleoside triphosphate metabolic process	13
response to acid chemical	13
receptor-mediated endocytosis	13
positive regulation of proteolysis	13
Golgi vesicle transport	13
positive regulation of cell activation	13
peptidyl-tyrosine phosphorylation	13
peptidyl-tyrosine modification	13
positive regulation of secretion	13
regulation of cell growth	13
positive regulation of GTPase activity	13
endomembrane system organization	13
negative regulation of translation	13
muscle system process	13
glycerolipid metabolic process	13
establishment of organelle localization	13
regulation of lymphocyte activation	13
positive regulation of defense response	13
ribonucleoprotein complex biogenesis	13
gene silencing	13
ear morphogenesis	12
positive regulation of chemotaxis	12
cellular response to starvation	12
negative regulation of binding	12
regulation of cell shape	12
regulation of synaptic plasticity	12
response to BMP	12
cellular response to BMP stimulus	12
appendage development	12
limb development	12
cardiac muscle tissue development	12
response to reactive oxygen species	12
organic hydroxy compound biosynthetic process	12
negative regulation of cell adhesion	12
signal transduction by p53 class mediator	12
renal system development	12
cellular response to tumor necrosis factor	12
protein deubiquitination	12
positive regulation of cytosolic calcium ion concentration	12
stress-activated protein kinase signaling cascade	12
regulation of autophagy	12
urogenital system development	12
protein processing	12
positive regulation of leukocyte activation	12
muscle contraction	12
methylation	12
regulation of cellular component size	12
regulation of metal ion transport	12
response to oxygen levels	12
RNA catabolic process	12
nuclear division	12
protein targeting	12
ameboidal-type cell migration	12
negative regulation of immune system process	12
negative regulation of protein phosphorylation	12
post-translational protein modification	12
regulation of peptide secretion	12
organelle fission	12
negative regulation of phosphorylation	12
mRNA processing	12
cornification	11
stem cell population maintenance	11
maintenance of cell number	11
BMP signaling pathway	11
cytoskeleton-dependent intracellular transport	11
regulation of leukocyte migration	11
regulation of signal transduction by p53 class mediator	11
cartilage development	11
morphogenesis of a branching epithelium	11
bone development	11
regulation of viral process	11
morphogenesis of a branching structure	11
interaction with host	11
negative regulation of apoptotic signaling pathway	11
dendrite development	11
developmental growth involved in morphogenesis	11
regulation of symbiosis, encompassing mutualism through parasitism	11
organophosphate catabolic process	11
cellular response to transforming growth factor beta stimulus	11
response to transforming growth factor beta	11
nucleobase-containing compound transport	11
DNA-templated transcription, initiation	11
regulation of protein stability	11
developmental maturation	11
protein folding	11
negative regulation of neurogenesis	11
negative regulation of nervous system development	11
ATP metabolic process	11
negative regulation of response to external stimulus	11
cellular response to abiotic stimulus	11
cellular response to environmental stimulus	11
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	11
mRNA splicing, via spliceosome	11
RNA splicing, via transesterification reactions	11
regulation of supramolecular fiber organization	11
regulation of small GTPase mediated signal transduction	11
negative regulation of cellular component movement	11
response to hypoxia	11
negative regulation of cell cycle process	11
mRNA catabolic process	11
negative regulation of locomotion	11
response to decreased oxygen levels	11
positive regulation of secretion by cell	11
cilium assembly	11
regulation of actin filament-based process	11
cilium organization	11
regulation of cell-cell adhesion	11
response to steroid hormone	11
epithelial cell proliferation	11
carboxylic acid biosynthetic process	11
organic acid biosynthetic process	11
regulation of protein secretion	11
regulation of innate immune response	11
regulation of peptidase activity	11
protein localization to cell periphery	11
roof of mouth development	10
negative regulation of protein binding	10
long-chain fatty acid metabolic process	10
regulation of leukocyte chemotaxis	10
determination of left/right symmetry	10
positive regulation of leukocyte migration	10
response to ammonium ion	10
determination of bilateral symmetry	10
specification of symmetry	10
regulation of gene silencing	10
Golgi organization	10
positive regulation of cell morphogenesis involved in differentiation	10
cardiac conduction	10
activation of MAPK activity	10
cyclic nucleotide metabolic process	10
cardiocyte differentiation	10
modification of morphology or physiology of other organism	10
positive regulation of chromosome organization	10
regulation of macroautophagy	10
nucleotide catabolic process	10
positive regulation of small molecule metabolic process	10
regulation of microtubule cytoskeleton organization	10
organelle localization by membrane tethering	10
nucleoside phosphate catabolic process	10
antigen processing and presentation of exogenous peptide antigen	10
regulation of synapse structure or activity	10
myeloid leukocyte migration	10
response to unfolded protein	10
membrane docking	10
Notch signaling pathway	10
antigen processing and presentation of exogenous antigen	10
inner ear development	10
spindle organization	10
regulation of exocytosis	10
antigen processing and presentation of peptide antigen	10
response to interferon-gamma	10
regulation of microtubule-based process	10
response to topologically incorrect protein	10
multicellular organismal signaling	10
cellular response to acid chemical	10
negative regulation of Wnt signaling pathway	10
skeletal system morphogenesis	10
nucleobase-containing small molecule biosynthetic process	10
sodium ion transport	10
regulation of mitochondrion organization	10
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	10
positive regulation of DNA binding transcription factor activity	10
positive regulation of growth	10
kidney development	10
stress-activated MAPK cascade	10
mitotic nuclear division	10
protein polymerization	10
monocarboxylic acid biosynthetic process	10
protein polyubiquitination	10
aging	10
regulation of cation transmembrane transport	10
response to light stimulus	10
regulation of neurotransmitter levels	10
in utero embryonic development	10
cellular response to peptide hormone stimulus	10
positive regulation of lymphocyte activation	10
response to antibiotic	10
humoral immune response	10
lipid transport	10
posttranscriptional gene silencing by RNA	10
posttranscriptional gene silencing	10
cellular response to peptide	10
sulfur compound metabolic process	10
lipid localization	10
gene silencing by RNA	10
positive regulation of cell adhesion	10
anatomical structure homeostasis	10
regulation of inflammatory response	10
glycoprotein metabolic process	10
regulation of endopeptidase activity	10
immune response-activating cell surface receptor signaling pathway	10
T cell activation	10
phospholipid metabolic process	10
immune response-regulating cell surface receptor signaling pathway	10
animal organ formation	9
organelle transport along microtubule	9
positive regulation of gene expression, epigenetic	9
retrograde vesicle-mediated transport, Golgi to ER	9
cell fate specification	9
positive regulation of leukocyte chemotaxis	9
response to dsRNA	9
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	9
stem cell proliferation	9
organic acid transmembrane transport	9
carboxylic acid transmembrane transport	9
spindle assembly	9
endocrine system development	9
mitochondrial membrane organization	9
cellular response to heat	9
drug catabolic process	9
epithelial to mesenchymal transition	9
transport along microtubule	9
microtubule-based transport	9
positive regulation of synaptic transmission	9
cyclic-nucleotide-mediated signaling	9
import into nucleus	9
regulation of axonogenesis	9
positive regulation of Wnt signaling pathway	9
cellular response to interferon-gamma	9
negative regulation of canonical Wnt signaling pathway	9
response to heat	9
cellular response to xenobiotic stimulus	9
carbohydrate catabolic process	9
regulation of morphogenesis of an epithelium	9
gastrulation	9
regulation of purine nucleotide metabolic process	9
circadian rhythm	9
protein import	9
regulation of nucleotide metabolic process	9
negative regulation of neuron differentiation	9
DNA packaging	9
cellular protein complex disassembly	9
developmental cell growth	9
regulation of stress-activated MAPK cascade	9
regulation of stress-activated protein kinase signaling cascade	9
regulation of calcium ion transport	9
cellular ketone metabolic process	9
RNA localization	9
regulation of ion transmembrane transporter activity	9
homeostasis of number of cells	9
learning or memory	9
regulation of transmembrane transporter activity	9
positive regulation of ion transport	9
potassium ion transport	9
coenzyme biosynthetic process	9
regulation of Ras protein signal transduction	9
neurotransmitter transport	9
protein localization to nucleus	9
regulation of transporter activity	9
cellular carbohydrate metabolic process	9
protein glycosylation	9
macromolecule glycosylation	9
glycosylation	9
cognition	9
striated muscle cell differentiation	9
innate immune response-activating signal transduction	9
cellular response to oxidative stress	9
cofactor biosynthetic process	9
activation of innate immune response	9
hormone secretion	9
neuron death	9
hormone transport	9
regulation of T cell activation	9
phagocytosis	9
regulation of actin cytoskeleton organization	9
response to metal ion	9
cellular process involved in reproduction in multicellular organism	9
glycoprotein biosynthetic process	9
gene silencing by miRNA	9
positive regulation of innate immune response	9
regulation of protein catabolic process	9
positive regulation of cell cycle	9
regulation of cell cycle phase transition	9
negative regulation of hydrolase activity	9
regulation of axon guidance	8
regulation of megakaryocyte differentiation	8
regulation of cellular response to heat	8
megakaryocyte differentiation	8
receptor internalization	8
midbrain development	8
antigen processing and presentation of exogenous peptide antigen via MHC class II	8
inner ear morphogenesis	8
spinal cord development	8
antigen processing and presentation of peptide antigen via MHC class II	8
negative regulation of cellular protein localization	8
granulocyte chemotaxis	8
regulation of gene silencing by miRNA	8
axon extension	8
regulation of posttranscriptional gene silencing	8
regulation of gene silencing by RNA	8
molting cycle	8
hair cycle	8
renal system process	8
viral genome replication	8
polyol metabolic process	8
granulocyte migration	8
regulation of embryonic development	8
apoptotic mitochondrial changes	8
calcium ion transmembrane import into cytosol	8
digestion	8
negative regulation of cytoskeleton organization	8
nephron development	8
regulation of viral life cycle	8
mammary gland development	8
alcohol biosynthetic process	8
regulation of reproductive process	8
eye morphogenesis	8
calcium ion transport into cytosol	8
response to purine-containing compound	8
RNA modification	8
cAMP-mediated signaling	8
cellular response to unfolded protein	8
appendage morphogenesis	8
limb morphogenesis	8
neuron projection extension	8
branching morphogenesis of an epithelial tube	8
regulation of purine nucleotide biosynthetic process	8
regulation of nucleotide biosynthetic process	8
regulation of cell division	8
cytosolic calcium ion transport	8
platelet activation	8
regulation of organelle assembly	8
regulation of chromatin organization	8
regulation of protein localization to membrane	8
regulation of cell size	8
regulation of synapse organization	8
cellular response to topologically incorrect protein	8
negative regulation of angiogenesis	8
nucleoside triphosphate biosynthetic process	8
cytokinesis	8
telomere organization	8
receptor metabolic process	8
negative regulation of blood vessel morphogenesis	8
positive regulation of immune effector process	8
negative regulation of vasculature development	8
transforming growth factor beta receptor signaling pathway	8
regulation of ossification	8
transcription initiation from RNA polymerase II promoter	8
chromatin remodeling	8
actomyosin structure organization	8
response to interleukin-1	8
positive regulation of angiogenesis	8
glial cell differentiation	8
nucleic acid transport	8
RNA transport	8
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	8
establishment of RNA localization	8
regulation of peptide hormone secretion	8
negative regulation of secretion	8
fat cell differentiation	8
cellular potassium ion transport	8
potassium ion transmembrane transport	8
muscle cell proliferation	8
positive regulation of protein catabolic process	8
positive regulation of vasculature development	8
phosphatidylinositol metabolic process	8
cell junction assembly	8
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	8
peptide hormone secretion	8
negative regulation of growth	8
protein-containing complex localization	8
regulation of cysteine-type endopeptidase activity	8
reactive oxygen species metabolic process	8
positive regulation of cell-cell adhesion	8
positive regulation of protein complex assembly	8
gliogenesis	8
cellular response to steroid hormone stimulus	8
regulation of intracellular protein transport	8
regulation of hormone secretion	8
negative regulation of protein kinase activity	8
cell junction organization	8
monosaccharide metabolic process	8
sex differentiation	8
B cell activation	8
regulation of neuron death	8
lipid modification	8
negative regulation of kinase activity	8
protein-DNA complex subunit organization	8
regulation of mRNA metabolic process	8
intrinsic apoptotic signaling pathway	8
defense response to bacterium	8
macromolecule methylation	8
negative regulation of cell migration	8
regulation of leukocyte cell-cell adhesion	8
negative regulation of transferase activity	8
negative regulation of cell motility	8
lymphocyte mediated immunity	8
protein homooligomerization	8
tissue migration	8
leukocyte cell-cell adhesion	8
ribosome biogenesis	8
regulation of epithelial cell proliferation	8
glycerophospholipid metabolic process	8
cellular amino acid metabolic process	8
actin filament organization	8
vesicle organization	8
dephosphorylation	8
leukocyte differentiation	8
mesenchyme morphogenesis	7
regulation of granulocyte chemotaxis	7
cell differentiation in spinal cord	7
cellular response to ammonium ion	7
cranial skeletal system development	7
secondary metabolic process	7
positive regulation of nucleotide biosynthetic process	7
positive regulation of purine nucleotide biosynthetic process	7
regulation of protein acetylation	7
neural crest cell development	7
mesenchymal cell development	7
stem cell development	7
outflow tract morphogenesis	7
regulation of cardiac conduction	7
neural crest cell differentiation	7
regulation of mitochondrial membrane permeability	7
regulation of protein depolymerization	7
positive regulation of axonogenesis	7
negative regulation of lipid metabolic process	7
positive regulation of nucleotide metabolic process	7
regulation of membrane permeability	7
positive regulation of purine nucleotide metabolic process	7
chloride transmembrane transport	7
organophosphate ester transport	7
regulation of TOR signaling	7
segmentation	7
protein depolymerization	7
cyclic purine nucleotide metabolic process	7
cyclic nucleotide biosynthetic process	7
regulation of protein complex disassembly	7
cAMP metabolic process	7
inorganic anion transmembrane transport	7
chloride transport	7
modification of morphology or physiology of other organism involved in symbiotic interaction	7
camera-type eye morphogenesis	7
TOR signaling	7
mitotic spindle organization	7
viral entry into host cell	7
negative regulation of transmembrane transport	7
chromatin silencing	7
cardiac chamber morphogenesis	7
protein heterooligomerization	7
detection of external stimulus	7
endoplasmic reticulum unfolded protein response	7
mesoderm development	7
microtubule cytoskeleton organization involved in mitosis	7
digestive tract development	7
dendrite morphogenesis	7
pyruvate metabolic process	7
entry into host cell	7
entry into host	7
entry into cell of other organism involved in symbiotic interaction	7
entry into other organism involved in symbiotic interaction	7
regulation of dendrite development	7
amino acid transport	7
positive regulation of canonical Wnt signaling pathway	7
intracellular steroid hormone receptor signaling pathway	7
response to hydrogen peroxide	7
negative regulation of gene expression, epigenetic	7
retina development in camera-type eye	7
kidney epithelium development	7
regulation of stem cell differentiation	7
ATP biosynthetic process	7
RNA phosphodiester bond hydrolysis	7
protein import into nucleus	7
tube formation	7
cellular response to fibroblast growth factor stimulus	7
digestive system development	7
sodium ion transmembrane transport	7
morphogenesis of embryonic epithelium	7
mRNA transport	7
anatomical structure maturation	7
response to fibroblast growth factor	7
synapse assembly	7
purine ribonucleoside triphosphate biosynthetic process	7
purine nucleoside triphosphate biosynthetic process	7
non-canonical Wnt signaling pathway	7
neural tube development	7
cardiac chamber development	7
phosphatidylinositol-mediated signaling	7
monovalent inorganic cation homeostasis	7
ribonucleoside triphosphate biosynthetic process	7
protein stabilization	7
regulation of intrinsic apoptotic signaling pathway	7
inositol lipid-mediated signaling	7
fatty acid derivative metabolic process	7
chromatin assembly	7
skeletal muscle tissue development	7
purine nucleoside monophosphate biosynthetic process	7
purine ribonucleoside monophosphate biosynthetic process	7
cell maturation	7
regulation of lipid biosynthetic process	7
regulation of leukocyte mediated immunity	7
negative regulation of cell growth	7
cellular response to interleukin-1	7
calcium-mediated signaling	7
organ growth	7
negative regulation of multi-organism process	7
regulation of insulin secretion	7
skeletal muscle organ development	7
nucleosome organization	7
ribonucleoside monophosphate biosynthetic process	7
positive regulation of developmental growth	7
inorganic anion transport	7
regulation of mRNA catabolic process	7
regulation of protein ubiquitination	7
regulation of nuclear division	7
steroid biosynthetic process	7
oxidoreduction coenzyme metabolic process	7
positive regulation of transmembrane transport	7
tRNA metabolic process	7
carbohydrate derivative catabolic process	7
nucleoside monophosphate biosynthetic process	7
chromatin assembly or disassembly	7
locomotory behavior	7
steroid hormone mediated signaling pathway	7
positive regulation of intracellular protein transport	7
cellular response to hypoxia	7
insulin secretion	7
ER to Golgi vesicle-mediated transport	7
cellular response to decreased oxygen levels	7
DNA biosynthetic process	7
regulation of protein polymerization	7
regulation of protein modification by small protein conjugation or removal	7
positive regulation of T cell activation	7
multi-multicellular organism process	7
hormone metabolic process	7
extrinsic apoptotic signaling pathway	7
cellular response to oxygen levels	7
production of molecular mediator of immune response	7
positive regulation of leukocyte cell-cell adhesion	7
regulation of endocytosis	7
cellular response to toxic substance	7
hormone-mediated signaling pathway	7
telencephalon development	7
positive regulation of protein secretion	7
positive regulation of intracellular transport	7
regulation of muscle system process	7
germ cell development	7
protein-DNA complex assembly	7
response to insulin	7
positive regulation of peptide secretion	7
rRNA processing	7
establishment of protein localization to membrane	7
rRNA metabolic process	7
response to virus	7
cell-substrate adhesion	7
lipid catabolic process	7
epithelial cell migration	7
epithelium migration	7
regulation of mitotic cell cycle phase transition	7
DNA-templated transcription, termination	7
negative regulation of chromosome organization	7
negative regulation of DNA metabolic process	7
negative regulation of DNA binding transcription factor activity	7
protein localization to plasma membrane	7
oxygen transport	6
gas transport	6
motor neuron axon guidance	6
mRNA cleavage	6
regulation of axon extension involved in axon guidance	6
developmental induction	6
spinal cord motor neuron differentiation	6
axon extension involved in axon guidance	6
neuron projection extension involved in neuron projection guidance	6
regulation of heart morphogenesis	6
positive regulation of protein acetylation	6
endocardial cushion development	6
ventral spinal cord development	6
cellular response to amino acid starvation	6
positive regulation of telomere maintenance	6
lung morphogenesis	6
regulation of histone acetylation	6
positive regulation of reproductive process	6
regulation of peptidyl-lysine acetylation	6
regulation of telomere maintenance via telomere lengthening	6
negative regulation of protein depolymerization	6
embryonic heart tube morphogenesis	6
neuron fate commitment	6
cellular response to dsRNA	6
regulation of mitochondrial membrane permeability involved in apoptotic process	6
positive regulation of carbohydrate metabolic process	6
response to osmotic stress	6
IRE1-mediated unfolded protein response	6
negative regulation of protein complex disassembly	6
somatic stem cell population maintenance	6
long-term synaptic potentiation	6
embryonic heart tube development	6
mesoderm morphogenesis	6
nephron morphogenesis	6
drug transmembrane transport	6
telomere maintenance via telomere lengthening	6
regulation of telomere maintenance	6
amino acid transmembrane transport	6
defense response to Gram-negative bacterium	6
positive regulation of cell division	6
glutamate receptor signaling pathway	6
regulation of axon extension	6
somite development	6
hair follicle development	6
regulation of viral genome replication	6
bone morphogenesis	6
metanephros development	6
interferon-gamma-mediated signaling pathway	6
molting cycle process	6
hair cycle process	6
skin epidermis development	6
kidney morphogenesis	6
muscle cell migration	6
extracellular matrix disassembly	6
synaptic transmission, glutamatergic	6
negative regulation of intrinsic apoptotic signaling pathway	6
ureteric bud development	6
mesonephric epithelium development	6
mesonephric tubule development	6
negative regulation of ion transmembrane transport	6
regulation of extent of cell growth	6
regulation of phosphatidylinositol 3-kinase signaling	6
mesonephros development	6
pyruvate biosynthetic process	6
positive regulation of viral process	6
regulation of cyclic nucleotide metabolic process	6
microtubule polymerization or depolymerization	6
positive regulation of proteasomal protein catabolic process	6
regulation of steroid metabolic process	6
response to alkaloid	6
positive regulation of calcium ion transport	6
glucose transmembrane transport	6
release of sequestered calcium ion into cytosol	6
negative regulation of sequestering of calcium ion	6
regulation of sequestering of calcium ion	6
positive regulation of establishment of protein localization to mitochondrion	6
hexose transmembrane transport	6
regulation of production of molecular mediator of immune response	6
monosaccharide transmembrane transport	6
sequestering of calcium ion	6
gland morphogenesis	6
carbohydrate transmembrane transport	6
positive regulation of proteolysis involved in cellular protein catabolic process	6
xenobiotic metabolic process	6
regulation of fat cell differentiation	6
response to calcium ion	6
cardiac muscle cell differentiation	6
embryonic epithelial tube formation	6
negative regulation of small molecule metabolic process	6
regulation of lymphocyte mediated immunity	6
tRNA processing	6
chemical synaptic transmission, postsynaptic	6
regulation of establishment of protein localization to mitochondrion	6
female gamete generation	6
regulation of postsynaptic membrane potential	6
phosphatidylinositol 3-kinase signaling	6
nicotinamide nucleotide biosynthetic process	6
pyridine nucleotide biosynthetic process	6
epithelial tube formation	6
negative regulation of supramolecular fiber organization	6
protein localization to endoplasmic reticulum	6
detection of abiotic stimulus	6
negative regulation of protein complex assembly	6
pyridine-containing compound biosynthetic process	6
synaptic vesicle cycle	6
neural precursor cell proliferation	6
fatty acid biosynthetic process	6
regulation of histone modification	6
vitamin metabolic process	6
positive regulation of cellular protein catabolic process	6
antibiotic metabolic process	6
positive regulation of cellular amide metabolic process	6
action potential	6
regulation of striated muscle tissue development	6
negative regulation of ion transport	6
neurotransmitter secretion	6
membrane lipid biosynthetic process	6
signal release from synapse	6
regulation of muscle tissue development	6
nucleosome assembly	6
cytosolic transport	6
carbohydrate transport	6
regulation of muscle organ development	6
placenta development	6
regulation of extrinsic apoptotic signaling pathway	6
presynaptic process involved in chemical synaptic transmission	6
glycosaminoglycan metabolic process	6
telomere maintenance	6
vacuole organization	6
regulation of mitotic nuclear division	6
cellular response to reactive oxygen species	6
striated muscle cell development	6
vascular process in circulatory system	6
regulation of muscle contraction	6
positive regulation of mitochondrion organization	6
pyridine nucleotide metabolic process	6
nicotinamide nucleotide metabolic process	6
positive regulation of binding	6
aminoglycan metabolic process	6
tumor necrosis factor-mediated signaling pathway	6
negative regulation of cell activation	6
regulation of proteasomal protein catabolic process	6
regulation of carbohydrate metabolic process	6
pyridine-containing compound metabolic process	6
positive regulation of apoptotic signaling pathway	6
regulation of blood pressure	6
muscle cell development	6
cellular response to radiation	6
pattern recognition receptor signaling pathway	6
response to ketone	6
negative regulation of secretion by cell	6
hematopoietic progenitor cell differentiation	6
female pregnancy	6
positive regulation of peptidase activity	6
establishment of protein localization to mitochondrion	6
protein localization to mitochondrion	6
ammonium ion metabolic process	6
T cell receptor signaling pathway	6
cellular response to insulin stimulus	6
regulation of lymphocyte proliferation	6
regulation of proteolysis involved in cellular protein catabolic process	6
regulation of mononuclear cell proliferation	6
osteoblast differentiation	6
response to mechanical stimulus	6
regulation of leukocyte proliferation	6
gonad development	6
regulation of cysteine-type endopeptidase activity involved in apoptotic process	6
positive regulation of cytoskeleton organization	6
carbohydrate homeostasis	6
glucose homeostasis	6
membrane lipid metabolic process	6
carbohydrate biosynthetic process	6
development of primary sexual characteristics	6
hexose metabolic process	6
regulation of cellular protein catabolic process	6
cell-cell junction organization	6
cell-cell adhesion via plasma-membrane adhesion molecules	6
establishment of vesicle localization	6
negative regulation of endopeptidase activity	6
protein kinase B signaling	6
regulation of actin filament organization	6
lymphocyte proliferation	6
vesicle localization	6
mononuclear cell proliferation	6
negative regulation of peptidase activity	6
negative regulation of catabolic process	6
glycerolipid biosynthetic process	6
G1/S transition of mitotic cell cycle	6
energy derivation by oxidation of organic compounds	6
positive regulation of cell cycle process	6
leukocyte proliferation	6
antigen receptor-mediated signaling pathway	6
phospholipid biosynthetic process	6
cell cycle G1/S phase transition	6
DNA replication	6
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	6
response to lipopolysaccharide	6
lymphocyte differentiation	6
multicellular organismal homeostasis	6
response to molecule of bacterial origin	6
negative regulation of proteolysis	6
chromosome segregation	6
double-strand break repair	6
DNA recombination	6
middle ear morphogenesis	5
trachea development	5
heart formation	5
negative regulation of steroid metabolic process	5
hair follicle morphogenesis	5
DNA demethylation	5
endocardial cushion morphogenesis	5
positive regulation of histone acetylation	5
specification of animal organ identity	5
epidermis morphogenesis	5
positive regulation of peptidyl-lysine acetylation	5
positive regulation of granulocyte chemotaxis	5
DNA dealkylation	5
neuron fate specification	5
regulation of animal organ formation	5
regulation of phospholipase C activity	5
production of miRNAs involved in gene silencing by miRNA	5
cytolysis	5
intermediate filament cytoskeleton organization	5
autonomic nervous system development	5
intermediate filament-based process	5
embryonic cranial skeleton morphogenesis	5
purine nucleotide catabolic process	5
dsRNA fragmentation	5
production of small RNA involved in gene silencing by RNA	5
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	5
L-alpha-amino acid transmembrane transport	5
vesicle docking involved in exocytosis	5
negative regulation of lipid biosynthetic process	5
protein insertion into membrane	5
purine-containing compound catabolic process	5
negative regulation of chemotaxis	5
regulation of kidney development	5
