Biological Process	n
glial cell differentiation	4
glycosyl compound metabolic process	4
gonad development	4
heart looping	4
hormone-mediated signaling pathway	4
icosanoid metabolic process	4
inner ear development	4
inositol lipid-mediated signaling	4
internal protein amino acid acetylation	4
intracellular steroid hormone receptor signaling pathway	4
isoprenoid metabolic process	4
kidney epithelium development	4
kidney morphogenesis	4
leukocyte chemotaxis	4
lipid localization	4
lipid transport	4
long-chain fatty acid metabolic process	4
lymphocyte differentiation	4
macroautophagy	4
male gonad development	4
male sex differentiation	4
meiotic cell cycle	4
microtubule organizing center organization	4
modulation of chemical synaptic transmission	4
morphogenesis of embryonic epithelium	4
mRNA splicing, via spliceosome	4
multicellular organism growth	4
muscle cell proliferation	4
myeloid cell differentiation	4
negative regulation of catabolic process	4
negative regulation of cell adhesion	4
negative regulation of cell cycle phase transition	4
negative regulation of cell projection organization	4
negative regulation of mitotic cell cycle	4
negative regulation of mitotic cell cycle phase transition	4
negative regulation of neuron projection development	4
negative regulation of response to external stimulus	4
negative regulation of translation	4
nephron epithelium development	4
nephron morphogenesis	4
nephron tubule development	4
neural precursor cell proliferation	4
neuron projection extension	4
neuron projection extension involved in neuron projection guidance	4
nuclear division	4
nucleobase-containing compound transport	4
nucleobase-containing small molecule biosynthetic process	4
nucleoside phosphate biosynthetic process	4
nucleoside phosphate catabolic process	4
nucleoside triphosphate metabolic process	4
nucleotide biosynthetic process	4
nucleotide catabolic process	4
organelle fission	4
organic acid transmembrane transport	4
organic hydroxy compound biosynthetic process	4
organophosphate catabolic process	4
phagocytosis	4
phosphatidylinositol 3-kinase signaling	4
phosphatidylinositol-mediated signaling	4
positive regulation of axonogenesis	4
positive regulation of canonical Wnt signaling pathway	4
positive regulation of chemotaxis	4
positive regulation of muscle organ development	4
positive regulation of muscle tissue development	4
positive regulation of peptidase activity	4
positive regulation of striated muscle tissue development	4
positive regulation of Wnt signaling pathway	4
protein acetylation	4
protein maturation	4
protein polymerization	4
purine nucleoside triphosphate metabolic process	4
purine nucleotide biosynthetic process	4
purine ribonucleoside triphosphate metabolic process	4
purine ribonucleotide biosynthetic process	4
purine-containing compound biosynthetic process	4
pyruvate metabolic process	4
regulation of axon extension	4
regulation of axon extension involved in axon guidance	4
regulation of cell cycle G2/M phase transition	4
regulation of cell division	4
regulation of cell size	4
regulation of circadian rhythm	4
regulation of epithelial cell proliferation	4
regulation of extent of cell growth	4
regulation of G-protein coupled receptor protein signaling pathway	4
regulation of G2/M transition of mitotic cell cycle	4
regulation of lymphocyte activation	4
regulation of macroautophagy	4
regulation of microtubule cytoskeleton organization	4
regulation of microtubule-based process	4
regulation of morphogenesis of an epithelium	4
regulation of mRNA metabolic process	4
regulation of multi-organism process	4
regulation of muscle organ development	4
regulation of muscle tissue development	4
regulation of organelle assembly	4
regulation of peptidase activity	4
regulation of peptide secretion	4
regulation of protein complex assembly	4
regulation of signal transduction by p53 class mediator	4
regulation of small molecule metabolic process	4
regulation of striated muscle tissue development	4
regulation of synapse organization	4
regulation of synaptic plasticity	4
regulation of trans-synaptic signaling	4
renal tubule development	4
response to cAMP	4
response to insulin	4
response to molecule of bacterial origin	4
response to organophosphorus	4
response to oxygen levels	4
response to reactive oxygen species	4
response to starvation	4
response to tumor necrosis factor	4
ribonucleoprotein complex assembly	4
ribonucleoprotein complex biogenesis	4
ribonucleoprotein complex subunit organization	4
ribonucleoside triphosphate metabolic process	4
ribonucleotide biosynthetic process	4
ribose phosphate biosynthetic process	4
RNA splicing, via transesterification reactions	4
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	4
roof of mouth development	4
sex differentiation	4
small molecule catabolic process	4
somatic stem cell population maintenance	4
steroid hormone mediated signaling pathway	4
stress-activated MAPK cascade	4
terpenoid metabolic process	4
tissue migration	4
unsaturated fatty acid metabolic process	4
viral genome replication	4
viral life cycle	4
acetylcholine receptor signaling pathway	3
actomyosin structure organization	3
adenylate cyclase-activating G-protein coupled receptor signaling pathway	3
adult behavior	3
alcohol biosynthetic process	3
amino acid transmembrane transport	3
amino acid transport	3
aminoglycan metabolic process	3
anatomical structure homeostasis	3
animal organ formation	3
antigen processing and presentation	3
antigen processing and presentation of peptide antigen	3
antimicrobial humoral immune response mediated by antimicrobial peptide	3
antimicrobial humoral response	3
appendage morphogenesis	3
arachidonic acid metabolic process	3
ATP metabolic process	3
ATP-dependent chromatin remodeling	3
autonomic nervous system development	3
beta-catenin destruction complex disassembly	3
blood vessel endothelial cell migration	3
branching involved in ureteric bud morphogenesis	3
carbohydrate derivative catabolic process	3
carbohydrate transmembrane transport	3
carbohydrate transport	3
carboxylic acid catabolic process	3
cardiac chamber development	3
cell cycle G1/S phase transition	3
cell junction assembly	3
cell proliferation in forebrain	3
cell recognition	3
cell-cell adhesion mediated by cadherin	3
cell-cell junction organization	3
cell-substrate adhesion	3
cellular amino acid metabolic process	3
cellular response to acetylcholine	3
cellular response to BMP stimulus	3
cellular response to external stimulus	3
cellular response to extracellular stimulus	3
cellular response to fibroblast growth factor stimulus	3
cellular response to heat	3
cellular response to insulin stimulus	3
cellular response to interleukin-1	3
cellular response to leukemia inhibitory factor	3
cellular response to nutrient levels	3
cellular response to oxidative stress	3
cellular response to starvation	3
cellular response to toxic substance	3
cellular response to xenobiotic stimulus	3
chemical synaptic transmission, postsynaptic	3
chromatin assembly	3
chromatin silencing	3
coenzyme biosynthetic process	3
cofactor biosynthetic process	3
cornification	3
cranial nerve development	3
cranial skeletal system development	3
cyclic nucleotide metabolic process	3
defense response to bacterium	3
detection of abiotic stimulus	3
detection of external stimulus	3
detection of light stimulus	3
detection of visible light	3
digestive system development	3
digestive tract development	3
DNA biosynthetic process	3
dopamine receptor signaling pathway	3
dorsal/ventral pattern formation	3
drug catabolic process	3
embryonic appendage morphogenesis	3
embryonic cranial skeleton morphogenesis	3
embryonic epithelial tube formation	3
embryonic limb morphogenesis	3
embryonic skeletal system development	3
embryonic skeletal system morphogenesis	3
endochondral bone morphogenesis	3
endocrine system development	3
endomembrane system organization	3
endothelial cell migration	3
epithelial tube formation	3
ER to Golgi vesicle-mediated transport	3
establishment of RNA localization	3
forebrain neuron differentiation	3
G1/S transition of mitotic cell cycle	3
germ cell development	3
glucose import	3
glucose transmembrane transport	3
glycosaminoglycan metabolic process	3
heart contraction	3
heart process	3
hexose transmembrane transport	3
hindbrain development	3
histone acetylation	3
histone methylation	3
histone phosphorylation	3
homeostasis of number of cells	3
I-kappaB kinase/NF-kappaB signaling	3
inorganic anion transport	3
interaction with host	3
internal peptidyl-lysine acetylation	3
intracellular estrogen receptor signaling pathway	3
iron ion homeostasis	3
keratinization	3
L-alpha-amino acid transmembrane transport	3
L-amino acid transport	3
limb morphogenesis	3
limbic system development	3
lung morphogenesis	3
maintenance of location	3
mammary gland development	3
meiotic cell cycle process	3
membrane lipid biosynthetic process	3
membrane lipid metabolic process	3
membrane protein proteolysis	3
memory	3
mesoderm development	3
mesonephric epithelium development	3
mesonephric tubule development	3
mesonephric tubule morphogenesis	3
mesonephros development	3
metanephros development	3
mitochondrial gene expression	3
mitotic cell cycle checkpoint	3
mitotic DNA damage checkpoint	3
mitotic DNA integrity checkpoint	3
modification of morphology or physiology of other organism involved in symbiotic interaction	3
monosaccharide transmembrane transport	3
motor neuron axon guidance	3
mRNA transport	3
muscle cell migration	3
myeloid leukocyte migration	3
negative regulation of apoptotic signaling pathway	3
negative regulation of binding	3
negative regulation of cell growth	3
negative regulation of cellular catabolic process	3
negative regulation of cellular component movement	3
negative regulation of cytoskeleton organization	3
negative regulation of G-protein coupled receptor protein signaling pathway	3
negative regulation of gene expression, epigenetic	3
negative regulation of growth	3
negative regulation of kinase activity	3
negative regulation of locomotion	3
negative regulation of mRNA metabolic process	3
negative regulation of neuron death	3
negative regulation of phosphorylation	3
negative regulation of protein binding	3
negative regulation of protein kinase activity	3
negative regulation of protein localization to cell periphery	3
negative regulation of protein localization to membrane	3
negative regulation of protein localization to plasma membrane	3
negative regulation of protein phosphorylation	3
negative regulation of transferase activity	3
nephron epithelium morphogenesis	3
nephron tubule morphogenesis	3
nerve development	3
neural tube closure	3
neural tube formation	3
neuron death	3
non-canonical Wnt signaling pathway	3
Notch signaling pathway	3
nuclear-transcribed mRNA catabolic process	3
nucleic acid transport	3
nucleosome assembly	3
organic acid catabolic process	3
organic hydroxy compound transport	3
organophosphate ester transport	3
osteoblast differentiation	3
outflow tract morphogenesis	3
parasympathetic nervous system development	3
peptide cross-linking	3
peptidyl-lysine acetylation	3
peptidyl-lysine methylation	3
phospholipid metabolic process	3
phototransduction	3
positive regulation of binding	3
positive regulation of carbohydrate metabolic process	3
positive regulation of cardiac muscle tissue development	3
positive regulation of cell activation	3
positive regulation of cell division	3
positive regulation of cell fate commitment	3
positive regulation of chromosome organization	3
positive regulation of cysteine-type endopeptidase activity	3
positive regulation of developmental growth	3
positive regulation of DNA biosynthetic process	3
positive regulation of DNA metabolic process	3
positive regulation of endopeptidase activity	3
positive regulation of ERK1 and ERK2 cascade	3
positive regulation of gene expression, epigenetic	3
positive regulation of gliogenesis	3
positive regulation of growth	3
positive regulation of GTPase activity	3
positive regulation of I-kappaB kinase/NF-kappaB signaling	3
positive regulation of lipase activity	3
positive regulation of lipid metabolic process	3
positive regulation of mitotic cell cycle	3
positive regulation of multi-organism process	3
positive regulation of phospholipase activity	3
positive regulation of phospholipase C activity	3
positive regulation of secretion	3
positive regulation of secretion by cell	3
positive regulation of small molecule metabolic process	3
post-translational protein modification	3
primary neural tube formation	3
protein deubiquitination	3
protein homooligomerization	3
protein import	3
protein kinase B signaling	3
protein modification by small protein removal	3
protein polyubiquitination	3
protein processing	3
proton transmembrane transport	3
pyruvate biosynthetic process	3
receptor internalization	3
receptor metabolic process	3
receptor-mediated endocytosis	3
regulation of actin filament organization	3
regulation of angiogenesis	3
regulation of apoptotic signaling pathway	3
regulation of B cell activation	3
regulation of blood circulation	3
regulation of carbohydrate metabolic process	3
regulation of cardiac muscle tissue development	3
regulation of cell cycle arrest	3
regulation of cell fate commitment	3
regulation of cell-cell adhesion	3
regulation of cell-cell adhesion mediated by cadherin	3
regulation of cellular response to heat	3
regulation of chromosome organization	3
regulation of cysteine-type endopeptidase activity	3
regulation of cytosolic calcium ion concentration	3
regulation of dendrite development	3
regulation of DNA biosynthetic process	3
regulation of DNA metabolic process	3
regulation of endocytosis	3
regulation of endopeptidase activity	3
regulation of epidermal cell differentiation	3
regulation of epidermis development	3
regulation of epithelial cell differentiation	3
regulation of ERK1 and ERK2 cascade	3
regulation of fat cell differentiation	3
regulation of gliogenesis	3
regulation of heart contraction	3
regulation of hemopoiesis	3
regulation of I-kappaB kinase/NF-kappaB signaling	3
regulation of immune effector process	3
regulation of intracellular transport	3
regulation of keratinocyte differentiation	3
regulation of kidney development	3
regulation of lipase activity	3
regulation of metal ion transport	3
regulation of mitochondrion organization	3
regulation of mRNA catabolic process	3
regulation of mRNA stability	3
regulation of neuron death	3
regulation of organ growth	3
regulation of phosphatidylinositol 3-kinase signaling	3
regulation of phospholipase activity	3
regulation of phospholipase C activity	3
regulation of postsynaptic membrane potential	3
regulation of protein catabolic process	3
regulation of protein polymerization	3
regulation of protein secretion	3
regulation of protein stability	3
regulation of Ras protein signal transduction	3
regulation of reproductive process	3
regulation of Rho protein signal transduction	3
regulation of RNA stability	3
regulation of stress-activated MAPK cascade	3
regulation of stress-activated protein kinase signaling cascade	3
regulation of supramolecular fiber organization	3
regulation of vasculature development	3
renal tubule morphogenesis	3
replacement bone morphogenesis	3
response to acetylcholine	3
response to alkaloid	3
response to antibiotic	3
response to BMP	3
response to cold	3
response to corticosteroid	3
response to decreased oxygen levels	3
response to fibroblast growth factor	3
response to glucocorticoid	3
response to heat	3
response to hypoxia	3
response to interleukin-1	3
response to leukemia inhibitory factor	3
response to lipopolysaccharide	3
response to osmotic stress	3
RNA localization	3
RNA transport	3
segmentation	3
semaphorin-plexin signaling pathway	3
semaphorin-plexin signaling pathway involved in axon guidance	3
semaphorin-plexin signaling pathway involved in neuron projection guidance	3
signal release	3
signal transduction involved in cellular response to ammonium ion	3
skeletal muscle organ development	3
skeletal muscle tissue development	3
smooth muscle cell migration	3
smooth muscle cell proliferation	3
somite development	3
somitogenesis	3
sphingolipid biosynthetic process	3
sphingolipid metabolic process	3
spinal cord development	3
steroid biosynthetic process	3
sulfur compound metabolic process	3
synaptic vesicle cycle	3
T cell activation	3
T cell differentiation	3
transition metal ion homeostasis	3
tube closure	3
tube formation	3
ureteric bud development	3
ureteric bud morphogenesis	3
vasculogenesis	3
vesicle organization	3
xenobiotic metabolic process	3
actin filament bundle assembly	2
actin filament bundle organization	2
actin filament capping	2
actin filament depolymerization	2
actin filament polymerization	2
actin polymerization or depolymerization	2
action potential	2
acute inflammatory response	2
acyl-CoA metabolic process	2
adaptation of signaling pathway	2
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2
ADP metabolic process	2
adult locomotory behavior	2
alpha-amino acid metabolic process	2
amine transport	2
aminoglycan biosynthetic process	2
ammonium transport	2
anatomical structure arrangement	2
androgen receptor signaling pathway	2
anterior/posterior axis specification	2
antigen processing and presentation of exogenous antigen	2
antigen processing and presentation of exogenous peptide antigen	2
antigen processing and presentation of exogenous peptide antigen via MHC class II	2
antigen processing and presentation of peptide antigen via MHC class II	2
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	2
aorta development	2
aorta morphogenesis	2
apical junction assembly	2
apoptotic mitochondrial changes	2
artery development	2
artery morphogenesis	2
astrocyte differentiation	2
ATP biosynthetic process	2
ATP generation from ADP	2
axis specification	2
axon ensheathment	2
B cell differentiation	2
B cell proliferation	2
behavioral defense response	2
behavioral fear response	2
bicellular tight junction assembly	2
BMP signaling pathway	2
bone growth	2
calcium ion transmembrane import into cytosol	2
calcium ion transport into cytosol	2
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	2
calcium-mediated signaling	2
cAMP metabolic process	2
carbohydrate catabolic process	2
carbohydrate homeostasis	2
cardiac chamber morphogenesis	2
cardiac muscle cell proliferation	2
cardiac muscle tissue growth	2
cardiac septum development	2
cardiac septum morphogenesis	2
cardioblast differentiation	2
cartilage development involved in endochondral bone morphogenesis	2
catecholamine transport	2
cell differentiation in spinal cord	2
cell differentiation involved in kidney development	2
cell differentiation involved in metanephros development	2
cell fate commitment involved in formation of primary germ layer	2
cell migration involved in sprouting angiogenesis	2
cell-cell junction assembly	2
cell-cell recognition	2
cellular detoxification	2
cellular ketone metabolic process	2
cellular modified amino acid metabolic process	2
cellular potassium ion transport	2
cellular response to alcohol	2
cellular response to antibiotic	2
cellular response to biotic stimulus	2
cellular response to cAMP	2
cellular response to catecholamine stimulus	2
cellular response to decreased oxygen levels	2
cellular response to fatty acid	2
cellular response to hypoxia	2
cellular response to ketone	2
cellular response to light stimulus	2
cellular response to molecule of bacterial origin	2
cellular response to monoamine stimulus	2
cellular response to osmotic stress	2
cellular response to oxygen levels	2
cellular response to prostaglandin E stimulus	2
cellular response to prostaglandin stimulus	2
cellular response to radiation	2
cellular response to reactive oxygen species	2
cellular response to transforming growth factor beta stimulus	2
central nervous system neuron axonogenesis	2
cerebral cortex development	2
cGMP biosynthetic process	2
cGMP metabolic process	2
chemokine-mediated signaling pathway	2
chloride transmembrane transport	2
chloride transport	2
cholesterol biosynthetic process	2
cholesterol metabolic process	2
chondrocyte differentiation	2
chondrocyte proliferation	2
ciliary basal body-plasma membrane docking	2
collagen metabolic process	2
columnar/cuboidal epithelial cell differentiation	2
complement activation	2
cranial nerve morphogenesis	2
cranial nerve structural organization	2
cyclic nucleotide biosynthetic process	2
cyclic purine nucleotide metabolic process	2
cytokine biosynthetic process	2
cytokine metabolic process	2
cytokine secretion	2
cytoskeleton-dependent intracellular transport	2
cytosolic calcium ion transport	2
defense response to Gram-positive bacterium	2
dendrite morphogenesis	2
dendritic spine development	2
dendritic spine morphogenesis	2
dendritic spine organization	2
dephosphorylation	2
desensitization of G-protein coupled receptor protein signaling pathway	2
detoxification	2
developmental induction	2
diterpenoid metabolic process	2
DNA damage response, signal transduction by p53 class mediator	2
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	2
DNA-templated transcription, elongation	2
DNA-templated transcription, initiation	2
dorsal/ventral neural tube patterning	2
drug transmembrane transport	2
electron transport chain	2
embryonic camera-type eye development	2
embryonic camera-type eye morphogenesis	2
embryonic digit morphogenesis	2
embryonic eye morphogenesis	2
endochondral bone growth	2
endoderm development	2
energy derivation by oxidation of organic compounds	2
ensheathment of neurons	2
entry into cell of other organism involved in symbiotic interaction	2
entry into host	2
entry into host cell	2
entry into other organism involved in symbiotic interaction	2
epithelial cell development	2
epithelial cell differentiation involved in prostate gland development	2
epithelial to mesenchymal transition	2
epithelial tube branching involved in lung morphogenesis	2
epoxygenase P450 pathway	2
erythrocyte differentiation	2
erythrocyte homeostasis	2
establishment of protein localization to mitochondrion	2
establishment or maintenance of cell polarity	2
excitatory postsynaptic potential	2
exogenous drug catabolic process	2
extracellular matrix disassembly	2
face development	2
facial nerve development	2
facial nerve morphogenesis	2
fatty acid biosynthetic process	2
fatty acid oxidation	2
fear response	2
female gamete generation	2
fibroblast growth factor receptor signaling pathway	2
forebrain neuron development	2
G-protein coupled acetylcholine receptor signaling pathway	2
G1 DNA damage checkpoint	2
gene silencing by RNA	2
glandular epithelial cell differentiation	2
glial cell development	2
glucose homeostasis	2
glucose metabolic process	2
glutamate receptor signaling pathway	2
glycerolipid metabolic process	2
glycerophospholipid metabolic process	2
glycolytic process	2
glycoprotein biosynthetic process	2
glycoprotein metabolic process	2
glycosaminoglycan biosynthetic process	2
glycosylation	2
Golgi organization	2
granulocyte chemotaxis	2
granulocyte migration	2
growth plate cartilage development	2
guanosine-containing compound metabolic process	2
heart growth	2
hemoglobin metabolic process	2
hepaticobiliary system development	2
hexose metabolic process	2
hippocampus development	2
histone exchange	2
histone H3-K27 methylation	2
histone H4 acetylation	2
histone lysine methylation	2
hormone metabolic process	2
hormone secretion	2
hormone transport	2
immune response-activating cell surface receptor signaling pathway	2
immune response-regulating cell surface receptor signaling pathway	2
inner ear morphogenesis	2
inorganic anion transmembrane transport	2
inositol phosphate metabolic process	2
interaction with symbiont	2
interleukin-1-mediated signaling pathway	2
intracellular signal transduction involved in G1 DNA damage checkpoint	2
intrinsic apoptotic signaling pathway	2
intrinsic apoptotic signaling pathway in response to DNA damage	2
JNK cascade	2
kidney mesenchyme development	2
learning	2
leukocyte proliferation	2
lipid catabolic process	2
lipid oxidation	2
lipid phosphorylation	2
lipid translocation	2
lipoprotein biosynthetic process	2
lipoprotein metabolic process	2
liver development	2
long-term memory	2
long-term synaptic potentiation	2
lymphocyte proliferation	2
macromolecule deacylation	2
macromolecule glycosylation	2
macrophage activation	2
maternal behavior	2
meiotic nuclear division	2
membrane docking	2
membrane protein ectodomain proteolysis	2
mesenchymal cell development	2
mesenchyme morphogenesis	2
mesoderm formation	2
mesoderm morphogenesis	2
mesodermal cell differentiation	2
mesodermal cell fate commitment	2
mesodermal cell fate specification	2
metanephric nephron development	2
metanephric nephron morphogenesis	2
metanephros morphogenesis	2
metencephalon development	2
microtubule-based movement	2
midbrain dopaminergic neuron differentiation	2
middle ear morphogenesis	2
mitochondrial translation	2
mitochondrial translational elongation	2
mitochondrial translational termination	2
mitochondrial transmembrane transport	2
mitotic G1 DNA damage checkpoint	2
mitotic G1/S transition checkpoint	2
mitotic nuclear division	2
modification by host of symbiont morphology or physiology	2
modification by symbiont of host morphology or physiology	2
modulation by virus of host morphology or physiology	2
monoamine transport	2
monocarboxylic acid transport	2
mononuclear cell proliferation	2
monosaccharide metabolic process	2
mRNA stabilization	2
multi-multicellular organism process	2
multicellular organismal homeostasis	2
multicellular organismal response to stress	2
multicellular organismal water homeostasis	2
muscle cell fate commitment	2
muscle system process	2
myelination	2
myeloid cell homeostasis	2
myeloid leukocyte differentiation	2
myoblast differentiation	2
myotube differentiation	2
ncRNA processing	2
negative adaptation of signaling pathway	2
negative chemotaxis	2
