Biological Process	Number of genes
insulin secretion	15
regulation of peptide hormone secretion	15
regulation of protein binding	15
negative regulation of Wnt signaling pathway	15
dendrite development	15
carbohydrate homeostasis	15
glucose homeostasis	15
regulation of symbiosis, encompassing mutualism through parasitism	15
response to reactive oxygen species	15
cellular ketone metabolic process	15
protein autophosphorylation	15
protein localization to nucleus	15
positive regulation of MAP kinase activity	15
mitotic nuclear division	15
response to endoplasmic reticulum stress	15
protein deubiquitination	15
monocarboxylic acid biosynthetic process	15
regulation of cation transmembrane transport	15
lymphocyte differentiation	15
multicellular organismal homeostasis	15
regulation of small GTPase mediated signal transduction	15
negative regulation of cellular component movement	15
lipid transport	15
negative regulation of locomotion	15
sulfur compound metabolic process	15
immune response-activating cell surface receptor signaling pathway	15
glycerolipid metabolic process	15
secondary metabolic process	14
embryonic skeletal system morphogenesis	14
dorsal/ventral pattern formation	14
inner ear morphogenesis	14
modification of morphology or physiology of other organism involved in symbiotic interaction	14
regulation of leukocyte chemotaxis	14
stem cell proliferation	14
determination of left/right symmetry	14
embryonic skeletal system development	14
cardiac chamber morphogenesis	14
protein heterooligomerization	14
determination of bilateral symmetry	14
specification of symmetry	14
cellular response to heat	14
drug catabolic process	14
nephron development	14
positive regulation of cell morphogenesis involved in differentiation	14
eye morphogenesis	14
non-canonical Wnt signaling pathway	14
cytosolic calcium ion transport	14
platelet activation	14
peptidyl-lysine acetylation	14
fatty acid derivative metabolic process	14
regulation of cell shape	14
skeletal muscle tissue development	14
cell maturation	14
positive regulation of small molecule metabolic process	14
regulation of insulin secretion	14
skeletal muscle organ development	14
positive regulation of multi-organism process	14
fat cell differentiation	14
negative regulation of apoptotic signaling pathway	14
response to carbohydrate	14
sodium ion transport	14
cellular response to transforming growth factor beta stimulus	14
response to transforming growth factor beta	14
hormone-mediated signaling pathway	14
regulation of ion transmembrane transporter activity	14
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	14
nucleobase-containing compound transport	14
regulation of transmembrane transporter activity	14
regulation of transporter activity	14
positive regulation of protein complex assembly	14
stress-activated MAPK cascade	14
cell junction organization	14
positive regulation of cell cycle process	14
regulation of mRNA metabolic process	14
defense response to bacterium	14
activation of innate immune response	14
regulation of neurotransmitter levels	14
response to virus	14
negative regulation of response to external stimulus	14
lymphocyte mediated immunity	14
cell-substrate adhesion	14
negative regulation of mitotic cell cycle	14
epithelium migration	14
positive regulation of innate immune response	14
regulation of epithelial cell proliferation	14
chromosome segregation	14
anatomical structure homeostasis	14
positive regulation of GTPase activity	14
regulation of inflammatory response	14
positive regulation of leukocyte chemotaxis	13
segmentation	13
unsaturated fatty acid metabolic process	13
molting cycle	13
hair cycle	13
viral genome replication	13
calcium ion transmembrane import into cytosol	13
detection of external stimulus	13
retina development in camera-type eye	13
hindbrain development	13
calcium ion transport into cytosol	13
histone acetylation	13
anatomical structure maturation	13
internal peptidyl-lysine acetylation	13
branching morphogenesis of an epithelial tube	13
positive regulation of chromosome organization	13
cyclic-nucleotide-mediated signaling	13
BMP signaling pathway	13
regulation of protein localization to membrane	13
regulation of macroautophagy	13
regulation of synaptic plasticity	13
negative regulation of canonical Wnt signaling pathway	13
antigen processing and presentation of exogenous peptide antigen	13
nucleosome organization	13
antigen processing and presentation of exogenous antigen	13
regulation of morphogenesis of an epithelium	13
chromatin remodeling	13
response to interferon-gamma	13
ER to Golgi vesicle-mediated transport	13
regulation of protein polymerization	13
cell junction assembly	13
regulation of calcium ion transport	13
cellular response to toxic substance	13
RNA localization	13
homeostasis of number of cells	13
positive regulation of protein secretion	13
positive regulation of ion transport	13
potassium ion transport	13
positive regulation of peptide secretion	13
sex differentiation	13
cognition	13
ATP metabolic process	13
innate immune response-activating signal transduction	13
cellular response to oxidative stress	13
establishment of protein localization to membrane	13
positive regulation of lymphocyte activation	13
epithelial cell migration	13
phagocytosis	13
ribosome biogenesis	13
response to molecule of bacterial origin	13
regulation of protein catabolic process	13
cellular amino acid metabolic process	13
glycoprotein metabolic process	13
organelle localization by membrane tethering	13
membrane docking	13
positive regulation of ERK1 and ERK2 cascade	13
neuron fate specification	12
peptide cross-linking	12
animal organ formation	12
neural nucleus development	12
cranial skeletal system development	12
outflow tract morphogenesis	12
negative regulation of protein binding	12
response to dsRNA	12
neural tube formation	12
granulocyte chemotaxis	12
camera-type eye morphogenesis	12
cellular hormone metabolic process	12
granulocyte migration	12
organic acid transmembrane transport	12
carboxylic acid transmembrane transport	12
cardiac ventricle development	12
chromatin silencing	12
detection of abiotic stimulus	12
regulation of viral life cycle	12
negative regulation of gene expression, epigenetic	12
kidney epithelium development	12
cell killing	12
digestive system development	12
positive regulation of synaptic transmission	12
response to purine-containing compound	12
cAMP-mediated signaling	12
glycosyl compound metabolic process	12
protein stabilization	12
regulation of cell size	12
chromatin assembly	12
import into nucleus	12
regulation of microtubule cytoskeleton organization	12
positive regulation of Wnt signaling pathway	12
cellular response to interferon-gamma	12
regulation of mRNA catabolic process	12
response to ketone	12
regulation of exocytosis	12
response to glucose	12
steroid hormone mediated signaling pathway	12
response to hexose	12
regulation of purine nucleotide metabolic process	12
circadian rhythm	12
regulation of microtubule-based process	12
protein import	12
response to monosaccharide	12
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	12
multicellular organismal signaling	12
regulation of nucleotide metabolic process	12
negative regulation of secretion	12
nuclear-transcribed mRNA catabolic process	12
cellular protein complex disassembly	12
cellular potassium ion transport	12
potassium ion transmembrane transport	12
ribonucleoprotein complex assembly	12
regulation of stress-activated MAPK cascade	12
regulation of stress-activated protein kinase signaling cascade	12
multi-multicellular organism process	12
ribonucleoprotein complex subunit organization	12
regulation of mitochondrion organization	12
cell-cell junction organization	12
regulation of muscle system process	12
negative regulation of growth	12
DNA-templated transcription, initiation	12
negative regulation of cell cycle phase transition	12
regulation of leukocyte differentiation	12
positive regulation of cell-cell adhesion	12
lymphocyte proliferation	12
regulation of intracellular protein transport	12
mononuclear cell proliferation	12
cellular carbohydrate metabolic process	12
leukocyte proliferation	12
intrinsic apoptotic signaling pathway	12
protein polyubiquitination	12
regulation of T cell activation	12
leukocyte cell-cell adhesion	12
glycoprotein biosynthetic process	12
gene silencing by RNA	12
vesicle organization	12
negative regulation of hydrolase activity	12
neuromuscular process	12
visual perception	12
sensory perception of light stimulus	12
protein localization to plasma membrane	12
negative regulation of cell motility	12
protein homooligomerization	12
autonomic nervous system development	11
ventral spinal cord development	11
regulation of granulocyte chemotaxis	11
cranial nerve development	11
somatic stem cell population maintenance	11
mesoderm morphogenesis	11
nerve development	11
regulation of cellular response to heat	11
positive regulation of gene expression, epigenetic	11
somite development	11
kidney morphogenesis	11
cAMP metabolic process	11
chemical synaptic transmission, postsynaptic	11
isoprenoid metabolic process	11
embryonic limb morphogenesis	11
embryonic appendage morphogenesis	11
regulation of postsynaptic membrane potential	11
mitochondrial membrane organization	11
digestive tract development	11
regulation of gene silencing	11
cellular response to carbohydrate stimulus	11
digestion	11
epithelial to mesenchymal transition	11
vitamin metabolic process	11
negative regulation of cytoskeleton organization	11
intracellular steroid hormone receptor signaling pathway	11
Golgi organization	11
positive regulation of cellular amide metabolic process	11
alcohol biosynthetic process	11
adult behavior	11
cardiac conduction	11
nucleosome assembly	11
RNA modification	11
placenta development	11
sensory perception of mechanical stimulus	11
regulation of muscle contraction	11
cytoskeleton-dependent intracellular transport	11
positive regulation of hemopoiesis	11
receptor metabolic process	11
negative regulation of multi-organism process	11
regulation of synapse structure or activity	11
positive regulation of developmental growth	11
response to unfolded protein	11
cellular response to radiation	11
spindle organization	11
negative regulation of neuron death	11
regulation of cell-substrate adhesion	11
establishment of protein localization to mitochondrion	11
protein localization to mitochondrion	11
nucleic acid transport	11
RNA transport	11
response to topologically incorrect protein	11
establishment of RNA localization	11
epithelial cell development	11
osteoblast differentiation	11
response to mechanical stimulus	11
DNA biosynthetic process	11
positive regulation of protein catabolic process	11
regulation of protein modification by small protein conjugation or removal	11
gonad development	11
development of primary sexual characteristics	11
organophosphate catabolic process	11
defense response to virus	11
cell cycle checkpoint	11
negative regulation of mitotic cell cycle phase transition	11
telencephalon development	11
learning or memory	11
coenzyme biosynthetic process	11
protein-containing complex localization	11
neurotransmitter transport	11
response to insulin	11
regulation of actin filament organization	11
reactive oxygen species metabolic process	11
protein glycosylation	11
macromolecule glycosylation	11
glycosylation	11
lipid modification	11
cofactor biosynthetic process	11
lipid catabolic process	11
response to lipopolysaccharide	11
cellular process involved in reproduction in multicellular organism	11
posttranscriptional gene silencing by RNA	11
posttranscriptional gene silencing	11
phospholipid metabolic process	11
spinal cord motor neuron differentiation	10
regulation of axon guidance	10
mesenchyme morphogenesis	10
lung morphogenesis	10
cellular response to ammonium ion	10
mesoderm formation	10
diencephalon development	10
nephron morphogenesis	10
positive regulation of axonogenesis	10
regulation of axon extension	10
neural tube closure	10
positive regulation of nucleotide metabolic process	10
positive regulation of purine nucleotide metabolic process	10
bone morphogenesis	10
tube closure	10
metanephros development	10
axis specification	10
nephron tubule development	10
megakaryocyte differentiation	10
mitochondrial transmembrane transport	10
primary neural tube formation	10
renal tubule development	10
regulation of protein localization to cell periphery	10
regulation of extent of cell growth	10
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	10
negative regulation of cellular protein localization	10
cyclic purine nucleotide metabolic process	10
cyclic nucleotide biosynthetic process	10
antimicrobial humoral response	10
terpenoid metabolic process	10
nephron epithelium development	10
icosanoid metabolic process	10
nucleotide-excision repair	10
polyol metabolic process	10
viral entry into host cell	10
detoxification	10
positive regulation of translation	10
negative regulation of transmembrane transport	10
cardiac muscle cell differentiation	10
cellular response to light stimulus	10
spindle assembly	10
cellular response to glucose stimulus	10
cellular response to hexose stimulus	10
cellular response to monosaccharide stimulus	10
cellular glucose homeostasis	10
entry into host cell	10
entry into host	10
entry into cell of other organism involved in symbiotic interaction	10
entry into other organism involved in symbiotic interaction	10
neural precursor cell proliferation	10
fatty acid biosynthetic process	10
positive regulation of canonical Wnt signaling pathway	10
mammary gland development	10
secondary alcohol metabolic process	10
RNA phosphodiester bond hydrolysis	10
neuron migration	10
protein import into nucleus	10
multicellular organism growth	10
negative regulation of ion transport	10
sensory perception of sound	10
activation of MAPK activity	10
sodium ion transmembrane transport	10
mRNA transport	10
regulation of mRNA stability	10
male sex differentiation	10
regulation of chromatin organization	10
purine nucleoside monophosphate biosynthetic process	10
purine ribonucleoside monophosphate biosynthetic process	10
nucleotide catabolic process	10
negative regulation of protein transport	10
regulation of RNA stability	10
negative regulation of angiogenesis	10
positive regulation of binding	10
negative regulation of establishment of protein localization	10
organ growth	10
nucleoside phosphate catabolic process	10
negative regulation of blood vessel morphogenesis	10
ribonucleoside monophosphate biosynthetic process	10
carbohydrate catabolic process	10
negative regulation of vasculature development	10
protein methylation	10
protein alkylation	10
cellular response to inorganic substance	10
negative regulation of secretion by cell	10
regulation of protein ubiquitination	10
regulation of ossification	10
female pregnancy	10
positive regulation of transmembrane transport	10
positive regulation of peptidase activity	10
actomyosin structure organization	10
nucleoside monophosphate biosynthetic process	10
response to alcohol	10
response to interleukin-1	10
positive regulation of intracellular protein transport	10
positive regulation of angiogenesis	10
regulation of lymphocyte proliferation	10
regulation of mononuclear cell proliferation	10
regulation of leukocyte proliferation	10
nucleobase-containing small molecule biosynthetic process	10
positive regulation of vasculature development	10
regulation of cell cycle G2/M phase transition	10
alpha-amino acid metabolic process	10
regulation of I-kappaB kinase/NF-kappaB signaling	10
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	10
positive regulation of intracellular transport	10
establishment of vesicle localization	10
regulation of cysteine-type endopeptidase activity	10
I-kappaB kinase/NF-kappaB signaling	10
vesicle localization	10
rRNA processing	10
cell cycle G2/M phase transition	10
organic acid catabolic process	10
carboxylic acid catabolic process	10
negative regulation of kinase activity	10
rRNA metabolic process	10
regulation of leukocyte cell-cell adhesion	10
negative regulation of transferase activity	10
gene silencing by miRNA	10
negative regulation of proteolysis	10
dephosphorylation	10
negative regulation of DNA binding transcription factor activity	10
negative regulation of cell migration	10
beta-catenin destruction complex disassembly	9
positive regulation of granulocyte chemotaxis	9
modulation by virus of host morphology or physiology	9
intermediate filament cytoskeleton organization	9
intermediate filament-based process	9
embryonic cranial skeleton morphogenesis	9
modification by symbiont of host morphology or physiology	9
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	9
regulation of stem cell proliferation	9
multicellular organismal water homeostasis	9
embryonic heart tube morphogenesis	9
somitogenesis	9
water homeostasis	9
neural crest cell development	9
cardiac ventricle morphogenesis	9
nephron tubule morphogenesis	9
mesenchymal cell development	9
stem cell development	9
nephron epithelium morphogenesis	9
organelle transport along microtubule	9
pancreas development	9
embryonic heart tube development	9
regulation of megakaryocyte differentiation	9
renal tubule morphogenesis	9
neural crest cell differentiation	9
regulation of protein depolymerization	9
negative regulation of viral life cycle	9
regulation of cytokinesis	9
retrograde vesicle-mediated transport, Golgi to ER	9
positive regulation of cell division	9
cellular response to ketone	9
regulation of protein localization to plasma membrane	9
positive regulation of myeloid cell differentiation	9
neutrophil chemotaxis	9
regulation of viral genome replication	9
interferon-gamma-mediated signaling pathway	9
leukocyte mediated cytotoxicity	9
receptor internalization	9
negative regulation of viral process	9
ammonium transport	9
antigen processing and presentation of exogenous peptide antigen via MHC class II	9
negative regulation of ion transmembrane transport	9
neutrophil migration	9
antigen processing and presentation of peptide antigen via MHC class II	9
ribonucleoside metabolic process	9
protein depolymerization	9
regulation of cyclic nucleotide metabolic process	9
regulation of protein complex disassembly	9
regulation of gene silencing by miRNA	9
response to alkaloid	9
excitatory postsynaptic potential	9
regulation of posttranscriptional gene silencing	9
regulation of gene silencing by RNA	9
release of sequestered calcium ion into cytosol	9
negative regulation of sequestering of calcium ion	9
regulation of sequestering of calcium ion	9
regulation of cell cycle arrest	9
regulation of DNA binding	9
sequestering of calcium ion	9
positive regulation of protein localization to membrane	9
regulation of fat cell differentiation	9
apoptotic mitochondrial changes	9
nucleoside metabolic process	9
negative regulation of supramolecular fiber organization	9
protein localization to endoplasmic reticulum	9
negative regulation of protein complex assembly	9
cardiac muscle contraction	9
DNA-templated transcription, elongation	9
dendrite morphogenesis	9
cholesterol metabolic process	9
response to UV	9
morphogenesis of a polarized epithelium	9
male gonad development	9
development of primary male sexual characteristics	9
antibiotic metabolic process	9
regulation of reproductive process	9
action potential	9
regulation of G-protein coupled receptor protein signaling pathway	9
cellular response to antibiotic	9
regulation of stem cell differentiation	9
transport along microtubule	9
regulation of striated muscle tissue development	9
microtubule-based transport	9
cellular response to fibroblast growth factor stimulus	9
regulation of muscle tissue development	9
regulation of muscle organ development	9
cellular response to unfolded protein	9
mitotic sister chromatid segregation	9
response to fibroblast growth factor	9
sterol metabolic process	9
regulation of purine nucleotide biosynthetic process	9
positive regulation of epithelial cell migration	9
regulation of nucleotide biosynthetic process	9
cellular response to metal ion	9
regulation of B cell activation	9
monovalent inorganic cation homeostasis	9
DNA damage checkpoint	9
protein lipidation	9
regulation of intrinsic apoptotic signaling pathway	9
regulation of cation channel activity	9
positive regulation of cell growth	9
regulation of actin filament polymerization	9
striated muscle cell development	9
regulation of organelle assembly	9
lipoprotein biosynthetic process	9
regulation of synapse organization	9
cellular response to topologically incorrect protein	9
positive regulation of I-kappaB kinase/NF-kappaB signaling	9
regulation of lipid biosynthetic process	9
regulation of leukocyte mediated immunity	9
DNA integrity checkpoint	9
negative regulation of cell growth	9
cellular response to interleukin-1	9
nucleoside triphosphate biosynthetic process	9
calcium-mediated signaling	9
telomere organization	9
striated muscle contraction	9
negative regulation of cell activation	9
regulation of proteasomal protein catabolic process	9
positive regulation of immune effector process	9
actin filament polymerization	9
regulation of blood pressure	9
muscle cell development	9
inorganic anion transport	9
pattern recognition receptor signaling pathway	9
regulation of actin polymerization or depolymerization	9
transforming growth factor beta receptor signaling pathway	9
regulation of actin filament length	9
regulation of nuclear division	9
transcription initiation from RNA polymerase II promoter	9
cell recognition	9
tRNA metabolic process	9
myeloid leukocyte differentiation	9
regulation of G2/M transition of mitotic cell cycle	9
lipoprotein metabolic process	9
ammonium ion metabolic process	9
cellular response to hypoxia	9
cellular response to insulin stimulus	9
regulation of proteolysis involved in cellular protein catabolic process	9
Rho protein signal transduction	9
actin polymerization or depolymerization	9
cellular response to decreased oxygen levels	9
positive regulation of cytoskeleton organization	9
cellular response to oxygen levels	9
T cell differentiation	9
regulation of cellular protein catabolic process	9
sister chromatid segregation	9
regulation of Ras protein signal transduction	9
G2/M transition of mitotic cell cycle	9
negative regulation of protein kinase activity	9
negative regulation of peptidase activity	9
regulation of epithelial cell migration	9
negative regulation of catabolic process	9
G1/S transition of mitotic cell cycle	9
cell cycle G1/S phase transition	9
nuclear chromosome segregation	9
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	9
glycerophospholipid metabolic process	9
columnar/cuboidal epithelial cell differentiation	9
negative regulation of chromosome organization	9
developmental induction	8
positive regulation of neutrophil chemotaxis	8
positive regulation of neutrophil migration	8
regulation of neutrophil chemotaxis	8
dopaminergic neuron differentiation	8
Wnt signaling pathway, calcium modulating pathway	8
regulation of neutrophil migration	8
substantia nigra development	8
cellular response to amino acid starvation	8
response to nicotine	8
anterior/posterior axis specification	8
arachidonic acid metabolic process	8
phototransduction	8
detection of visible light	8
intracellular estrogen receptor signaling pathway	8
heart looping	8
natural killer cell mediated cytotoxicity	8
antimicrobial humoral immune response mediated by antimicrobial peptide	8
apical junction assembly	8
negative regulation of protein depolymerization	8
natural killer cell mediated immunity	8
excretion	8
forebrain generation of neurons	8
determination of heart left/right asymmetry	8
respiratory gaseous exchange	8
positive regulation of nucleotide biosynthetic process	8
positive regulation of purine nucleotide biosynthetic process	8
response to osmotic stress	8
central nervous system neuron development	8
negative regulation of protein complex disassembly	8
cardiac septum morphogenesis	8
regulation of protein acetylation	8
demethylation	8
cAMP biosynthetic process	8
detection of light stimulus	8
modification by host of symbiont morphology or physiology	8
artery morphogenesis	8
interaction with symbiont	8
regulation of cardiac conduction	8
