Molecular function	n
transcriptional activator activity, RNA polymerase II transcription factor binding	3
transferase activity, transferring hexosyl groups	3
tRNA methyltransferase activity	3
ubiquitin protein ligase binding	3
ubiquitin-like protein ligase binding	3
UDP-glycosyltransferase activity	3
3'-5' exonuclease activity	2
3',5'-cyclic-GMP phosphodiesterase activity	2
3',5'-cyclic-nucleotide phosphodiesterase activity	2
active ion transmembrane transporter activity	2
adenylate cyclase activity	2
amino acid transmembrane transporter activity	2
anion channel activity	2
ATP-dependent RNA helicase activity	2
ATPase activity, coupled to transmembrane movement of substances	2
ATPase coupled ion transmembrane transporter activity	2
AU-rich element binding	2
basal RNA polymerase II transcription machinery binding	2
basal transcription machinery binding	2
beta-catenin binding	2
beta-tubulin binding	2
calcium channel activity	2
carboxylic acid binding	2
carboxylic acid transmembrane transporter activity	2
cation-transporting ATPase activity	2
core promoter sequence-specific DNA binding	2
cyclase activity	2
cyclic-nucleotide phosphodiesterase activity	2
cyclin-dependent protein serine/threonine kinase regulator activity	2
cytoskeletal adaptor activity	2
disulfide oxidoreductase activity	2
DNA-dependent ATPase activity	2
double-stranded RNA binding	2
endoribonuclease activity	2
enzyme inhibitor activity	2
extracellular ligand-gated ion channel activity	2
FAD binding	2
flavin adenine dinucleotide binding	2
frizzled binding	2
G-protein beta/gamma-subunit complex binding	2
G-protein coupled peptide receptor activity	2
glucuronosyltransferase activity	2
guanylate cyclase activity	2
heme binding	2
hormone binding	2
hydro-lyase activity	2
inorganic anion transmembrane transporter activity	2
intramolecular oxidoreductase activity	2
ion antiporter activity	2
iron ion binding	2
K63-linked polyubiquitin modification-dependent protein binding	2
kinase regulator activity	2
kinesin binding	2
L-amino acid transmembrane transporter activity	2
ligand-gated cation channel activity	2
lipase activity	2
miRNA binding	2
modified amino acid binding	2
molecular adaptor activity	2
mRNA 3'-UTR AU-rich region binding	2
N-acetyltransferase activity	2
N-acyltransferase activity	2
neurotransmitter receptor activity	2
nucleotide diphosphatase activity	2
nucleotidyltransferase activity	2
oligosaccharide binding	2
organic acid binding	2
organic acid transmembrane transporter activity	2
oxidoreductase activity, acting on a sulfur group of donors	2
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	2
oxygen binding	2
P-P-bond-hydrolysis-driven transmembrane transporter activity	2
PDZ domain binding	2
peptide N-acetyltransferase activity	2
peptide receptor activity	2
phosphatase activity	2
phospholipid transporter activity	2
phospholipid-translocating ATPase activity	2
phosphorus-oxygen lyase activity	2
potassium ion transmembrane transporter activity	2
primary active transmembrane transporter activity	2
protein binding, bridging	2
protein kinase C activity	2
protein kinase regulator activity	2
protein serine/threonine/tyrosine kinase activity	2
proton transmembrane transporter activity	2
regulatory RNA binding	2
repressing transcription factor binding	2
ribonuclease activity	2
RNA helicase activity	2
RNA polymerase core enzyme binding	2
RNA polymerase II carboxy-terminal domain kinase activity	2
RNA polymerase II core binding	2
RNA-dependent ATPase activity	2
semaphorin receptor activity	2
signal transducer activity, downstream of receptor	2
signal transducer, downstream of receptor, with serine/threonine kinase activity	2
single-stranded DNA binding	2
single-stranded RNA binding	2
snoRNA binding	2
tetrapyrrole binding	2
thiol-dependent ubiquitin-specific protease activity	2
thiol-dependent ubiquitinyl hydrolase activity	2
thiolester hydrolase activity	2
transcription cofactor binding	2
transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	2
transferase activity, transferring alkyl or aryl (other than methyl) groups	2
translation factor activity, RNA binding	2
translation regulator activity	2
transmitter-gated channel activity	2
transmitter-gated ion channel activity	2
tRNA (guanine) methyltransferase activity	2
tRNA binding	2
ubiquitin-like protein-specific protease activity	2
ubiquitin-ubiquitin ligase activity	2
ubiquitinyl hydrolase activity	2
voltage-gated cation channel activity	2
voltage-gated channel activity	2
voltage-gated ion channel activity	2
Wnt-activated receptor activity	2
Wnt-protein binding	2
14-3-3 protein binding	1
3',5'-cyclic-AMP phosphodiesterase activity	1
5'-3' RNA polymerase activity	1
5'-nucleotidase activity	1
acetylglucosaminyltransferase activity	1
acid-amino acid ligase activity	1
acidic amino acid transmembrane transporter activity	1
actin monomer binding	1
activating transcription factor binding	1
acylglycerol lipase activity	1
adenine nucleotide transmembrane transporter activity	1
adenylate cyclase binding	1
ADP binding	1
ADP transmembrane transporter activity	1
alcohol binding	1
alcohol dehydrogenase (NADP+) activity	1
alditol:NADP+ 1-oxidoreductase activity	1
aldo-keto reductase (NADP) activity	1
alkali metal ion binding	1
alpha-tubulin binding	1
amide transmembrane transporter activity	1
ammonium transmembrane transporter activity	1
AMP binding	1
anion:anion antiporter activity	1
ankyrin binding	1
annealing activity	1
antigen binding	1
apolipoprotein binding	1
arachidonic acid epoxygenase activity	1
arachidonic acid monooxygenase activity	1
armadillo repeat domain binding	1
aromatase activity	1
AT DNA binding	1
ATP-dependent DNA helicase activity	1
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	1
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	1
benzodiazepine receptor activity	1
bile acid binding	1
C-acyltransferase activity	1
calcium-dependent phospholipid binding	1
calcium-dependent protein kinase activity	1
calcium-dependent protein serine/threonine kinase activity	1
calcium-transporting ATPase activity	1
calcium:cation antiporter activity	1
calmodulin-dependent protein kinase activity	1
cAMP binding	1
carbohydrate derivative transmembrane transporter activity	1
carbohydrate transmembrane transporter activity	1
carbohydrate:cation symporter activity	1
carbonate dehydratase activity	1
carboxylic ester hydrolase activity	1
catalytic activity, acting on a glycoprotein	1
catalytic activity, acting on a rRNA	1
cation:cation antiporter activity	1
chloride channel activity	1
chloride transmembrane transporter activity	1
cis-trans isomerase activity	1
class I DNA-(apurinic or apyrimidinic site) endonuclease activity	1
class III/IV DNA-(apurinic or apyrimidinic site) endonuclease activity	1
clathrin binding	1
cullin family protein binding	1
cyclic nucleotide binding	1
cyclic nucleotide-gated ion channel activity	1
cyclin-dependent protein kinase activity	1
cyclin-dependent protein serine/threonine kinase activity	1
cyclin-dependent protein serine/threonine kinase inhibitor activity	1
cysteine-type endopeptidase activity	1
damaged DNA binding	1
deacetylase activity	1
deoxyribonuclease activity	1
dicarboxylic acid transmembrane transporter activity	1
dioxygenase activity	1
DNA helicase activity	1
DNA polymerase activity	1
DNA secondary structure binding	1
DNA-(apurinic or apyrimidinic site) endonuclease activity	1
DNA-directed 5'-3' RNA polymerase activity	1
DNA-directed DNA polymerase activity	1
dynactin binding	1
dynein complex binding	1
dynein intermediate chain binding	1
E-box binding	1
electron transfer activity	1
endodeoxyribonuclease activity	1
endodeoxyribonuclease activity, producing 3'-phosphomonoesters	1
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	1
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	1
endopeptidase inhibitor activity	1
endopeptidase regulator activity	1
endoribonuclease activity, producing 5'-phosphomonoesters	1
estrogen receptor binding	1
excitatory extracellular ligand-gated ion channel activity	1
exoribonuclease activity	1
extracellularly glutamate-gated ion channel activity	1
fatty acid derivative binding	1
fatty acid synthase activity	1
fatty-acyl-CoA binding	1
fibronectin binding	1
GABA receptor activity	1
GABA receptor binding	1
GABA-A receptor activity	1
GABA-gated chloride ion channel activity	1
glucose transmembrane transporter activity	1
glutamate receptor activity	1
glutamate receptor binding	1
glutathione binding	1
glutathione peroxidase activity	1
glutathione transferase activity	1
growth factor binding	1
growth factor receptor binding	1
GTP-Rho binding	1
heat shock protein binding	1
hexosaminidase activity	1
hexose transmembrane transporter activity	1
hijacked molecular function	1
histone acetyltransferase activity	1
histone deacetylase activity	1
histone kinase activity	1
HMG box domain binding	1
hormone receptor binding	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	1
hydrolase activity, acting on glycosyl bonds	1
hydrolase activity, hydrolyzing O-glycosyl compounds	1
inhibitory extracellular ligand-gated ion channel activity	1
inositol phosphate phosphatase activity	1
inositol tetrakisphosphate phosphatase activity	1
inositol trisphosphate phosphatase activity	1
integrin binding	1
intermediate filament binding	1
intracellular cyclic nucleotide activated cation channel activity	1
intracellular ligand-gated ion channel activity	1
intramolecular oxidoreductase activity, transposing S-S bonds	1
intronic transcription regulatory region DNA binding	1
intronic transcription regulatory region sequence-specific DNA binding	1
ionotropic glutamate receptor activity	1
kinase inhibitor activity	1
L-glutamate transmembrane transporter activity	1
ligand-gated anion channel activity	1
ligand-gated calcium channel activity	1
ligase activity	1
ligase activity, forming carbon-nitrogen bonds	1
lipopeptide binding	1
lysine N-methyltransferase activity	1
macromolecule transmembrane transporter activity	1
mannose binding	1
MAP kinase activity	1
MAP kinase kinase activity	1
MAP kinase kinase kinase activity	1
methylated histone binding	1
methylation-dependent protein binding	1
MHC class II receptor activity	1
MHC protein binding	1
microtubule plus-end binding	1
mismatched DNA binding	1
mitogen-activated protein kinase kinase binding	1
mitogen-activated protein kinase kinase kinase binding	1
molecular carrier activity	1
monocarboxylic acid binding	1
monosaccharide binding	1
monosaccharide transmembrane transporter activity	1
mRNA 5'-UTR binding	1
mRNA methyltransferase activity	1
N-methyltransferase activity	1
NAD+ ADP-ribosyltransferase activity	1
NADP binding	1
NADPH binding	1
neurexin family protein binding	1
neuropeptide receptor activity	1
neuropeptide Y receptor activity	1
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	1
neurotransmitter transporter activity	1
nuclear hormone receptor binding	1
nucleobase-containing compound kinase activity	1
nucleobase-containing compound transmembrane transporter activity	1
nucleosomal DNA binding	1
nucleotidase activity	1
nucleotide transmembrane transporter activity	1
oligopeptide binding	1
organic cation transmembrane transporter activity	1
organophosphate ester transmembrane transporter activity	1
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	1
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	1
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	1
oxidoreductase activity, acting on the aldehyde or oxo group of donors	1
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	1
oxygen carrier activity	1
palmitoyl hydrolase activity	1
palmitoyl-(protein) hydrolase activity	1
pattern recognition receptor activity	1
peptidase inhibitor activity	1
peptidase regulator activity	1
peptide alpha-N-acetyltransferase activity	1
peptide antigen binding	1
peptide disulfide oxidoreductase activity	1
peptide hormone binding	1
peptide transmembrane transporter activity	1
peptide-lysine-N-acetyltransferase activity	1
peptidoglycan binding	1
peptidyl-prolyl cis-trans isomerase activity	1
phosphatidylinositol 3-kinase activity	1
phosphatidylinositol binding	1
phosphatidylinositol bisphosphate binding	1
phosphatidylinositol bisphosphate kinase activity	1
phosphatidylinositol phosphate binding	1
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	1
phosphatidylinositol-4,5-bisphosphate binding	1
phospholipase activity	1
phospholipase C activity	1
phosphoprotein binding	1
phosphotransferase activity, for other substituted phosphate groups	1
phosphotyrosine residue binding	1
platelet-derived growth factor binding	1
platelet-derived growth factor receptor binding	1
postsynaptic neurotransmitter receptor activity	1
potassium channel activity	1
potassium ion antiporter activity	1
potassium ion binding	1
protease binding	1
protein binding involved in protein folding	1
protein C-terminus binding	1
protein deacetylase activity	1
protein disulfide isomerase activity	1
protein kinase B binding	1
protein kinase inhibitor activity	1
protein methyltransferase activity	1
protein phosphatase 2A binding	1
protein phosphatase binding	1
protein phosphorylated amino acid binding	1
protein serine/threonine kinase inhibitor activity	1
protein transmembrane transporter activity	1
protein transporter activity	1
protein tyrosine kinase activity	1
protein-containing complex scaffold activity	1
protein-lysine N-methyltransferase activity	1
proton-transporting ATP synthase activity, rotational mechanism	1
purine nucleotide transmembrane transporter activity	1
purine ribonucleotide transmembrane transporter activity	1
quaternary ammonium group transmembrane transporter activity	1
Ran GTPase binding	1
receptor activator activity	1
Rho guanyl-nucleotide exchange factor activity	1
ribosomal large subunit binding	1
RNA cap binding	1
RNA polymerase activity	1
RNA polymerase II activating transcription factor binding	1
RNA polymerase II core promoter sequence-specific DNA binding	1
RNA polymerase II repressing transcription factor binding	1
RNA polymerase II transcription corepressor activity	1
RNA stem-loop binding	1
rRNA binding	1
rRNA methyltransferase activity	1
S-acyltransferase activity	1
scaffold protein binding	1
signaling pattern recognition receptor activity	1
siRNA binding	1
SNARE binding	1
snRNA binding	1
sodium channel activity	1
sodium ion binding	1
solute:cation antiporter activity	1
solute:cation symporter activity	1
solute:sodium symporter activity	1
steroid binding	1
steroid dehydrogenase activity	1
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1
steroid hormone receptor activity	1
steroid hormone receptor binding	1
steroid hydroxylase activity	1
structural constituent of muscle	1
structural constituent of ribosome	1
sugar transmembrane transporter activity	1
syntaxin binding	1
Tat protein binding	1
tau-protein kinase activity	1
TBP-class protein binding	1
Toll-like receptor binding	1
transaminase activity	1
transcription coactivator binding	1
transcription corepressor binding	1
transcriptional repressor activity, RNA polymerase II transcription factor binding	1
transferase activity, transferring nitrogenous groups	1
transferase activity, transferring pentosyl groups	1
transferase activity, transferring sulfur-containing groups	1
translation initiation factor activity	1
transmembrane receptor protein kinase activity	1
transmembrane receptor protein tyrosine kinase activity	1
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	1
unfolded protein binding	1
virus receptor activity	1
vitamin binding	1
voltage-gated potassium channel activity	1
voltage-gated sodium channel activity	1
volume-sensitive anion channel activity	1
