Biological Process	n
heart morphogenesis	7
insulin secretion	7
lipid transport	7
mesenchyme development	7
mRNA catabolic process	7
muscle cell differentiation	7
negative regulation of immune system process	7
negative regulation of mitotic cell cycle	7
negative regulation of organelle organization	7
negative regulation of phosphorylation	7
nucleic acid phosphodiester bond hydrolysis	7
peptide hormone secretion	7
positive regulation of cell migration	7
positive regulation of cellular catabolic process	7
positive regulation of DNA metabolic process	7
positive regulation of secretion	7
protein deubiquitination	7
protein localization to nucleus	7
protein processing	7
protein-containing complex disassembly	7
regulation of cellular component size	7
regulation of chemotaxis	7
regulation of chromosome organization	7
regulation of embryonic development	7
regulation of insulin secretion	7
regulation of mitotic cell cycle phase transition	7
regulation of multi-organism process	7
regulation of peptide hormone secretion	7
renal system development	7
reproductive structure development	7
reproductive system development	7
respiratory system development	7
response to oxidative stress	7
response to radiation	7
ribosome biogenesis	7
skeletal muscle organ development	7
skeletal muscle tissue development	7
spinal cord development	7
synapse organization	7
urogenital system development	7
anion transmembrane transport	6
autophagy	6
axis specification	6
axon extension	6
blood coagulation	6
carbohydrate homeostasis	6
cellular ketone metabolic process	6
cellular response to abiotic stimulus	6
cellular response to environmental stimulus	6
cellular response to external stimulus	6
cellular response to extracellular stimulus	6
cellular response to nutrient levels	6
cellular response to tumor necrosis factor	6
coagulation	6
coenzyme biosynthetic process	6
coenzyme metabolic process	6
cofactor biosynthetic process	6
covalent chromatin modification	6
developmental cell growth	6
digestive tract development	6
DNA packaging	6
ear development	6
ear morphogenesis	6
embryonic skeletal system development	6
embryonic skeletal system morphogenesis	6
fat cell differentiation	6
forebrain development	6
glial cell differentiation	6
gliogenesis	6
glucose homeostasis	6
hemostasis	6
histone modification	6
homophilic cell adhesion via plasma membrane adhesion molecules	6
immune response-activating cell surface receptor signaling pathway	6
immune response-regulating cell surface receptor signaling pathway	6
lung development	6
macromolecule methylation	6
mammary gland development	6
mesoderm development	6
mitochondrial transmembrane transport	6
mitotic nuclear division	6
mitotic sister chromatid segregation	6
morphogenesis of a branching epithelium	6
morphogenesis of a branching structure	6
negative regulation of cellular amide metabolic process	6
negative regulation of protein phosphorylation	6
negative regulation of secretion	6
negative regulation of translation	6
negative regulation of Wnt signaling pathway	6
neural tube development	6
neuron fate commitment	6
neuron projection extension	6
neutrophil activation	6
neutrophil activation involved in immune response	6
neutrophil degranulation	6
neutrophil mediated immunity	6
non-canonical Wnt signaling pathway	6
nuclear chromosome segregation	6
nuclear division	6
nuclear transport	6
nucleocytoplasmic transport	6
nucleoside monophosphate metabolic process	6
organelle fission	6
pattern recognition receptor signaling pathway	6
positive regulation of cell cycle	6
positive regulation of cellular amide metabolic process	6
positive regulation of nervous system development	6
positive regulation of neurogenesis	6
positive regulation of neuron differentiation	6
positive regulation of secretion by cell	6
positive regulation of translation	6
process utilizing autophagic mechanism	6
purine nucleoside monophosphate metabolic process	6
purine nucleotide biosynthetic process	6
purine ribonucleoside monophosphate metabolic process	6
purine ribonucleotide biosynthetic process	6
purine-containing compound biosynthetic process	6
regulation of angiogenesis	6
regulation of binding	6
regulation of cytosolic calcium ion concentration	6
regulation of immune effector process	6
regulation of inflammatory response	6
regulation of mRNA catabolic process	6
regulation of mRNA metabolic process	6
regulation of vasculature development	6
respiratory tube development	6
response to carbohydrate	6
response to extracellular stimulus	6
response to glucose	6
response to hexose	6
response to monosaccharide	6
response to nutrient levels	6
response to temperature stimulus	6
response to tumor necrosis factor	6
rhythmic process	6
ribonucleoside monophosphate metabolic process	6
ribonucleotide biosynthetic process	6
ribose phosphate biosynthetic process	6
RNA splicing	6
rRNA metabolic process	6
rRNA processing	6
sister chromatid segregation	6
skeletal system morphogenesis	6
skin development	6
smoothened signaling pathway	6
sodium ion transport	6
synapse assembly	6
ameboidal-type cell migration	5
anterior/posterior axis specification	5
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	5
carboxylic acid biosynthetic process	5
carboxylic acid transport	5
cardiac chamber development	5
cardiac chamber morphogenesis	5
cardiac ventricle development	5
cardiocyte differentiation	5
cell cycle arrest	5
cell cycle checkpoint	5
cell differentiation in spinal cord	5
cell maturation	5
cellular amino acid metabolic process	5
cellular glucose homeostasis	5
cellular response to carbohydrate stimulus	5
cellular response to glucose stimulus	5
cellular response to hexose stimulus	5
cellular response to monosaccharide stimulus	5
cellular response to oxidative stress	5
cellular response to starvation	5
cellular response to toxic substance	5
chromatin remodeling	5
developmental maturation	5
DNA biosynthetic process	5
DNA-templated transcription, initiation	5
dorsal/ventral pattern formation	5
embryonic appendage morphogenesis	5
embryonic epithelial tube formation	5
embryonic limb morphogenesis	5
epidermal cell differentiation	5
epithelial tube formation	5
ERK1 and ERK2 cascade	5
formation of primary germ layer	5
heart contraction	5
heart process	5
hormone metabolic process	5
humoral immune response	5
import into nucleus	5
inner ear development	5
inner ear morphogenesis	5
interaction with host	5
keratinocyte differentiation	5
locomotory behavior	5
lung morphogenesis	5
macroautophagy	5
mammary gland epithelium development	5
mesoderm morphogenesis	5
mitochondrial membrane organization	5
modulation of chemical synaptic transmission	5
monosaccharide metabolic process	5
morphogenesis of embryonic epithelium	5
mRNA processing	5
mRNA splicing, via spliceosome	5
negative regulation of binding	5
negative regulation of cell activation	5
negative regulation of cell adhesion	5
negative regulation of cell cycle phase transition	5
negative regulation of secretion by cell	5
neuron fate specification	5
neuron migration	5
organic acid biosynthetic process	5
organic acid transport	5
organophosphate catabolic process	5
outflow tract morphogenesis	5
platelet activation	5
positive regulation of cytokine production	5
positive regulation of cytosolic calcium ion concentration	5
positive regulation of peptide secretion	5
positive regulation of protein secretion	5
positive regulation of proteolysis	5
positive regulation of small molecule metabolic process	5
protein folding	5
protein import	5
protein import into nucleus	5
protein polyubiquitination	5
regulation of axon extension	5
regulation of axon guidance	5
regulation of blood circulation	5
regulation of canonical Wnt signaling pathway	5
regulation of cell division	5
regulation of cell size	5
regulation of epithelial cell proliferation	5
regulation of extent of cell growth	5
regulation of heart contraction	5
regulation of hemopoiesis	5
regulation of ion transmembrane transport	5
regulation of lipid metabolic process	5
regulation of lymphocyte activation	5
regulation of membrane potential	5
regulation of metal ion transport	5
regulation of mRNA stability	5
regulation of neurotransmitter levels	5
regulation of organ morphogenesis	5
regulation of protein catabolic process	5
regulation of protein complex assembly	5
regulation of protein modification by small protein conjugation or removal	5
regulation of RNA stability	5
regulation of symbiosis, encompassing mutualism through parasitism	5
regulation of trans-synaptic signaling	5
regulation of viral process	5
response to ketone	5
response to light stimulus	5
response to molecule of bacterial origin	5
response to oxygen levels	5
response to starvation	5
response to xenobiotic stimulus	5
RNA localization	5
RNA splicing, via transesterification reactions	5
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	5
roof of mouth development	5
second-messenger-mediated signaling	5
signal transduction by p53 class mediator	5
small molecule catabolic process	5
sodium ion transmembrane transport	5
somite development	5
stem cell proliferation	5
steroid metabolic process	5
stress-activated protein kinase signaling cascade	5
tissue migration	5
tRNA metabolic process	5
tube formation	5
viral life cycle	5
activation of protein kinase activity	4
aging	4
alcohol metabolic process	4
anatomical structure homeostasis	4
anatomical structure maturation	4
blastocyst development	4
blastocyst formation	4
branching morphogenesis of an epithelial tube	4
carboxylic acid catabolic process	4
carboxylic acid transmembrane transport	4
cell cycle G2/M phase transition	4
cell-substrate adhesion	4
cellular carbohydrate metabolic process	4
cellular process involved in reproduction in multicellular organism	4
cellular response to biotic stimulus	4
cellular response to ketone	4
cellular response to leukemia inhibitory factor	4
cellular response to molecule of bacterial origin	4
cellular response to steroid hormone stimulus	4
cellular response to xenobiotic stimulus	4
chromatin assembly or disassembly	4
cilium assembly	4
cilium organization	4
circadian rhythm	4
columnar/cuboidal epithelial cell differentiation	4
cornification	4
cranial skeletal system development	4
cyclic nucleotide metabolic process	4
cytokine secretion	4
cytokinesis	4
cytosolic calcium ion transport	4
detection of external stimulus	4
detoxification	4
digestive tract morphogenesis	4
drug transport	4
embryonic cranial skeleton morphogenesis	4
epithelial cell development	4
epithelium migration	4
fatty acid biosynthetic process	4
gene silencing	4
gene silencing by RNA	4
glycerolipid metabolic process	4
Golgi organization	4
I-kappaB kinase/NF-kappaB signaling	4
insulin secretion involved in cellular response to glucose stimulus	4
keratinization	4
kidney development	4
lipid catabolic process	4
maintenance of location	4
membrane docking	4
mesenchymal cell differentiation	4
mesoderm formation	4
modification of morphology or physiology of other organism	4
monocarboxylic acid biosynthetic process	4
morphogenesis of a polarized epithelium	4
muscle cell migration	4
muscle contraction	4
muscle system process	4
negative regulation of angiogenesis	4
negative regulation of blood vessel morphogenesis	4
negative regulation of canonical Wnt signaling pathway	4
negative regulation of cation transmembrane transport	4
negative regulation of cell development	4
negative regulation of cell growth	4
negative regulation of chromosome organization	4
negative regulation of DNA binding transcription factor activity	4
negative regulation of establishment of protein localization	4
negative regulation of growth	4
negative regulation of ion transmembrane transport	4
negative regulation of ion transmembrane transporter activity	4
negative regulation of ion transport	4
negative regulation of leukocyte activation	4
negative regulation of mitotic cell cycle phase transition	4
negative regulation of nervous system development	4
negative regulation of neurogenesis	4
negative regulation of peptide secretion	4
negative regulation of protein secretion	4
negative regulation of protein transport	4
negative regulation of response to external stimulus	4
negative regulation of transmembrane transport	4
negative regulation of transporter activity	4
negative regulation of vasculature development	4
neural tube formation	4
neuron death	4
neurotransmitter transport	4
nuclear-transcribed mRNA catabolic process	4
nucleobase-containing compound transport	4
nucleobase-containing small molecule biosynthetic process	4
nucleoside phosphate catabolic process	4
nucleoside triphosphate biosynthetic process	4
nucleoside triphosphate metabolic process	4
nucleotide catabolic process	4
organelle localization by membrane tethering	4
organic acid catabolic process	4
organic acid transmembrane transport	4
ossification	4
peptidyl-lysine modification	4
peptidyl-threonine modification	4
peptidyl-threonine phosphorylation	4
phagocytosis	4
positive regulation of axonogenesis	4
positive regulation of cell adhesion	4
positive regulation of cell division	4
positive regulation of cell morphogenesis involved in differentiation	4
positive regulation of cell projection organization	4
positive regulation of chromosome organization	4
positive regulation of DNA binding transcription factor activity	4
positive regulation of DNA biosynthetic process	4
positive regulation of growth	4
positive regulation of multi-organism process	4
positive regulation of neuron projection development	4
positive regulation of protein catabolic process	4
positive regulation of protein complex assembly	4
positive regulation of protein localization to nucleus	4
positive regulation of protein modification by small protein conjugation or removal	4
positive regulation of protein serine/threonine kinase activity	4
positive regulation of response to external stimulus	4
positive regulation of synaptic transmission	4
positive regulation of telomerase activity	4
positive regulation of Wnt signaling pathway	4
protein acylation	4
protein heterooligomerization	4
protein homooligomerization	4
protein localization to cell periphery	4
protein polymerization	4
protein-DNA complex assembly	4
protein-DNA complex subunit organization	4
regeneration	4
regulation of actin filament-based process	4
regulation of apoptotic signaling pathway	4
regulation of calcium ion transport	4
regulation of carbohydrate metabolic process	4
regulation of cation transmembrane transport	4
regulation of cell cycle G2/M phase transition	4
regulation of cell shape	4
regulation of cytokine secretion	4
regulation of DNA biosynthetic process	4
regulation of fat cell differentiation	4
regulation of I-kappaB kinase/NF-kappaB signaling	4
regulation of insulin secretion involved in cellular response to glucose stimulus	4
regulation of intracellular transport	4
regulation of ion transmembrane transporter activity	4
regulation of morphogenesis of an epithelium	4
regulation of muscle organ development	4
regulation of muscle tissue development	4
regulation of neuron death	4
regulation of protein localization to nucleus	4
regulation of protein stability	4
regulation of protein ubiquitination	4
regulation of signal transduction by p53 class mediator	4
regulation of stem cell differentiation	4
regulation of stem cell proliferation	4
regulation of stress-activated MAPK cascade	4
regulation of stress-activated protein kinase signaling cascade	4
regulation of striated muscle tissue development	4
regulation of synaptic plasticity	4
regulation of telomerase activity	4
regulation of transmembrane transporter activity	4
regulation of transporter activity	4
regulation of vesicle-mediated transport	4
regulation of viral life cycle	4
response to antibiotic	4
response to decreased oxygen levels	4
response to dsRNA	4
response to endoplasmic reticulum stress	4
response to fatty acid	4
response to hypoxia	4
response to leukemia inhibitory factor	4
response to lipopolysaccharide	4
response to reactive oxygen species	4
response to steroid hormone	4
retina development in camera-type eye	4
ribonucleoprotein complex assembly	4
ribonucleoprotein complex subunit organization	4
RNA phosphodiester bond hydrolysis	4
secondary metabolic process	4
segmentation	4
sex differentiation	4
skeletal muscle cell differentiation	4
somatic stem cell population maintenance	4
stress-activated MAPK cascade	4
striated muscle cell differentiation	4
T cell activation	4
toll-like receptor signaling pathway	4
transcription initiation from RNA polymerase II promoter	4
tRNA processing	4
unsaturated fatty acid metabolic process	4
ventral spinal cord development	4
viral genome replication	4
Wnt signaling pathway, calcium modulating pathway	4
xenobiotic metabolic process	4
actin filament organization	3
alpha-amino acid metabolic process	3
amino acid transmembrane transport	3
amino acid transport	3
animal organ formation	3
antibiotic metabolic process	3
antigen processing and presentation	3
antigen processing and presentation of peptide antigen	3
antigen receptor-mediated signaling pathway	3
artery development	3
artery morphogenesis	3
astrocyte differentiation	3
ATP biosynthetic process	3
ATP metabolic process	3
autonomic nervous system development	3
axon extension involved in axon guidance	3
B cell activation	3
benzene-containing compound metabolic process	3
body fluid secretion	3
calcium ion transmembrane import into cytosol	3
calcium ion transport into cytosol	3
camera-type eye morphogenesis	3
cardiac conduction	3
cardiac muscle cell differentiation	3
cardiac muscle contraction	3
cardiac muscle tissue development	3
cardiac septum development	3
cardiac septum morphogenesis	3
cardiac ventricle morphogenesis	3
cell fate determination	3
cell junction assembly	3
cell junction organization	3
cell recognition	3
cellular detoxification	3
cellular oxidant detoxification	3
cellular protein complex disassembly	3
cellular response to antibiotic	3
cellular response to decreased oxygen levels	3
cellular response to fatty acid	3
cellular response to fibroblast growth factor stimulus	3
cellular response to heat	3
cellular response to hypoxia	3
cellular response to insulin stimulus	3
cellular response to interleukin-1	3
cellular response to light stimulus	3
cellular response to lipopolysaccharide	3
cellular response to oxygen levels	3
cellular response to radiation	3
cellular response to transforming growth factor beta stimulus	3
cGMP metabolic process	3
chromatin assembly	3
ciliary basal body-plasma membrane docking	3
cochlea development	3
cochlea morphogenesis	3
complement activation	3
cytokine biosynthetic process	3
cytokine metabolic process	3
dendrite development	3
detection of abiotic stimulus	3
determination of bilateral symmetry	3
determination of left/right symmetry	3
development of primary sexual characteristics	3
developmental induction	3
DNA damage checkpoint	3
DNA geometric change	3
DNA integrity checkpoint	3
dopaminergic neuron differentiation	3
double-strand break repair	3
embryonic digestive tract development	3
embryonic digestive tract morphogenesis	3
embryonic placenta development	3
epithelial cell maturation	3
epithelial cell migration	3
establishment of organelle localization	3
establishment of planar polarity	3
establishment of protein localization to membrane	3
establishment of RNA localization	3
establishment of tissue polarity	3
establishment or maintenance of apical/basal cell polarity	3
establishment or maintenance of bipolar cell polarity	3
establishment or maintenance of cell polarity	3
establishment or maintenance of epithelial cell apical/basal polarity	3
extracellular structure organization	3
eye morphogenesis	3
face development	3
fatty acid derivative metabolic process	3
Fc receptor signaling pathway	3
fertilization	3
fibroblast proliferation	3
G2/M transition of mitotic cell cycle	3
gene silencing by miRNA	3
germ cell development	3
glycerophospholipid metabolic process	3
glycoprotein biosynthetic process	3
glycoprotein metabolic process	3
glycosyl compound metabolic process	3
glycosylation	3
Golgi vesicle transport	3
gonad development	3
hair cycle	3
hematopoietic progenitor cell differentiation	3
hexose metabolic process	3
hindbrain development	3
hormone-mediated signaling pathway	3
innate immune response activating cell surface receptor signaling pathway	3
inner mitochondrial membrane organization	3
intermediate filament cytoskeleton organization	3
intermediate filament-based process	3
internal protein amino acid acetylation	3
intracellular receptor signaling pathway	3
intrinsic apoptotic signaling pathway	3
labyrinthine layer development	3
lens development in camera-type eye	3
lens morphogenesis in camera-type eye	3
leukocyte differentiation	3
leukocyte proliferation	3
limb bud formation	3
lipid modification	3
long-chain fatty acid metabolic process	3
long-term synaptic potentiation	3
lung cell differentiation	3
lung epithelial cell differentiation	3
lung epithelium development	3
lymphocyte proliferation	3
macromolecule glycosylation	3
macrophage activation	3
male sex differentiation	3
mesenchymal cell proliferation	3
mesodermal cell differentiation	3
microtubule polymerization or depolymerization	3
midbrain development	3
mitotic cell cycle checkpoint	3
modification by symbiont of host morphology or physiology	3
modification of morphology or physiology of other organism involved in symbiotic interaction	3
modulation by virus of host morphology or physiology	3
molting cycle	3
mononuclear cell proliferation	3
multicellular organism growth	3
multicellular organismal signaling	3
muscle cell development	3
myeloid cell differentiation	3
myoblast migration	3
negative regulation of catabolic process	3
negative regulation of chromosome segregation	3
negative regulation of cytoskeleton organization	3
negative regulation of DNA binding	3
negative regulation of fat cell differentiation	3
negative regulation of kinase activity	3
negative regulation of mitotic nuclear division	3
negative regulation of mitotic sister chromatid segregation	3
negative regulation of multi-organism process	3
negative regulation of nuclear division	3
negative regulation of sister chromatid segregation	3
negative regulation of transferase activity	3
negative regulation of viral life cycle	3
negative regulation of viral process	3
neural tube closure	3
neuromuscular process	3
neuron projection extension involved in neuron projection guidance	3
neurotransmitter biosynthetic process	3
neurotransmitter metabolic process	3
nitric oxide biosynthetic process	3
nitric oxide metabolic process	3
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	3
nucleic acid transport	3
nucleoside monophosphate biosynthetic process	3
nucleotide-excision repair	3
organic hydroxy compound biosynthetic process	3
organophosphate ester transport	3
osteoblast differentiation	3
oxidoreduction coenzyme metabolic process	3
pancreas development	3
peptidyl-tyrosine modification	3
peptidyl-tyrosine phosphorylation	3
phosphatidylinositol metabolic process	3
phospholipid metabolic process	3
placenta development	3
positive regulation of carbohydrate metabolic process	3
positive regulation of cell activation	3
positive regulation of cell cycle process	3
positive regulation of cellular protein catabolic process	3
positive regulation of developmental growth	3
positive regulation of epithelial cell proliferation	3
positive regulation of hormone secretion	3
positive regulation of I-kappaB kinase/NF-kappaB signaling	3
positive regulation of intracellular protein transport	3
positive regulation of intracellular transport	3
positive regulation of ion transport	3
positive regulation of leukocyte activation	3
positive regulation of MAP kinase activity	3
positive regulation of mesenchymal cell proliferation	3
positive regulation of mRNA catabolic process	3
positive regulation of mRNA metabolic process	3
positive regulation of nucleocytoplasmic transport	3
positive regulation of nucleotide metabolic process	3
positive regulation of proteasomal protein catabolic process	3
positive regulation of protein import	3
positive regulation of protein import into nucleus	3
positive regulation of protein ubiquitination	3
positive regulation of proteolysis involved in cellular protein catabolic process	3
positive regulation of purine nucleotide metabolic process	3
positive regulation of reactive oxygen species metabolic process	3
positive regulation of stress-activated MAPK cascade	3
positive regulation of stress-activated protein kinase signaling cascade	3
positive regulation of telomere maintenance	3
positive regulation of telomere maintenance via telomerase	3
positive regulation of telomere maintenance via telomere lengthening	3
positive regulation of transmembrane transport	3
posttranscriptional gene silencing	3
posttranscriptional gene silencing by RNA	3
potassium ion transport	3
primary neural tube formation	3
protein acetylation	3
protein activation cascade	3
protein autophosphorylation	3
protein depolymerization	3
protein glycosylation	3
protein localization to cytoskeleton	3
protein localization to microtubule cytoskeleton	3
protein localization to plasma membrane	3
proton transmembrane transport	3
purine nucleoside monophosphate biosynthetic process	3
purine nucleoside triphosphate biosynthetic process	3
purine nucleoside triphosphate metabolic process	3
purine nucleotide catabolic process	3
purine ribonucleoside monophosphate biosynthetic process	3
purine ribonucleoside triphosphate biosynthetic process	3
purine ribonucleoside triphosphate metabolic process	3
purine-containing compound catabolic process	3
pyrimidine-containing compound metabolic process	3
reactive nitrogen species metabolic process	3
reactive oxygen species biosynthetic process	3
reactive oxygen species metabolic process	3
receptor-mediated endocytosis	3
regulation of actin cytoskeleton organization	3
regulation of autophagy	3
regulation of axon extension involved in axon guidance	3
regulation of B cell activation	3
regulation of blood pressure	3
regulation of calcium ion transmembrane transport	3
regulation of cardiac muscle contraction	3
regulation of cell-cell adhesion	3
regulation of cell-substrate adhesion	3
regulation of cellular carbohydrate metabolic process	3
regulation of cellular ketone metabolic process	3
regulation of cellular protein catabolic process	3
regulation of chromosome segregation	3
regulation of cytokine biosynthetic process	3
regulation of DNA binding	3
regulation of epithelial cell differentiation	3
regulation of ERK1 and ERK2 cascade	3
regulation of establishment of planar polarity	3
regulation of fibroblast proliferation	3
regulation of G2/M transition of mitotic cell cycle	3
regulation of gastrulation	3
regulation of gene silencing	3
regulation of gene silencing by miRNA	3
regulation of gene silencing by RNA	3
regulation of intracellular protein transport	3
regulation of intrinsic apoptotic signaling pathway	3
regulation of leukocyte proliferation	3
regulation of lymphocyte proliferation	3
regulation of MAP kinase activity	3
regulation of mesenchymal cell proliferation	3
regulation of microtubule cytoskeleton organization	3
regulation of microtubule-based process	3
regulation of mitotic nuclear division	3
regulation of mitotic sister chromatid segregation	3
regulation of mononuclear cell proliferation	3
regulation of muscle cell differentiation	3
regulation of muscle contraction	3
regulation of muscle system process	3
regulation of myeloid cell differentiation	3
regulation of nitric oxide biosynthetic process	3
regulation of nuclear division	3
regulation of nucleocytoplasmic transport	3
regulation of nucleotide metabolic process	3
regulation of posttranscriptional gene silencing	3
regulation of proteasomal protein catabolic process	3
regulation of protein complex disassembly	3
regulation of protein depolymerization	3
regulation of protein import	3
regulation of protein import into nucleus	3
regulation of proteolysis involved in cellular protein catabolic process	3
regulation of purine nucleotide metabolic process	3
regulation of reactive oxygen species biosynthetic process	3
regulation of reactive oxygen species metabolic process	3
regulation of response to wounding	3
regulation of sister chromatid segregation	3
regulation of skeletal muscle tissue development	3
regulation of smoothened signaling pathway	3
regulation of striated muscle contraction	3
regulation of supramolecular fiber organization	3
regulation of telomere maintenance	3
regulation of telomere maintenance via telomerase	3
regulation of telomere maintenance via telomere lengthening	3
regulation of toll-like receptor signaling pathway	3
regulation of viral genome replication	3
regulation of wound healing	3
renal system process	3
respiratory gaseous exchange	3
response to ammonium ion	3
response to fibroblast growth factor	3
response to heat	3
response to insulin	3
response to interleukin-1	3
response to ionizing radiation	3
response to osmotic stress	3
response to transforming growth factor beta	3
ribonucleoside monophosphate biosynthetic process	3
ribonucleoside triphosphate biosynthetic process	3
ribonucleoside triphosphate metabolic process	3
ribosomal small subunit biogenesis	3
RNA methylation	3
RNA modification	3
RNA phosphodiester bond hydrolysis, endonucleolytic	3
RNA transport	3
RNA-dependent DNA biosynthetic process	3
sensory perception of mechanical stimulus	3
sensory perception of sound	3
signal transduction involved in cell cycle checkpoint	3
smooth muscle cell differentiation	3
somitogenesis	3
specification of symmetry	3
spermatid differentiation	3
spinal cord motor neuron differentiation	3
spindle assembly	3
spindle organization	3
stem cell division	3
steroid hormone mediated signaling pathway	3
striated muscle cell development	3
striated muscle contraction	3
sulfur compound biosynthetic process	3
sulfur compound metabolic process	3
T cell receptor signaling pathway	3
telencephalon development	3
telomere maintenance	3
telomere maintenance via telomerase	3
telomere maintenance via telomere lengthening	3
telomere organization	3
thyroid gland development	3
trachea development	3
transmembrane receptor protein serine/threonine kinase signaling pathway	3
tRNA methylation	3
tRNA modification	3
tube closure	3
ventricular septum development	3
ventricular septum morphogenesis	3
Wnt signaling pathway, planar cell polarity pathway	3
3'-UTR-mediated mRNA destabilization	2
actin filament polymerization	2
actin polymerization or depolymerization	2
action potential	2
activation of MAPK activity	2
acute inflammatory response	2
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	2
adult behavior	2
adult locomotory behavior	2
alcohol biosynthetic process	2
alpha-amino acid catabolic process	2
amine metabolic process	2
ammonium ion metabolic process	2
antigen processing and presentation of exogenous antigen	2
antigen processing and presentation of exogenous peptide antigen	2
antigen processing and presentation of exogenous peptide antigen via MHC class I	2
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	2
antigen processing and presentation of peptide antigen via MHC class I	2
antimicrobial humoral response	2
apical junction assembly	2
apoptotic mitochondrial changes	2
ATP hydrolysis coupled cation transmembrane transport	2
ATP synthesis coupled proton transport	2
ATP-dependent chromatin remodeling	2
autophagosome assembly	2
autophagosome maturation	2
autophagosome organization	2
beta-catenin destruction complex disassembly	2
bicarbonate transport	2
bile acid metabolic process	2
body morphogenesis	2
calcium-mediated signaling	2
cAMP metabolic process	2
cAMP-mediated signaling	2
carbohydrate derivative catabolic process	2
carbohydrate derivative transport	2
carbohydrate transmembrane transport	2
carbohydrate transport	2
cardiac cell development	2
cardiac cell fate commitment	2
cardiac muscle cell development	2
cartilage development	2
cell chemotaxis	2
cell cycle G1/S phase transition	2
cell death in response to oxidative stress	2
cell fate commitment involved in formation of primary germ layer	2
cell fate commitment involved in pattern specification	2
cell fate specification involved in pattern specification	2
cell migration in hindbrain	2
cell proliferation in forebrain	2
cell-cell adhesion mediated by cadherin	2
cell-cell junction assembly	2
cell-cell junction organization	2
cell-cell recognition	2
cellular amine metabolic process	2
cellular amino acid catabolic process	2
cellular component assembly involved in morphogenesis	2
cellular glucuronidation	2
cellular hormone metabolic process	2
cellular lipid catabolic process	2
cellular modified amino acid metabolic process	2
cellular potassium ion transport	2
cellular response to alcohol	2
cellular response to amino acid starvation	2
cellular response to ammonium ion	2
cellular response to angiotensin	2
cellular response to dsRNA	2
cellular response to glucose starvation	2
cellular response to interferon-gamma	2
cellular response to osmotic stress	2
cellular response to prostaglandin E stimulus	2
cellular response to prostaglandin stimulus	2
cellular response to reactive oxygen species	2
cellular response to retinoic acid	2
cellular response to UV	2
cellular response to virus	2
cerebral cortex development	2
cGMP biosynthetic process	2
chemical synaptic transmission, postsynaptic	2
cholesterol biosynthetic process	2
