Molecular function	Number of genes
neurotransmitter receptor activity	12
calcium channel activity	12
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	12
oxidoreductase activity, acting on CH-OH group of donors	12
voltage-gated cation channel activity	12
helicase activity	12
heparin binding	12
hormone receptor binding	12
carboxylic acid binding	12
transferase activity, transferring acyl groups other than amino-acyl groups	12
ubiquitin protein ligase activity	12
ubiquitin-like protein ligase activity	12
cadherin binding	12
mRNA binding	12
transcriptional activator activity, RNA polymerase II transcription factor binding	11
nucleosome binding	11
RNA polymerase II distal enhancer sequence-specific DNA binding	11
extracellular ligand-gated ion channel activity	11
acetyltransferase activity	11
hormone activity	11
symporter activity	11
nuclear hormone receptor binding	11
S-adenosylmethionine-dependent methyltransferase activity	11
inorganic anion transmembrane transporter activity	11
nuclease activity	11
glucuronosyltransferase activity	10
steroid hydroxylase activity	10
molecular carrier activity	10
GDP binding	10
protease binding	10
endonuclease activity	10
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	10
growth factor activity	10
potassium ion transmembrane transporter activity	10
GTPase regulator activity	10
phospholipid binding	10
catalytic activity, acting on DNA	10
G-protein beta/gamma-subunit complex binding	9
transmitter-gated ion channel activity	9
transmitter-gated channel activity	9
methylated histone binding	9
methylation-dependent protein binding	9
peptide N-acetyltransferase activity	9
transferase activity, transferring sulfur-containing groups	9
N-acetyltransferase activity	9
PDZ domain binding	9
hormone binding	9
N-acyltransferase activity	9
ribonucleoprotein complex binding	9
ATPase activity, coupled to movement of substances	9
isomerase activity	9
organic acid transmembrane transporter activity	9
carboxylic acid transmembrane transporter activity	9
Rab GTPase binding	9
GTPase activator activity	9
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	8
transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	8
frizzled binding	8
RNA polymerase II transcription coactivator activity	8
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	8
excitatory extracellular ligand-gated ion channel activity	8
protein kinase activator activity	8
kinase activator activity	8
beta-catenin binding	8
antiporter activity	8
core promoter sequence-specific DNA binding	8
steroid hormone receptor binding	8
drug transmembrane transporter activity	8
protein N-terminus binding	8
metalloendopeptidase activity	8
RNA polymerase II transcription factor binding	8
sodium ion transmembrane transporter activity	8
protein binding, bridging	8
metallopeptidase activity	8
molecular adaptor activity	8
antigen binding	8
cysteine-type peptidase activity	8
odorant binding	8
arachidonic acid monooxygenase activity	7
arachidonic acid epoxygenase activity	7
ammonium transmembrane transporter activity	7
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	7
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	7
postsynaptic neurotransmitter receptor activity	7
neurotransmitter binding	7
histone acetyltransferase activity	7
peptide-lysine-N-acetyltransferase activity	7
myosin binding	7
chemokine receptor binding	7
translation factor activity, RNA binding	7
protein transporter activity	7
voltage-gated potassium channel activity	7
chloride transmembrane transporter activity	7
anion channel activity	7
ATP-dependent helicase activity	7
purine NTP-dependent helicase activity	7
solute:cation symporter activity	7
oxidoreductase activity, acting on NAD(P)H	7
thiol-dependent ubiquitinyl hydrolase activity	7
ubiquitinyl hydrolase activity	7
potassium channel activity	7
ubiquitin-like protein-specific protease activity	7
channel regulator activity	7
lipid transporter activity	7
signal transducer activity, downstream of receptor	7
peptidase regulator activity	7
phosphatase activity	7
peptide receptor activity	7
microtubule motor activity	7
motor activity	7
oxygen carrier activity	6
acetylcholine binding	6
acetylcholine receptor activity	6
miRNA binding	6
protein serine/threonine kinase activator activity	6
regulatory RNA binding	6
thiolester hydrolase activity	6
peroxidase activity	6
nucleosomal DNA binding	6
signal sequence binding	6
oxidoreductase activity, acting on peroxide as acceptor	6
intramolecular oxidoreductase activity	6
transcriptional repressor activity, RNA polymerase II transcription factor binding	6
sulfotransferase activity	6
ribosome binding	6
monocarboxylic acid binding	6
mRNA 3'-UTR binding	6
RNA polymerase binding	6
ammonium ion binding	6
single-stranded RNA binding	6
antioxidant activity	6
phosphoric diester hydrolase activity	6
catalytic activity, acting on a tRNA	6
ligase activity	6
structural constituent of ribosome	6
phosphatase binding	6
protein tyrosine kinase activity	6
peptidase inhibitor activity	6
protein C-terminus binding	6
phosphatidylinositol binding	6
G-protein coupled peptide receptor activity	6
actin filament binding	6
cytidine deaminase activity	5
3',5'-cyclic-GMP phosphodiesterase activity	5
acetylcholine-gated cation-selective channel activity	5
guanylate cyclase activity	5
adenylate cyclase activity	5
phosphorus-oxygen lyase activity	5
cyclase activity	5
3',5'-cyclic-nucleotide phosphodiesterase activity	5
cyclic-nucleotide phosphodiesterase activity	5
peptide antigen binding	5
RNA polymerase II transcription corepressor activity	5
tRNA methyltransferase activity	5
intracellular ligand-gated ion channel activity	5
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	5
ADP binding	5
deaminase activity	5
beta-tubulin binding	5
cyclic nucleotide binding	5
protein serine/threonine/tyrosine kinase activity	5
RNA polymerase II activating transcription factor binding	5
chemokine activity	5
translation initiation factor activity	5
NAD binding	5
L-amino acid transmembrane transporter activity	5
transferase activity, transferring alkyl or aryl (other than methyl) groups	5
ion antiporter activity	5
RNA methyltransferase activity	5
Rac GTPase binding	5
activating transcription factor binding	5
virus receptor activity	5
hijacked molecular function	5
thiol-dependent ubiquitin-specific protease activity	5
amino acid transmembrane transporter activity	5
chloride channel activity	5
DNA-dependent ATPase activity	5
protein methyltransferase activity	5
steroid binding	5
N-methyltransferase activity	5
single-stranded DNA binding	5
ATPase activity, coupled to transmembrane movement of substances	5
integrin binding	5
ion channel binding	5
heat shock protein binding	5
unfolded protein binding	5
signal transducer, downstream of receptor, with serine/threonine kinase activity	5
P-P-bond-hydrolysis-driven transmembrane transporter activity	5
primary active transmembrane transporter activity	5
vitamin binding	5
endopeptidase inhibitor activity	5
endopeptidase regulator activity	5
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	5
hydrolase activity, hydrolyzing O-glycosyl compounds	5
hydrolase activity, acting on glycosyl bonds	5
quaternary ammonium group transmembrane transporter activity	4
nuclear import signal receptor activity	4
semaphorin receptor activity	4
adenylate cyclase binding	4
intramolecular oxidoreductase activity, transposing C=C bonds	4
MAP kinase kinase activity	4
protein kinase C activity	4
oligosaccharide binding	4
myosin V binding	4
carbohydrate:cation symporter activity	4
nucleocytoplasmic carrier activity	4
phospholipid-translocating ATPase activity	4
aromatase activity	4
monosaccharide transmembrane transporter activity	4
cAMP binding	4
organic cation transmembrane transporter activity	4
bHLH transcription factor binding	4
calmodulin-dependent protein kinase activity	4
nuclear localization sequence binding	4
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	4
sugar transmembrane transporter activity	4
glutathione transferase activity	4
ligand-gated calcium channel activity	4
disordered domain specific binding	4
steroid dehydrogenase activity	4
RNA polymerase II core promoter sequence-specific DNA binding	4
carbohydrate transmembrane transporter activity	4
proteoglycan binding	4
estrogen receptor binding	4
transcription cofactor binding	4
ATPase regulator activity	4
RNA polymerase II core binding	4
polyubiquitin modification-dependent protein binding	4
transforming growth factor beta receptor binding	4
protein kinase C binding	4
RNA polymerase core enzyme binding	4
translation regulator activity	4
protein self-association	4
phospholipid transporter activity	4
scaffold protein binding	4
basal transcription machinery binding	4
basal RNA polymerase II transcription machinery binding	4
amino acid binding	4
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	4
collagen binding	4
double-stranded RNA binding	4
ATP-dependent RNA helicase activity	4
cation-transporting ATPase activity	4
damaged DNA binding	4
RNA helicase activity	4
RNA-dependent ATPase activity	4
active ion transmembrane transporter activity	4
ATPase coupled ion transmembrane transporter activity	4
ligand-dependent nuclear receptor transcription coactivator activity	4
monosaccharide binding	4
p53 binding	4
carbon-oxygen lyase activity	4
SMAD binding	4
modified amino acid binding	4
solute:sodium symporter activity	4
ATPase binding	4
dioxygenase activity	4
chaperone binding	4
phosphatidylinositol bisphosphate binding	4
ribonuclease activity	4
proton transmembrane transporter activity	4
growth factor binding	4
nucleotidyltransferase activity	4
carboxylic ester hydrolase activity	4
phosphatidylinositol phosphate binding	4
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	4
rRNA binding	4
transmembrane receptor protein serine/threonine kinase binding	4
receptor serine/threonine kinase binding	4
CCR chemokine receptor binding	4
deoxyribonuclease activity	4
MHC class II receptor activity	3
intracellular cyclic nucleotide activated cation channel activity	3
phosphatase activator activity	3
bile acid binding	3
cyclic nucleotide-gated ion channel activity	3
cytoskeletal adaptor activity	3
mRNA 3'-UTR AU-rich region binding	3
co-SMAD binding	3
intronic transcription regulatory region sequence-specific DNA binding	3
ubiquitin-ubiquitin ligase activity	3
intronic transcription regulatory region DNA binding	3
titin binding	3
GTPase activating protein binding	3
3',5'-cyclic-AMP phosphodiesterase activity	3
nucleotide diphosphatase activity	3
RNA polymerase II carboxy-terminal domain kinase activity	3
nucleotide transmembrane transporter activity	3
CXCR chemokine receptor binding	3
histone kinase activity	3
acyl-CoA hydrolase activity	3
lysine-acetylated histone binding	3
acetylation-dependent protein binding	3
extracellularly glutamate-gated ion channel activity	3
ligand-gated anion channel activity	3
CoA hydrolase activity	3
methyl-CpG binding	3
cofactor transmembrane transporter activity	3
alcohol dehydrogenase (NADP+) activity	3
Wnt-activated receptor activity	3
voltage-gated sodium channel activity	3
GTP-dependent protein binding	3
mRNA 5'-UTR binding	3
dynein complex binding	3
organophosphate ester transmembrane transporter activity	3
aspartic-type endopeptidase activity	3
AU-rich element binding	3
phosphatidylinositol-3,5-bisphosphate binding	3
vitamin transmembrane transporter activity	3
G-protein coupled chemoattractant receptor activity	3
chemokine receptor activity	3
aspartic-type peptidase activity	3
ATPase activator activity	3
aldo-keto reductase (NADP) activity	3
neuropeptide hormone activity	3
cation:cation antiporter activity	3
lipopolysaccharide binding	3
Wnt-protein binding	3
solute:cation antiporter activity	3
ATP-dependent DNA helicase activity	3
dicarboxylic acid transmembrane transporter activity	3
nucleobase-containing compound transmembrane transporter activity	3
promoter-specific chromatin binding	3
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	3
voltage-gated calcium channel activity	3
glutamate receptor binding	3
protein binding involved in protein folding	3
disulfide oxidoreductase activity	3
androgen receptor binding	3
sodium channel activity	3
DNA helicase activity	3
protein kinase A binding	3
ligase activity, forming carbon-nitrogen bonds	3
neurotransmitter transporter activity	3
hydro-lyase activity	3
pyridoxal phosphate binding	3
vitamin B6 binding	3
tRNA binding	3
oxidoreductase activity, acting on the CH-CH group of donors	3
calcium-dependent protein binding	3
endoribonuclease activity	3
oxidoreductase activity, acting on a sulfur group of donors	3
protein-lysine N-methyltransferase activity	3
lysine N-methyltransferase activity	3
repressing transcription factor binding	3
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	3
phosphatidylinositol bisphosphate kinase activity	3
phosphatidylinositol 3-kinase activity	3
phosphoprotein binding	3
exonuclease activity	3
protein phosphatase regulator activity	3
Rho guanyl-nucleotide exchange factor activity	3
cysteine-type endopeptidase activity	3
phosphatase regulator activity	3
cytokine receptor activity	3
syntaxin binding	3
protein kinase inhibitor activity	3
serine-type endopeptidase inhibitor activity	3
kinase inhibitor activity	3
cytokine binding	3
exopeptidase activity	3
protein phosphatase binding	3
SNARE binding	3
growth factor receptor binding	3
endodeoxyribonuclease activity, producing 3'-phosphomonoesters	3
endodeoxyribonuclease activity	3
volume-sensitive anion channel activity	2
palmitoyl-(protein) hydrolase activity	2
ADP transmembrane transporter activity	2
oxidoreductase activity, acting on CH or CH2 groups	2
Toll-like receptor binding	2
armadillo repeat domain binding	2
lipopeptide binding	2
palmitoyl hydrolase activity	2
peptide alpha-N-acetyltransferase activity	2
benzodiazepine receptor activity	2
palmitoyl-CoA hydrolase activity	2
calcium channel inhibitor activity	2
IgG binding	2
dynactin binding	2
phosphate ion binding	2
glutathione binding	2
platelet-derived growth factor binding	2
adenine nucleotide transmembrane transporter activity	2
voltage-gated chloride channel activity	2
purine ribonucleotide transmembrane transporter activity	2
anion:cation symporter activity	2
arginine N-methyltransferase activity	2
protein-arginine N-methyltransferase activity	2
GABA-gated chloride ion channel activity	2
BMP receptor binding	2
oligopeptide binding	2
alditol:NADP+ 1-oxidoreductase activity	2
G-protein coupled photoreceptor activity	2
purine nucleotide transmembrane transporter activity	2
tRNA (guanine) methyltransferase activity	2
phosphotransferase activity, nitrogenous group as acceptor	2
tau-protein kinase activity	2
transcription corepressor binding	2
carbonate dehydratase activity	2
MAP kinase activity	2
L-glutamate transmembrane transporter activity	2
calcium-transporting ATPase activity	2
acidic amino acid transmembrane transporter activity	2
intermediate filament binding	2
protein kinase A catalytic subunit binding	2
platelet-derived growth factor receptor binding	2
photoreceptor activity	2
potassium ion binding	2
heparan sulfate sulfotransferase activity	2
RNA stem-loop binding	2
GABA receptor binding	2
inhibitory extracellular ligand-gated ion channel activity	2
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	2
apolipoprotein binding	2
glucosyltransferase activity	2
insulin-like growth factor receptor binding	2
structural constituent of epidermis	2
peptidoglycan binding	2
proton-transporting ATP synthase activity, rotational mechanism	2
ubiquitin-protein transferase regulator activity	2
mannose binding	2
voltage-gated anion channel activity	2
H4 histone acetyltransferase activity	2
HMG box domain binding	2
cullin family protein binding	2
GABA-A receptor activity	2
ionotropic glutamate receptor activity	2
phosphotransferase activity, for other substituted phosphate groups	2
polypeptide N-acetylgalactosaminyltransferase activity	2
C-acyltransferase activity	2
alkali metal ion binding	2
heparan sulfate proteoglycan binding	2
metalloaminopeptidase activity	2
NAD+ ADP-ribosyltransferase activity	2
glutathione peroxidase activity	2
glucose transmembrane transporter activity	2
transaminase activity	2
ligand-dependent nuclear receptor binding	2
GTP-Rho binding	2
K63-linked polyubiquitin modification-dependent protein binding	2
hexose transmembrane transporter activity	2
oxidoreductase activity, acting on the CH-NH2 group of donors	2
GABA receptor activity	2
immunoglobulin binding	2
calcium-release channel activity	2
transferase activity, transferring nitrogenous groups	2
chemokine binding	2
fibronectin binding	2
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	2
FAD binding	2
glutamate receptor activity	2
misfolded protein binding	2
ubiquitin conjugating enzyme activity	2
14-3-3 protein binding	2
ionotropic glutamate receptor binding	2
protein phosphatase 2A binding	2
ubiquitin-like protein conjugating enzyme activity	2
delayed rectifier potassium channel activity	2
organic acid:sodium symporter activity	2
snoRNA binding	2
anion:anion antiporter activity	2
alpha-tubulin binding	2
inorganic anion exchanger activity	2
sodium-independent organic anion transmembrane transporter activity	2
cyclin-dependent protein serine/threonine kinase regulator activity	2
protein serine/threonine kinase inhibitor activity	2
Ran GTPase binding	2
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	2
phosphotyrosine residue binding	2
cyclin-dependent protein serine/threonine kinase activity	2
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	2
calcium channel regulator activity	2
ion channel inhibitor activity	2
cyclin-dependent protein kinase activity	2
carbohydrate derivative transmembrane transporter activity	2
channel inhibitor activity	2
carboxy-lyase activity	2
pre-mRNA binding	2
peptidyl-prolyl cis-trans isomerase activity	2
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	2
kinesin binding	2
cis-trans isomerase activity	2
peptide hormone binding	2
amide transmembrane transporter activity	2
protein phosphorylated amino acid binding	2
aminopeptidase activity	2
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	2
oxidoreductase activity, acting on the aldehyde or oxo group of donors	2
structural constituent of muscle	2
organic hydroxy compound transmembrane transporter activity	2
acetylgalactosaminyltransferase activity	2
3'-5' exonuclease activity	2
Rab guanyl-nucleotide exchange factor activity	2
transferase activity, transferring pentosyl groups	2
manganese ion binding	2
carbon-carbon lyase activity	2
SH3/SH2 adaptor activity	2
cysteine-type endopeptidase inhibitor activity	2
receptor tyrosine kinase binding	2
metalloexopeptidase activity	2
acetylglucosaminyltransferase activity	2
histone methyltransferase activity	2
transmembrane receptor protein tyrosine kinase activity	2
phosphatidylinositol-4,5-bisphosphate binding	2
mitogen-activated protein kinase kinase binding	2
protein tyrosine kinase binding	2
clathrin binding	2
flavin adenine dinucleotide binding	2
alcohol binding	2
MAP kinase kinase kinase activity	2
signaling adaptor activity	2
transmembrane receptor protein kinase activity	2
ion channel regulator activity	2
electron transfer activity	2
lipase activity	2
neuropeptide Y receptor activity	2
microfilament motor activity	2
neuropeptide receptor activity	2
AT DNA binding	1
carbohydrate:proton symporter activity	1
sodium:phosphate symporter activity	1
profilin binding	1
mRNA methyltransferase activity	1
AMP binding	1
ligase activity, forming phosphoric ester bonds	1
endoribonuclease activity, producing 3'-phosphomonoesters	1
Tat protein binding	1
very long-chain fatty acid-CoA ligase activity	1
histone acetyltransferase activity (H4-K5 specific)	1
histone acetyltransferase activity (H4-K8 specific)	1
histone acetyltransferase activity (H4-K16 specific)	1
class I DNA-(apurinic or apyrimidinic site) endonuclease activity	1
class III/IV DNA-(apurinic or apyrimidinic site) endonuclease activity	1
adenyl-nucleotide exchange factor activity	1
fatty acid synthase activity	1
calcium-dependent protein serine/threonine kinase activity	1
acetylcholine receptor binding	1
siRNA binding	1
lipid phosphatase activity	1
ribosomal large subunit binding	1
alpha-catenin binding	1
inositol trisphosphate phosphatase activity	1
inositol tetrakisphosphate phosphatase activity	1
caspase binding	1
cyclin-dependent protein serine/threonine kinase inhibitor activity	1
calcium-dependent protein kinase activity	1
calcium:cation antiporter activity	1
acetylcholine receptor regulator activity	1
actin-dependent ATPase activity	1
protein kinase B binding	1
acylglycerol lipase activity	1
neurotransmitter receptor regulator activity	1
Lys48-specific deubiquitinase activity	1
DNA-(apurinic or apyrimidinic site) endonuclease activity	1
long-chain fatty acid-CoA ligase activity	1
phosphatidate phosphatase activity	1
5'-nucleotidase activity	1
phosphatidylinositol-5-phosphate binding	1
peptide disulfide oxidoreductase activity	1
phosphate ion transmembrane transporter activity	1
carbon-nitrogen lyase activity	1
sodium ion binding	1
co-receptor binding	1
neurexin family protein binding	1
microtubule plus-end binding	1
annealing activity	1
GDP-dissociation inhibitor activity	1
tropomyosin binding	1
nucleoside-diphosphatase activity	1
receptor activator activity	1
mismatched DNA binding	1
glucocorticoid receptor binding	1
ribosomal small subunit binding	1
NADPH binding	1
NAD+ binding	1
modified amino acid transmembrane transporter activity	1
nucleotidase activity	1
hexosaminidase activity	1
glycine binding	1
vitamin D receptor binding	1
outward rectifier potassium channel activity	1
dipeptidase activity	1
Ral GTPase binding	1
potassium ion antiporter activity	1
MHC class II protein complex binding	1
mitogen-activated protein kinase kinase kinase binding	1
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	1
protein transmembrane transporter activity	1
signaling pattern recognition receptor activity	1
magnesium ion transmembrane transporter activity	1
oxidoreductase activity, oxidizing metal ions	1
transferase activity, transferring amino-acyl groups	1
low-density lipoprotein particle binding	1
Rac guanyl-nucleotide exchange factor activity	1
pattern recognition receptor activity	1
histone methyltransferase activity (H3-K4 specific)	1
RNA cap binding	1
DNA binding, bending	1
bile acid transmembrane transporter activity	1
racemase and epimerase activity	1
DNA polymerase binding	1
fatty-acyl-CoA binding	1
cholesterol transporter activity	1
macromolecule transmembrane transporter activity	1
ankyrin binding	1
adrenergic receptor binding	1
protein kinase A regulatory subunit binding	1
transforming growth factor beta binding	1
inositol phosphate phosphatase activity	1
protein disulfide isomerase activity	1
intramolecular oxidoreductase activity, transposing S-S bonds	1
MHC protein complex binding	1
L-ascorbic acid binding	1
transcription coactivator binding	1
pattern binding	1
fatty acid ligase activity	1
acid-amino acid ligase activity	1
polysaccharide binding	1
rRNA methyltransferase activity	1
catalytic activity, acting on a rRNA	1
fibroblast growth factor binding	1
catalytic activity, acting on a glycoprotein	1
DNA secondary structure binding	1
retinoic acid receptor binding	1
solute:proton symporter activity	1
TBP-class protein binding	1
receptor inhibitor activity	1
cysteine-type endopeptidase inhibitor activity involved in apoptotic process	1
phosphatidylinositol-4-phosphate binding	1
fatty acid derivative binding	1
fibroblast growth factor receptor binding	1
CoA-ligase activity	1
phosphatidylinositol-3,4-bisphosphate binding	1
actin monomer binding	1
lipoprotein particle binding	1
protein-lipid complex binding	1
laminin binding	1
dynein intermediate chain binding	1
neuropeptide receptor binding	1
peptide transmembrane transporter activity	1
DNA-directed DNA polymerase activity	1
phospholipase C activity	1
phosphatidylinositol 3-kinase binding	1
dynein light intermediate chain binding	1
sterol transporter activity	1
acid-thiol ligase activity	1
ATP-dependent microtubule motor activity, plus-end-directed	1
S-acyltransferase activity	1
cyclin binding	1
endoribonuclease activity, producing 5'-phosphomonoesters	1
RNA polymerase II repressing transcription factor binding	1
chemoattractant activity	1
MHC protein binding	1
exoribonuclease activity	1
phosphatidylinositol-3-phosphate binding	1
phosphatidylinositol-3,4,5-trisphosphate binding	1
peptidase activator activity	1
sodium channel regulator activity	1
E-box binding	1
snRNA binding	1
Hsp70 protein binding	1
ligase activity, forming carbon-sulfur bonds	1
DNA-directed 5'-3' RNA polymerase activity	1
phosphatidylserine binding	1
DNA polymerase activity	1
cysteine-type endopeptidase regulator activity involved in apoptotic process	1
histone deacetylase activity	1
1-phosphatidylinositol-3-kinase activity	1
cholesterol binding	1
protein deacetylase activity	1
5'-3' RNA polymerase activity	1
RNA polymerase activity	1
NADH dehydrogenase (ubiquinone) activity	1
NADH dehydrogenase (quinone) activity	1
histone-lysine N-methyltransferase activity	1
NADH dehydrogenase activity	1
NADP binding	1
sterol binding	1
ATP-dependent microtubule motor activity	1
nucleobase-containing compound kinase activity	1
non-membrane spanning protein tyrosine kinase activity	1
phosphatidylinositol kinase activity	1
extracellular matrix binding	1
calcium-dependent phospholipid binding	1
copper ion binding	1
monocarboxylic acid transmembrane transporter activity	1
deacetylase activity	1
steroid hormone receptor activity	1
extracellular matrix structural constituent	1
protein-containing complex scaffold activity	1
phospholipase activity	1
protein tyrosine phosphatase activity	1
phosphoprotein phosphatase activity	1
